Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-28,LAC,away,SAC,7,14,20,0,0,5,7,2,6,4,0,0,2,3,33
2,2,2015-10-29,LAC,home,DAL,16,11,17,0,0,4,6,2,8,2,1,1,3,1,26
3,3,2015-10-31,LAC,home,SAC,5,13,22,0,0,11,15,1,8,6,2,0,3,4,37
4,4,2015-11-02,LAC,home,PHO,6,8,15,0,0,6,7,1,9,2,0,1,0,2,22
5,5,2015-11-04,LAC,away,GSW,-4,10,21,0,2,3,3,2,8,6,0,1,2,4,23
6,6,2015-11-07,LAC,home,HOU,-4,14,22,0,1,7,8,3,8,5,0,0,1,4,35
7,7,2015-11-09,LAC,home,MEM,2,9,19,0,0,6,6,2,10,2,1,1,2,5,24
8,8,2015-11-11,LAC,away,DAL,-10,8,19,0,0,5,7,5,4,3,1,0,2,3,21
9,9,2015-11-12,LAC,away,PHO,-14,5,10,0,0,1,2,1,2,4,1,0,0,0,11
10,10,2015-11-14,LAC,home,DET,5,14,25,0,0,6,10,4,4,9,2,1,2,4,34
11,11,2015-11-19,LAC,home,GSW,-7,11,20,1,1,4,6,2,4,5,1,1,3,2,27
12,12,2015-11-20,LAC,away,POR,-11,10,20,0,1,1,2,1,6,7,0,0,3,5,21
13,13,2015-11-22,LAC,home,TOR,-11,4,10,1,3,0,0,2,4,4,2,0,6,4,9
14,14,2015-11-24,LAC,away,DEN,17,7,20,1,1,3,4,4,6,4,1,1,1,2,18
15,15,2015-11-25,LAC,home,UTA,-11,18,23,0,0,4,5,1,11,3,0,2,3,2,40
16,16,2015-11-27,LAC,home,NOP,21,7,15,0,0,6,7,1,5,6,1,0,2,3,20
17,17,2015-11-29,LAC,home,MIN,8,9,16,1,1,7,9,0,8,8,0,2,3,3,26
18,18,2015-11-30,LAC,home,POR,15,8,19,0,0,7,10,1,7,6,1,1,2,4,23
19,19,2015-12-02,LAC,home,IND,-12,6,18,0,0,7,14,1,3,6,0,0,4,4,19
20,20,2015-12-05,LAC,home,ORL,2,11,22,0,0,6,8,2,11,7,0,0,4,0,28
21,21,2015-12-07,LAC,away,MIN,4,7,17,0,1,2,2,3,8,5,1,0,3,4,16
22,22,2015-12-09,LAC,away,MIL,14,8,18,0,0,5,8,2,12,4,2,1,3,2,21
23,23,2015-12-10,LAC,away,CHI,-3,7,14,0,1,4,4,1,10,2,0,2,2,3,18
24,24,2015-12-12,LAC,away,BRK,5,10,19,0,1,1,2,1,8,4,1,0,3,0,21
25,25,2015-12-14,LAC,away,DET,2,15,30,0,0,4,6,0,5,7,0,0,2,2,34
26,26,2015-12-16,LAC,home,MIL,13,5,13,0,0,5,7,1,7,5,0,1,0,0,15
27,27,2015-12-18,LAC,away,SAS,-8,10,19,2,2,3,4,0,5,5,1,0,1,3,25
28,28,2015-12-19,LAC,away,HOU,-10,9,13,0,0,4,5,0,8,6,1,0,2,5,22
29,29,2015-12-21,LAC,home,OKC,-1,7,21,0,1,1,2,0,7,5,0,0,1,3,15
30,30,2015-12-25,LAC,away,LAL,10,6,16,0,1,1,2,3,9,7,1,1,6,4,13
76,31,2016-04-03,LAC,home,WAS,5,2,7,0,0,2,2,0,5,4,0,0,1,2,6
77,32,2016-04-05,LAC,home,LAL,22,1,5,0,1,2,2,0,3,3,1,0,4,0,4
78,33,2016-04-06,LAC,away,LAL,10,5,10,0,0,3,4,0,8,3,1,0,1,0,13
80,34,2016-04-10,LAC,home,DAL,7,7,18,0,0,3,5,2,9,7,2,0,4,5,17
81,35,2016-04-12,LAC,home,MEM,26,5,10,0,0,2,3,0,7,4,3,0,2,3,12
