Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-28,LAC,away,SAC,7,6,14,1,4,5,6,0,5,11,2,0,2,1,18
2,2,2015-10-29,LAC,home,DAL,16,3,8,1,4,2,2,0,3,5,1,0,0,1,9
3,3,2015-10-31,LAC,home,SAC,5,5,13,1,5,6,8,0,6,11,1,0,5,2,17
4,4,2015-11-02,LAC,home,PHO,6,7,15,1,2,2,2,0,3,5,1,0,5,3,17
5,5,2015-11-04,LAC,away,GSW,-4,9,15,1,3,5,7,0,3,9,3,0,2,4,24
7,6,2015-11-09,LAC,home,MEM,2,4,10,1,4,5,6,1,3,4,1,0,4,5,14
8,7,2015-11-11,LAC,away,DAL,-10,2,11,1,3,6,7,0,1,11,0,0,2,2,11
11,8,2015-11-19,LAC,home,GSW,-7,13,22,5,9,4,4,0,4,8,3,0,3,2,35
12,9,2015-11-20,LAC,away,POR,-11,4,12,1,4,2,2,0,2,8,1,0,2,3,11
13,10,2015-11-22,LAC,home,TOR,-11,5,13,1,4,2,2,2,3,11,2,0,3,5,13
14,11,2015-11-24,LAC,away,DEN,17,6,11,0,0,3,4,0,2,10,3,0,0,1,15
15,12,2015-11-25,LAC,home,UTA,-11,10,15,2,2,2,2,2,3,8,3,0,2,3,24
16,13,2015-11-27,LAC,home,NOP,21,5,11,1,4,6,7,0,5,8,2,0,0,1,17
17,14,2015-11-29,LAC,home,MIN,8,7,12,0,1,6,6,0,2,9,0,0,4,2,20
18,15,2015-11-30,LAC,home,POR,15,3,11,0,1,4,4,2,1,6,2,0,4,1,10
21,16,2015-12-07,LAC,away,MIN,4,5,14,1,2,3,3,0,1,5,4,0,5,4,14
22,17,2015-12-09,LAC,away,MIL,14,7,13,2,4,2,2,0,3,18,0,0,2,4,18
23,18,2015-12-10,LAC,away,CHI,-3,5,16,2,4,0,0,0,0,5,1,0,4,3,12
24,19,2015-12-12,LAC,away,BRK,5,6,15,0,4,3,3,0,2,14,3,0,3,2,15
25,20,2015-12-14,LAC,away,DET,2,6,16,0,2,1,1,1,4,12,2,0,3,5,13
