Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-28,HOU,home,DEN,-20,6,21,2,12,8,9,1,5,6,2,2,3,2,22
2,2,2015-10-30,HOU,home,GSW,-20,4,18,1,10,7,8,2,5,5,1,1,4,2,16
3,3,2015-11-01,HOU,away,MIA,-20,2,15,0,10,12,14,0,6,7,3,1,5,2,16
4,4,2015-11-02,HOU,home,OKC,5,12,26,4,12,9,11,0,5,3,3,2,2,1,37
5,5,2015-11-04,HOU,home,ORL,5,6,22,2,11,14,17,2,5,4,0,0,7,5,28
6,6,2015-11-06,HOU,away,SAC,6,13,23,4,10,13,16,2,4,13,2,0,7,0,43
7,7,2015-11-07,HOU,away,LAC,4,14,26,5,10,13,14,0,4,2,1,0,7,4,46
8,8,2015-11-11,HOU,home,BRK,-8,8,22,3,10,4,5,0,9,6,1,0,4,2,23
9,9,2015-11-13,HOU,away,DEN,-9,9,19,1,5,9,11,0,8,5,3,2,4,4,28
10,10,2015-11-14,HOU,home,DAL,-12,5,21,1,6,14,14,3,4,10,2,1,6,4,25
11,11,2015-11-16,HOU,home,BOS,-16,4,10,4,7,4,4,0,1,3,0,0,4,4,16
12,12,2015-11-18,HOU,home,POR,5,11,29,4,15,19,20,1,7,11,5,1,5,2,45
13,13,2015-11-20,HOU,away,MEM,-12,7,15,1,7,7,8,0,6,5,2,2,6,1,22
14,14,2015-11-21,HOU,home,NYK,-5,8,20,3,4,5,5,1,6,10,3,2,3,3,24
15,15,2015-11-25,HOU,home,MEM,-9,12,19,5,9,11,11,1,4,5,3,1,4,2,40
16,16,2015-11-27,HOU,home,PHI,2,14,28,6,12,16,20,2,7,8,0,0,9,2,50
17,17,2015-11-29,HOU,away,NYK,5,10,28,0,7,6,10,3,4,9,2,0,2,2,26
18,18,2015-11-30,HOU,away,DET,-11,6,15,2,4,15,17,1,8,7,2,0,5,4,29
19,19,2015-12-02,HOU,home,NOP,7,7,20,1,8,9,10,0,10,6,1,1,0,1,24
20,20,2015-12-04,HOU,away,DAL,4,10,23,1,6,4,5,1,7,9,1,2,4,1,25
21,21,2015-12-05,HOU,home,SAC,7,6,14,5,6,14,16,0,2,9,0,1,5,4,31
22,22,2015-12-08,HOU,away,BRK,-5,2,9,1,5,5,6,0,3,9,3,0,7,2,10
23,23,2015-12-09,HOU,away,WAS,6,13,23,5,9,11,12,2,7,7,2,2,7,4,42
24,24,2015-12-12,HOU,home,LAL,29,11,21,3,5,5,5,0,3,3,3,0,2,2,30
25,25,2015-12-14,HOU,away,DEN,-6,9,20,5,8,1,3,1,2,6,3,0,2,1,24
26,26,2015-12-15,HOU,away,SAC,-10,10,18,4,8,9,12,1,6,6,1,0,7,2,33
27,27,2015-12-17,HOU,away,LAL,20,7,24,2,9,9,10,2,4,6,1,1,3,2,25
