Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-27,GSW,home,NOP,16,3,8,0,2,3,3,0,5,3,1,1,7,5,9
2,2,2015-10-30,GSW,away,HOU,20,4,10,1,5,2,2,0,2,0,1,0,2,3,11
3,3,2015-10-31,GSW,away,NOP,14,6,12,2,5,5,5,0,3,1,0,1,0,4,19
4,4,2015-11-02,GSW,home,MEM,50,6,11,2,3,0,0,0,7,2,0,2,2,0,14
5,5,2015-11-04,GSW,home,LAC,4,7,18,0,2,2,2,1,4,5,2,1,2,2,16
6,6,2015-11-06,GSW,home,DEN,15,7,16,4,8,0,0,0,6,5,0,0,1,0,18
7,7,2015-11-07,GSW,away,SAC,9,7,16,4,11,0,0,0,3,3,0,1,3,4,18
8,8,2015-11-09,GSW,home,DET,14,10,17,4,7,0,0,0,3,1,2,0,2,1,24
9,9,2015-11-11,GSW,away,MEM,16,3,9,2,5,0,0,2,5,2,1,2,3,3,8
10,10,2015-11-12,GSW,away,MIN,13,6,16,3,9,0,0,0,2,2,1,1,4,1,15
12,11,2015-11-17,GSW,home,TOR,5,8,19,2,9,1,2,0,1,3,0,0,0,3,19
13,12,2015-11-19,GSW,away,LAC,7,6,12,3,5,10,12,2,1,2,0,0,2,2,25
14,13,2015-11-20,GSW,home,CHI,12,6,12,2,4,1,2,1,2,3,0,1,1,3,15
15,14,2015-11-22,GSW,away,DEN,13,7,16,4,7,3,4,0,3,7,0,1,1,2,21
16,15,2015-11-24,GSW,home,LAL,34,3,12,2,6,3,4,0,3,2,0,1,1,0,11
17,16,2015-11-27,GSW,away,PHO,19,6,11,3,8,0,0,0,2,0,0,1,2,4,15
18,17,2015-11-28,GSW,home,SAC,19,6,10,3,6,0,0,0,0,2,1,0,2,1,15
19,18,2015-11-30,GSW,away,UTA,3,8,15,4,7,0,0,1,4,2,0,2,0,1,20
20,19,2015-12-02,GSW,away,CHO,17,8,18,4,10,1,2,0,3,0,1,1,2,3,21
21,20,2015-12-05,GSW,away,TOR,3,7,15,6,9,6,6,0,4,1,0,0,2,4,26
22,21,2015-12-06,GSW,away,BRK,16,8,18,3,10,2,2,0,3,3,1,2,1,1,21
23,22,2015-12-08,GSW,away,IND,8,13,21,10,16,3,3,1,6,6,0,1,4,2,39
