Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-28,LAL,home,MIN,-1,8,24,3,13,5,5,0,4,1,2,0,0,1,24
2,2,2015-10-30,LAL,away,SAC,-18,5,12,1,8,2,3,2,2,3,0,0,3,2,13
3,3,2015-11-01,LAL,home,DAL,-10,3,15,2,8,7,7,2,3,1,0,0,1,5,15
4,4,2015-11-03,LAL,home,DEN,-11,4,11,1,5,2,3,1,1,5,2,0,1,5,11
5,5,2015-11-06,LAL,away,BRK,6,5,16,1,4,7,8,0,3,3,0,0,3,3,18
6,6,2015-11-08,LAL,away,NYK,-4,6,19,2,10,4,7,0,2,3,1,0,1,2,18
9,7,2015-11-13,LAL,away,DAL,-8,7,15,3,8,2,2,0,5,3,0,0,6,2,19
10,8,2015-11-15,LAL,home,DET,12,6,19,1,4,4,4,0,8,9,2,0,4,3,17
12,9,2015-11-20,LAL,home,TOR,-11,5,13,0,5,0,0,0,4,5,2,0,3,2,10
13,10,2015-11-22,LAL,home,POR,-14,6,22,0,5,6,7,1,3,4,1,1,0,1,18
14,11,2015-11-24,LAL,away,GSW,-34,1,14,1,7,1,2,0,6,2,2,0,3,0,4
15,12,2015-11-28,LAL,away,POR,-12,7,20,1,5,6,7,0,2,2,0,0,1,1,21
16,13,2015-11-29,LAL,home,IND,-4,4,20,2,7,3,4,1,3,3,1,0,1,1,13
17,14,2015-12-01,LAL,away,PHI,-12,7,26,4,17,2,4,1,4,2,1,0,3,3,20
18,15,2015-12-02,LAL,away,WAS,4,10,24,4,11,7,8,0,2,3,1,0,2,1,31
19,16,2015-12-04,LAL,away,ATL,-13,4,19,2,10,4,5,0,3,5,2,2,2,2,14
20,17,2015-12-06,LAL,away,DET,-20,2,15,1,6,0,0,0,3,1,1,0,3,2,5
21,18,2015-12-07,LAL,away,TOR,-9,8,16,1,4,4,5,0,8,4,2,0,4,3,21
