Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-27,CLE,away,CHI,-2,12,22,1,5,0,3,0,10,5,1,0,1,3,25
2,2,2015-10-28,CLE,away,MEM,30,4,13,0,3,4,8,1,6,5,3,0,3,1,12
3,3,2015-10-30,CLE,home,MIA,10,13,19,0,2,3,5,2,3,4,1,0,4,3,29
4,4,2015-11-02,CLE,away,PHI,7,9,19,0,3,4,4,0,9,11,4,2,3,3,22
5,5,2015-11-04,CLE,home,NYK,10,9,23,1,5,4,7,2,3,3,4,1,3,1,23
6,6,2015-11-06,CLE,home,PHI,6,12,22,3,5,4,6,0,4,13,2,0,2,1,31
7,7,2015-11-08,CLE,home,IND,4,10,23,0,3,9,14,0,6,4,0,0,2,0,29
8,8,2015-11-10,CLE,home,UTA,4,11,19,1,3,8,12,3,4,8,2,0,5,2,31
9,9,2015-11-13,CLE,away,NYK,6,12,21,0,2,7,10,0,3,6,2,1,3,4,31
10,10,2015-11-14,CLE,away,MIL,-3,13,27,5,11,6,12,4,8,5,1,3,7,3,37
11,11,2015-11-17,CLE,away,DET,-5,11,21,4,7,4,5,0,6,3,0,0,4,3,30
12,12,2015-11-19,CLE,home,MIL,15,9,13,1,1,8,9,3,6,6,0,0,4,3,27
13,13,2015-11-21,CLE,home,ATL,12,8,15,1,2,2,2,2,9,8,0,2,3,1,19
14,14,2015-11-23,CLE,home,ORL,14,7,14,0,2,1,5,0,6,13,1,0,2,0,15
15,15,2015-11-25,CLE,away,TOR,-4,6,16,1,5,11,12,2,4,8,0,0,2,1,24
16,16,2015-11-27,CLE,away,CHO,5,8,20,2,5,7,9,2,11,5,0,0,3,2,25
17,17,2015-11-28,CLE,home,BRK,2,10,22,1,6,5,6,2,7,5,1,0,2,0,26
18,18,2015-12-01,CLE,home,WAS,-12,8,20,0,3,8,8,4,9,4,1,1,9,3,24
19,19,2015-12-04,CLE,away,NOP,-6,13,29,1,5,10,11,2,5,8,1,1,5,4,37
