Rk,G,Date,Tm,HomeAway,Opp,Margin,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1,2015-10-27,GSW,home,NOP,16,14,26,5,12,7,7,3,3,7,2,0,2,1,40
2,2,2015-10-30,GSW,away,HOU,20,9,15,4,9,3,4,0,7,6,1,0,1,4,25
3,3,2015-10-31,GSW,away,NOP,14,17,27,8,14,11,11,0,4,9,4,0,2,3,53
4,4,2015-11-02,GSW,home,MEM,50,10,16,4,8,6,6,1,2,3,3,1,3,2,30
5,5,2015-11-04,GSW,home,LAC,4,8,17,7,11,8,9,0,5,4,1,0,0,3,31
6,6,2015-11-06,GSW,home,DEN,15,12,22,8,16,2,3,0,7,10,3,1,4,1,34
7,7,2015-11-07,GSW,away,SAC,9,8,18,2,10,6,7,1,5,3,2,0,6,1,24
8,8,2015-11-09,GSW,home,DET,14,7,18,3,7,5,6,1,4,5,3,0,5,1,22
9,9,2015-11-11,GSW,away,MEM,16,9,21,3,10,7,7,0,5,5,5,1,4,1,28
10,10,2015-11-12,GSW,away,MIN,13,15,25,8,13,8,8,0,5,4,2,0,3,3,46
11,11,2015-11-14,GSW,home,BRK,8,13,31,5,16,3,3,0,3,6,1,0,4,1,34
12,12,2015-11-17,GSW,home,TOR,5,13,23,5,10,6,7,0,2,9,2,0,7,1,37
13,13,2015-11-19,GSW,away,LAC,7,11,22,6,14,12,12,0,11,4,3,0,7,2,40
14,14,2015-11-20,GSW,home,CHI,12,9,20,3,11,6,6,1,4,4,4,0,6,2,27
15,15,2015-11-22,GSW,away,DEN,13,8,16,3,8,0,0,0,4,7,3,0,4,0,19
16,16,2015-11-24,GSW,home,LAL,34,10,21,4,12,0,0,0,4,9,2,0,0,1,24
17,17,2015-11-27,GSW,away,PHO,19,11,20,9,16,10,11,1,5,8,2,0,6,2,41
18,18,2015-11-28,GSW,home,SAC,19,4,7,3,6,8,8,0,4,6,3,0,1,1,19
19,19,2015-11-30,GSW,away,UTA,3,9,20,4,8,4,4,2,4,5,2,0,2,2,26
20,20,2015-12-02,GSW,away,CHO,17,14,18,8,11,4,4,0,3,5,0,0,5,2,40
21,21,2015-12-05,GSW,away,TOR,3,14,24,9,15,7,9,1,1,7,0,0,3,4,44
22,22,2015-12-06,GSW,away,BRK,16,11,17,5,9,1,4,0,5,2,1,0,4,2,28
23,23,2015-12-08,GSW,away,IND,8,11,23,3,10,4,6,0,7,10,3,0,4,1,29
24,24,2015-12-11,GSW,away,BOS,5,9,27,6,13,14,14,3,8,8,2,0,8,4,38
25,25,2015-12-12,GSW,away,MIL,-13,10,22,2,9,6,7,2,5,5,1,0,2,2,28
26,26,2015-12-16,GSW,home,PHO,25,10,14,2,5,3,5,0,2,7,1,0,3,4,25
27,27,2015-12-18,GSW,home,MIL,9,7,14,2,6,10,11,2,8,9,2,0,6,2,26
28,28,2015-12-23,GSW,home,UTA,18,5,14,2,8,4,4,1,4,9,3,0,3,2,16
29,29,2015-12-25,GSW,home,CLE,6,6,15,1,4,6,6,1,6,7,2,0,3,3,19
30,30,2015-12-28,GSW,home,SAC,19,7,16,6,13,3,4,0,14,10,2,0,2,3,23
33,31,2016-01-02,GSW,home,DEN,3,2,6,1,5,0,0,0,1,4,2,0,2,1,5
34,32,2016-01-04,GSW,home,CHO,10,12,21,5,10,1,1,0,3,4,2,0,2,4,30
35,33,2016-01-05,GSW,away,LAL,21,6,13,4,8,1,1,1,0,6,3,0,3,2,17
36,34,2016-01-08,GSW,away,POR,20,8,18,4,11,6,6,0,3,9,1,0,1,2,26
37,35,2016-01-09,GSW,away,SAC,12,12,21,8,14,6,7,1,5,11,1,1,4,3,38
38,36,2016-01-11,GSW,home,MIA,8,11,27,4,11,5,6,0,2,6,1,0,1,2,31
39,37,2016-01-13,GSW,away,DEN,-2,13,25,5,12,7,7,2,3,9,3,1,8,1,38
40,38,2016-01-14,GSW,home,LAL,18,9,18,8,16,0,0,2,4,3,1,0,3,3,26
41,39,2016-01-16,GSW,away,DET,-18,13,26,7,15,5,6,1,6,5,2,0,2,1,38
42,40,2016-01-18,GSW,away,CLE,34,12,18,7,12,4,4,2,3,4,3,0,1,3,35
43,41,2016-01-20,GSW,away,CHI,31,8,18,3,9,6,6,1,6,11,2,1,2,2,25
44,42,2016-01-22,GSW,home,IND,12,11,19,8,15,9,9,2,8,12,1,0,2,1,39
45,43,2016-01-25,GSW,home,SAS,30,12,20,6,9,7,7,1,1,3,5,0,1,0,37
46,44,2016-01-27,GSW,home,DAL,20,4,11,3,7,3,3,1,1,9,3,1,0,2,14
47,45,2016-01-30,GSW,away,PHI,3,9,19,5,11,0,0,2,3,6,1,2,8,3,23
48,46,2016-01-31,GSW,away,NYK,21,5,17,3,11,0,0,0,4,4,3,0,3,1,13
49,47,2016-02-03,GSW,away,WAS,13,19,28,11,15,2,3,1,6,2,3,0,7,3,51
50,48,2016-02-06,GSW,home,OKC,8,10,26,1,9,5,5,1,5,10,3,0,3,2,26
51,49,2016-02-09,GSW,home,HOU,13,12,24,7,16,4,4,1,4,9,1,0,1,2,35
52,50,2016-02-10,GSW,away,PHO,8,9,17,5,10,3,4,5,4,9,1,1,2,1,26
53,51,2016-02-19,GSW,away,POR,-32,12,23,7,13,0,0,2,1,5,2,0,3,4,31
54,52,2016-02-20,GSW,away,LAC,3,5,15,3,8,10,12,0,3,9,3,0,3,2,23
55,53,2016-02-22,GSW,away,ATL,10,14,22,5,11,3,3,1,5,8,3,0,2,2,36
56,54,2016-02-24,GSW,away,MIA,6,14,29,6,12,8,8,3,4,7,1,1,7,0,42
57,55,2016-02-25,GSW,away,ORL,16,20,27,10,15,1,1,0,7,8,0,1,5,1,51
58,56,2016-02-27,GSW,away,OKC,3,14,24,12,16,6,8,0,3,6,2,0,3,1,46
60,57,2016-03-03,GSW,home,OKC,15,12,25,5,15,4,5,1,3,4,1,1,1,2,33
61,58,2016-03-06,GSW,away,LAL,-17,6,20,1,10,5,5,1,5,4,1,0,4,2,18
62,59,2016-03-07,GSW,home,ORL,6,14,24,7,13,6,6,1,12,3,4,0,5,3,41
63,60,2016-03-09,GSW,home,UTA,21,4,12,3,9,1,2,0,3,10,3,0,3,2,12
64,61,2016-03-11,GSW,home,POR,16,13,23,7,14,1,2,0,3,4,2,0,3,2,34
65,62,2016-03-12,GSW,home,PHO,7,12,24,7,16,4,4,1,2,6,0,0,1,4,35
66,63,2016-03-14,GSW,home,NOP,18,10,16,4,9,3,4,1,4,5,2,0,1,1,27
67,64,2016-03-16,GSW,home,NYK,36,12,20,8,13,2,2,0,6,4,0,0,2,2,34
68,65,2016-03-18,GSW,away,DAL,18,12,26,6,12,1,1,1,8,10,2,0,1,2,31
69,66,2016-03-19,GSW,away,SAS,-8,4,18,1,12,5,5,2,4,6,2,0,2,0,14
70,67,2016-03-21,GSW,away,MIN,5,6,17,2,9,5,6,3,4,11,3,1,5,4,19
71,68,2016-03-23,GSW,home,LAC,16,12,23,4,10,5,6,0,4,5,3,0,1,3,33
72,69,2016-03-25,GSW,home,DAL,8,9,18,5,12,10,11,0,8,8,4,0,3,0,33
73,70,2016-03-27,GSW,home,PHI,12,7,16,2,9,4,5,0,3,8,4,0,4,0,20
74,71,2016-03-29,GSW,home,WAS,8,9,20,6,8,2,2,0,7,7,5,0,5,3,26
75,72,2016-03-30,GSW,away,UTA,7,11,23,5,10,4,5,2,5,4,2,0,5,4,31
76,73,2016-04-01,GSW,home,BOS,-3,9,19,8,14,3,3,0,5,6,1,0,9,2,29
77,74,2016-04-03,GSW,home,POR,25,13,21,9,13,4,4,2,4,7,2,1,4,2,39
