"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-100","OKC","","SAS",6,1,"29:34",3,4,0.75,0,0,NA,0,0,NA,1,6,7,1,0,1,2,4,6,4.7,4,17.3
2,2,"2015-10-30","22-102","OKC","@","ORL",3,1,"35:54",3,5,0.6,0,0,NA,3,4,0.75,5,3,8,2,2,2,2,5,9,11.5,-3,29
3,3,"2015-11-01","22-104","OKC","","DEN",24,1,"21:32",1,3,0.333,0,0,NA,0,2,0,3,0,3,1,0,2,2,4,2,0.1,24,10.3
4,4,"2015-11-02","22-105","OKC","@","HOU",-5,1,"19:12",2,3,0.667,0,0,NA,1,2,0.5,0,3,3,0,1,0,0,1,5,4.8,-8,10.8
5,5,"2015-11-04","22-107","OKC","","TOR",-5,1,"26:36",5,7,0.714,0,0,NA,0,0,NA,3,4,7,1,0,4,2,3,10,10.7,8,27.3
6,6,"2015-11-05","22-108","OKC","@","CHI",-6,1,"24:58",3,4,0.75,0,0,NA,0,0,NA,0,6,6,1,0,2,0,1,6,7.9,11,19
7,7,"2015-11-08","22-111","OKC","","PHO",21,1,"19:31",3,6,0.5,0,0,NA,1,1,1,3,2,5,1,0,5,2,1,7,8.5,12,23.8
8,8,"2015-11-10","22-113","OKC","@","WAS",24,1,"20:36",2,3,0.667,0,0,NA,0,2,0,2,4,6,0,1,1,0,4,4,4.6,5,15.5
9,9,"2015-11-13","22-116","OKC","","PHI",17,1,"25:59",3,6,0.5,0,0,NA,0,0,NA,1,1,2,0,1,3,0,5,6,5.1,19,16.5
10,10,"2015-11-15","22-118","OKC","","BOS",-15,1,"29:35",0,0,NA,0,0,NA,6,8,0.75,2,5,7,3,0,0,1,2,6,8.4,-1,18.8
11,11,"2015-11-16","22-119","OKC","@","MEM",-8,1,"26:49",4,5,0.8,0,0,NA,6,8,0.75,5,2,7,1,0,1,2,6,14,12.4,-4,25.3
