"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
9,1,"2015-11-11","30-027","NYK","@","CHO",-2,1,"28:26",6,13,0.462,0,3,0,0,0,NA,2,4,6,1,0,0,0,2,12,7.8,0,21
10,2,"2015-11-13","30-029","NYK","","CLE",-6,1,"29:47",6,13,0.462,1,4,0.25,1,1,1,0,3,3,4,0,0,0,3,14,9.8,-2,24.3
11,3,"2015-11-15","30-031","NYK","","NOP",8,1,"25:44",2,7,0.286,0,1,0,0,0,NA,0,3,3,0,0,0,0,1,4,0.4,3,7.8
12,4,"2015-11-17","30-033","NYK","","CHO",8,1,"36:05",7,15,0.467,2,5,0.4,0,0,NA,0,3,3,3,0,0,1,1,16,9.9,22,24.8
13,5,"2015-11-20","30-036","NYK","@","OKC",3,1,"29:15",6,11,0.545,2,3,0.667,0,0,NA,0,2,2,1,0,0,3,5,14,5,4,17.5
14,6,"2015-11-21","30-037","NYK","@","HOU",5,1,"35:10",6,18,0.333,4,7,0.571,0,2,0,0,6,6,3,0,0,1,0,16,7.9,12,29.5
15,7,"2015-11-23","30-039","NYK","@","MIA",-17,1,"32:52",4,10,0.4,1,4,0.25,2,2,1,2,1,3,3,0,0,2,3,11,6.2,-9,18.8
16,8,"2015-11-25","30-041","NYK","@","ORL",-9,1,"31:28",4,11,0.364,2,4,0.5,0,0,NA,0,1,1,1,0,0,1,3,10,2.7,2,13.3
17,9,"2015-11-27","30-043","NYK","","MIA",-19,1,"19:13",2,7,0.286,0,1,0,0,0,NA,0,3,3,1,0,1,0,2,4,1.4,-12,11.3
18,10,"2015-11-29","30-045","NYK","","HOU",-5,1,"41:29",13,19,0.684,2,4,0.5,3,4,0.75,1,6,7,3,1,0,1,1,31,26.7,-6,46.8
19,11,"2015-12-02","30-048","NYK","","PHI",12,1,"23:05",6,10,0.6,1,4,0.25,0,0,NA,1,7,8,0,1,0,1,3,13,10,13,25
20,12,"2015-12-04","30-050","NYK","","BRK",17,1,"29:19",7,11,0.636,1,2,0.5,3,3,1,0,3,3,1,0,0,1,2,18,12.9,13,23.3
21,13,"2015-12-05","30-051","NYK","@","MIL",-15,1,"32:15",6,12,0.5,0,4,0,1,2,0.5,0,2,2,0,0,0,1,3,13,5,-25,15
22,14,"2015-12-07","30-053","NYK","","DAL",-7,1,"29:56",2,6,0.333,0,2,0,2,2,1,0,6,6,4,0,0,0,4,6,5.6,-7,19.5
23,15,"2015-12-09","30-055","NYK","@","UTA",-21,1,"21:38",2,5,0.4,0,1,0,0,0,NA,0,3,3,2,0,0,0,2,4,2.8,-20,10.8
24,16,"2015-12-10","30-056","NYK","@","SAC",-2,1,"32:41",6,14,0.429,0,6,0,2,2,1,0,4,4,2,1,1,2,5,14,6.9,-1,25
25,17,"2015-12-12","30-058","NYK","@","POR",2,1,"40:10",5,11,0.455,2,4,0.5,3,4,0.75,0,1,1,0,0,0,2,3,15,6,9,16.3
26,18,"2015-12-16","30-062","NYK","","MIN",5,1,"33:48",9,14,0.643,3,5,0.6,8,9,0.889,0,3,3,1,0,0,1,1,29,22.6,13,35.3
27,19,"2015-12-18","30-064","NYK","@","PHI",10,1,"25:55",9,13,0.692,3,5,0.6,1,1,1,1,6,7,1,1,1,0,0,22,21.4,18,37.8
28,20,"2015-12-19","30-065","NYK","","CHI",16,1,"34:06",8,14,0.571,1,1,1,1,2,0.5,0,4,4,3,0,0,1,2,18,12.5,22,27.5
29,21,"2015-12-21","30-067","NYK","","ORL",-8,1,"32:39",2,8,0.25,0,3,0,0,0,NA,2,3,5,3,0,0,1,2,4,1.8,-12,14.3
30,22,"2015-12-23","30-069","NYK","@","CLE",-7,1,"36:21",6,17,0.353,0,4,0,4,4,1,0,5,5,3,1,0,2,2,16,8.3,0,27.8
31,23,"2015-12-26","30-072","NYK","@","ATL",-19,1,"32:10",4,10,0.4,1,4,0.25,1,1,1,0,3,3,1,0,0,2,1,10,3.8,-7,14.8
32,24,"2015-12-27","30-073","NYK","@","BOS",-9,1,"33:17",2,10,0.2,0,3,0,0,0,NA,0,4,4,1,0,0,0,2,4,-1.1,-6,10.5
33,25,"2015-12-29","30-075","NYK","","DET",12,1,"31:14",4,9,0.444,1,2,0.5,0,0,NA,0,6,6,2,1,0,0,1,9,8.1,-5,22
34,26,"2016-01-01","30-078","NYK","@","CHI",-27,1,"29:03",2,9,0.222,0,3,0,0,0,NA,0,1,1,0,0,0,2,2,4,-4,-34,4.3
35,27,"2016-01-03","30-080","NYK","","ATL",14,1,"37:05",14,17,0.824,7,8,0.875,3,4,0.75,0,2,2,2,0,1,1,2,38,32.2,14,48.5
36,28,"2016-01-05","30-082","NYK","@","ATL",6,1,"36:59",9,16,0.563,2,2,1,3,4,0.75,0,7,7,4,1,0,1,4,23,18.3,16,40.3
37,29,"2016-01-06","30-083","NYK","@","MIA",8,1,"40:23",4,10,0.4,1,2,0.5,0,0,NA,0,2,2,0,1,0,2,1,9,2.8,3,13
38,30,"2016-01-08","30-085","NYK","@","SAS",-1,1,"40:29",3,8,0.375,2,3,0.667,0,0,NA,1,3,4,4,0,1,0,2,8,7.9,1,22
39,31,"2016-01-10","30-087","NYK","","MIL",12,1,"30:55",5,16,0.313,0,5,0,1,1,1,0,1,1,3,1,0,0,3,11,4,15,18.8
40,32,"2016-01-12","30-089","NYK","","BOS",6,1,"40:34",9,18,0.5,1,2,0.5,5,5,1,0,3,3,1,0,0,0,1,24,16.2,8,29.8
41,33,"2016-01-13","30-090","NYK","@","BRK",-6,1,"35:49",8,16,0.5,2,5,0.4,0,0,NA,0,3,3,2,0,0,0,3,18,11.1,-8,25.8
42,34,"2016-01-16","30-093","NYK","@","MEM",-8,1,"36:14",3,11,0.273,1,4,0.25,4,4,1,0,3,3,3,0,2,2,2,11,6.1,-8,22.8
43,35,"2016-01-18","30-095","NYK","","PHI",6,1,"44:34",8,17,0.471,2,4,0.5,7,7,1,2,5,7,0,1,0,1,3,25,18,5,36.3
44,36,"2016-01-20","30-097","NYK","","UTA",7,1,"42:42",6,11,0.545,2,3,0.667,0,0,NA,0,0,0,2,0,0,1,5,14,7.1,3,17.5
45,37,"2016-01-22","30-099","NYK","","LAC",-28,1,"30:09",1,5,0.2,0,1,0,3,3,1,0,1,1,2,1,0,1,3,5,2.4,-28,10.8
46,38,"2016-01-23","30-100","NYK","@","CHO",-13,1,"30:34",3,10,0.3,2,4,0.5,2,2,1,1,3,4,2,1,1,3,2,10,5.1,-17,21.5
47,39,"2016-01-26","30-103","NYK","","OKC",-6,1,"40:20",6,21,0.286,1,5,0.2,4,4,1,0,5,5,2,0,0,2,5,17,3.6,4,25.8
48,40,"2016-01-28","30-105","NYK","@","TOR",-10,1,"38:19",7,17,0.412,3,3,1,3,3,1,0,2,2,4,0,0,0,2,20,13.5,-4,30
49,41,"2016-01-29","30-106","NYK","","PHO",18,1,"29:10",6,13,0.462,2,6,0.333,3,3,1,0,1,1,3,1,0,1,2,17,11.9,17,25.3
50,42,"2016-01-31","30-108","NYK","","GSW",-21,1,"37:32",2,12,0.167,1,3,0.333,0,0,NA,1,1,2,2,1,0,2,1,5,-1.6,-13,12
51,43,"2016-02-02","30-110","NYK","","BOS",-8,1,"39:45",7,16,0.438,2,5,0.4,2,4,0.5,0,2,2,3,1,0,4,0,18,8.5,-3,26
52,44,"2016-02-04","30-112","NYK","@","DET",-6,1,"43:18",8,15,0.533,1,5,0.2,7,8,0.875,0,3,3,3,2,0,2,3,24,18.1,1,35.8
53,45,"2016-02-05","30-113","NYK","","MEM",-6,1,"41:17",4,15,0.267,2,7,0.286,4,4,1,0,5,5,2,0,0,1,3,14,5.8,-6,23.8
54,46,"2016-02-07","30-115","NYK","","DEN",-5,1,"40:02",6,8,0.75,1,1,1,2,2,1,0,6,6,3,1,0,0,4,15,15.1,-8,29.5
55,47,"2016-02-09","30-117","NYK","","WAS",-3,1,"38:18",5,7,0.714,1,2,0.5,0,0,NA,0,2,2,0,0,0,1,3,11,6.5,-12,13.5
56,48,"2016-02-19","30-127","NYK","@","BRK",-11,1,"38:33",6,9,0.667,3,4,0.75,2,2,1,0,2,2,2,1,0,2,1,17,13.7,-8,25
57,49,"2016-02-20","30-128","NYK","@","MIN",8,1,"39:24",4,10,0.4,3,5,0.6,0,0,NA,0,4,4,3,1,0,3,1,11,6.5,1,22.5
58,50,"2016-02-22","30-130","NYK","","TOR",-27,1,"33:29",3,11,0.273,0,2,0,1,1,1,1,4,5,2,0,1,0,4,7,2.9,-22,18.3
59,51,"2016-02-24","30-132","NYK","@","IND",-3,1,"23:36",1,6,0.167,0,2,0,2,2,1,0,5,5,3,0,0,2,1,4,1.4,-10,13.8
60,52,"2016-02-26","30-134","NYK","","ORL",13,1,"31:56",5,11,0.455,2,4,0.5,2,2,1,0,12,12,3,1,0,1,0,14,14,6,37.5
62,53,"2016-03-01","30-138","NYK","","POR",-19,1,"36:05",6,9,0.667,1,1,1,0,0,NA,1,5,6,1,0,0,0,0,13,12,-7,22.5
63,54,"2016-03-04","30-141","NYK","@","BOS",-1,1,"39:09",7,11,0.636,3,6,0.5,0,0,NA,0,1,1,3,0,0,3,1,17,11.1,-5,22.8
64,55,"2016-03-05","30-142","NYK","","DET",13,1,"42:17",9,12,0.75,1,2,0.5,1,2,0.5,0,7,7,3,0,0,1,1,20,17.6,18,33.3
65,56,"2016-03-08","30-145","NYK","@","DEN",-16,1,"35:44",3,8,0.375,1,2,0.5,2,2,1,0,4,4,2,0,0,0,1,9,6.8,-12,17.5
68,57,"2016-03-13","30-150","NYK","@","LAL",3,0,"27:29",3,9,0.333,0,2,0,3,4,0.75,0,3,3,2,0,0,1,1,9,4.4,-3,15.3
69,58,"2016-03-16","30-153","NYK","@","GSW",-36,0,"35:06",7,14,0.5,1,2,0.5,0,2,0,1,1,2,4,1,0,0,1,15,11.6,-24,26
