"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","27-174","NOP","@","GSW",-16,0,"16:56",3,7,0.429,0,0,NA,0,0,NA,3,1,4,0,0,0,1,3,6,2.5,4,10.5
2,2,"2015-10-28","27-175","NOP","@","POR",-18,0,"7:21",0,3,0,0,0,NA,2,2,1,1,1,2,0,0,0,0,2,2,0.1,-10,4.5
3,3,"2015-10-31","27-178","NOP","","GSW",-14,0,"6:09",3,5,0.6,0,0,NA,1,1,1,4,1,5,1,1,0,0,0,7,9.5,5,16.8
4,4,"2015-11-03","27-181","NOP","","ORL",-9,1,"20:29",2,5,0.4,0,0,NA,0,0,NA,1,3,4,1,0,2,1,2,4,3.2,-1,14
5,5,"2015-11-06","27-184","NOP","","ATL",-6,0,"8:44",2,2,1,0,0,NA,0,0,NA,0,2,2,0,1,1,0,1,4,5.3,0,10.5
6,6,"2015-11-07","27-185","NOP","@","DAL",-9,1,"16:26",4,5,0.8,0,0,NA,0,0,NA,3,3,6,0,0,0,1,1,8,7.7,7,15
7,7,"2015-11-10","27-188","NOP","","DAL",15,0,"5:26",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,1,0,1,0,0.9,-12,5.3
8,8,"2015-11-11","27-189","NOP","@","ATL",-8,0,"8:41",0,3,0,0,0,NA,0,0,NA,1,3,4,1,0,0,1,1,0,-1.2,2,6
9,9,"2015-11-13","27-191","NOP","@","TOR",-19,0,"23:45",5,9,0.556,0,0,NA,0,0,NA,2,7,9,0,1,0,1,5,10,7.2,-3,22.8
10,10,"2015-11-15","27-193","NOP","@","NYK",-8,0,"7:01",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,3,2,0,-3.8,-9,-0.3
11,11,"2015-11-17","27-195","NOP","","DEN",-17,0,"4:09",2,3,0.667,0,0,NA,0,0,NA,0,0,0,0,0,1,0,3,4,2.2,-9,6
12,12,"2015-11-18","27-196","NOP","@","OKC",-7,1,"22:38",6,8,0.75,0,0,NA,0,0,NA,1,9,10,1,0,2,1,5,12,11.3,-11,31
13,13,"2015-11-20","27-198","NOP","","SAS",14,0,"11:30",2,4,0.5,0,0,NA,4,4,1,0,3,3,0,0,0,0,3,8,5.7,2,11.8
17,14,"2015-11-28","27-206","NOP","@","UTA",-14,0,"4:21",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,-9,2
18,15,"2015-12-01","27-209","NOP","","MEM",-9,1,"12:36",5,6,0.833,0,0,NA,0,0,NA,1,2,3,0,0,0,0,4,10,7.5,9,13.8
19,16,"2015-12-02","27-210","NOP","@","HOU",-7,0,"9:29",3,6,0.5,0,0,NA,0,0,NA,1,2,3,0,0,1,2,4,6,1.4,2,10.8
21,17,"2015-12-07","27-215","NOP","","BOS",-18,0,"19:20",6,9,0.667,0,0,NA,0,0,NA,3,6,9,1,0,0,0,1,12,12.3,7,24.8
22,18,"2015-12-11","27-219","NOP","","WAS",2,0,"22:30",3,8,0.375,0,0,NA,1,2,0.5,1,9,10,0,0,0,1,2,7,3.8,-3,19
23,19,"2015-12-12","27-220","NOP","@","CHI",-4,1,"26:04",3,7,0.429,0,0,NA,0,0,NA,2,4,6,2,0,2,1,3,6,5.5,-7,20
24,20,"2015-12-14","27-222","NOP","@","POR",-4,1,"11:29",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,0,0,1,3,2,-1.9,-7,1.5
25,21,"2015-12-16","27-224","NOP","@","UTA",10,0,"3:43",0,3,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-2.2,-2,1.3
31,22,"2015-12-28","27-236","NOP","@","ORL",-15,0,"12:41",2,2,1,0,0,NA,3,3,1,0,3,3,0,0,2,0,2,7,7.9,-4,14.8
32,23,"2015-12-31","27-239","NOP","","LAC",-6,0,"3:15",2,3,0.667,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,4,2.3,-1,4
34,24,"2016-01-06","27-245","NOP","","DAL",-9,0,"3:02",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-3,0
35,25,"2016-01-08","27-247","NOP","","IND",-5,0,"25:48",2,7,0.286,0,1,0,0,0,NA,3,9,12,3,5,1,1,2,4,10.7,8,35
36,26,"2016-01-10","27-249","NOP","@","LAC",-3,0,"14:14",3,5,0.6,0,0,NA,3,3,1,2,4,6,1,0,0,0,0,9,10,2,18
37,27,"2016-01-12","27-251","NOP","@","LAL",-4,0,"21:40",4,8,0.5,0,0,NA,2,2,1,5,5,10,2,0,1,2,4,10,9.5,-7,28
38,28,"2016-01-13","27-252","NOP","@","SAC",12,0,"10:13",0,0,NA,0,0,NA,0,0,NA,1,2,3,0,0,2,0,4,0,1.1,9,7.8
39,29,"2016-01-15","27-254","NOP","","CHO",2,0,"6:17",2,2,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,4,2.9,5,5.3
40,30,"2016-01-18","27-257","NOP","@","MEM",-2,0,"11:46",2,5,0.4,0,0,NA,0,0,NA,1,3,4,0,0,0,0,3,4,1.7,-3,9
41,31,"2016-01-19","27-258","NOP","","MIN",15,0,"14:58",1,3,0.333,0,0,NA,0,0,NA,2,4,6,1,0,0,0,2,2,2.8,13,11
42,32,"2016-01-21","27-260","NOP","","DET",16,0,"9:37",3,3,1,0,0,NA,0,0,NA,0,3,3,0,0,1,0,1,6,6.3,0,11.8
