"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-362","LAC","@","SAC",7,0,"0:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
2,2,"2015-10-29","26-363","LAC","","DAL",16,0,"6:54",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,-0.4,-8,1.5
9,3,"2015-11-12","27-012","LAC","@","PHO",-14,0,"6:47",1,1,1,0,0,NA,0,0,NA,1,3,4,0,0,0,0,1,2,2.9,6,7
14,4,"2015-11-24","27-024","LAC","@","DEN",17,0,"1:54",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,0
16,5,"2015-11-27","27-027","LAC","","NOP",21,0,"1:30",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,1,0,1,-0.1,-2,1.8
28,6,"2015-12-19","27-049","LAC","@","HOU",-10,0,"6:05",1,1,1,0,0,NA,0,0,NA,2,4,6,1,0,0,1,0,2,4,8,10.5
29,7,"2015-12-21","27-051","LAC","","OKC",-1,0,"13:47",2,3,0.667,0,0,NA,1,2,0.5,0,4,4,0,3,2,1,0,5,7.9,6,19.5
30,8,"2015-12-25","27-055","LAC","@","LAL",10,0,"11:18",0,2,0,0,0,NA,0,0,NA,0,0,0,1,1,0,1,3,0,-1.9,-13,3
31,9,"2015-12-26","27-056","LAC","@","UTA",5,0,"13:14",4,6,0.667,0,0,NA,0,2,0,1,2,3,2,0,1,0,3,8,6.8,-2,16.8
32,10,"2015-12-28","27-058","LAC","@","WAS",17,0,"19:55",3,9,0.333,0,0,NA,7,8,0.875,0,6,6,3,4,1,1,3,13,13.9,9,34.5
33,11,"2015-12-30","27-060","LAC","@","CHO",5,0,"14:26",3,6,0.5,0,0,NA,1,1,1,0,3,3,2,2,2,1,4,7,7.1,-1,21.3
34,12,"2015-12-31","27-061","LAC","@","NOP",6,0,"10:40",2,3,0.667,0,0,NA,0,0,NA,1,3,4,1,1,0,1,2,4,4.2,-6,12
35,13,"2016-01-02","27-063","LAC","","PHI",31,0,"11:31",4,6,0.667,0,0,NA,0,0,NA,0,9,9,1,0,2,3,5,8,5.2,13,23.3
36,14,"2016-01-06","27-067","LAC","@","POR",11,0,"12:04",1,3,0.333,0,0,NA,2,2,1,2,1,3,0,0,0,1,2,4,2.2,-5,7.3
37,15,"2016-01-09","27-070","LAC","","CHO",14,0,"12:35",4,6,0.667,0,0,NA,0,0,NA,2,2,4,0,0,0,0,0,8,7.4,-7,13
38,16,"2016-01-10","27-071","LAC","","NOP",3,0,"9:08",0,2,0,0,0,NA,0,0,NA,1,5,6,0,0,0,1,4,0,-1.8,-13,7
39,17,"2016-01-13","27-074","LAC","","MIA",14,1,"24:12",7,14,0.5,0,0,NA,5,7,0.714,4,3,7,3,1,0,2,1,19,15.6,10,33.3
40,18,"2016-01-16","27-077","LAC","","SAC",-7,1,"28:37",8,14,0.571,0,0,NA,3,6,0.5,4,6,10,2,2,3,2,4,19,17.7,-6,45
41,19,"2016-01-18","27-079","LAC","","HOU",8,0,"11:30",3,5,0.6,0,0,NA,2,2,1,3,1,4,1,1,1,0,4,8,8.9,2,18.5
42,20,"2016-01-21","27-082","LAC","@","CLE",-13,0,"14:34",4,9,0.444,0,0,NA,3,4,0.75,2,2,4,3,0,1,0,3,11,9.5,6,22.5
43,21,"2016-01-22","27-083","LAC","@","NYK",28,0,"17:58",4,6,0.667,0,0,NA,4,4,1,1,4,5,0,1,1,1,2,12,11.2,4,21.8
44,22,"2016-01-24","27-085","LAC","@","TOR",-18,0,"10:40",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,1,1,3,2,-0.2,-26,4.8
45,23,"2016-01-26","27-087","LAC","@","IND",2,0,"6:46",0,1,0,0,0,NA,0,2,0,0,2,2,0,0,0,0,1,0,-1.3,6,2.5
46,24,"2016-01-27","27-088","LAC","@","ATL",2,0,"13:48",1,4,0.25,0,0,NA,1,2,0.5,2,2,4,1,0,2,1,2,3,2.5,11,13
47,25,"2016-01-29","27-090","LAC","","LAL",12,0,"13:21",1,1,1,0,0,NA,4,6,0.667,0,4,4,1,0,1,0,2,6,6.7,-7,14.5
48,26,"2016-01-31","27-092","LAC","","CHI",27,0,"9:51",0,1,0,0,0,NA,0,0,NA,0,4,4,3,0,0,2,1,0,0.2,3,8.5
49,27,"2016-02-03","27-095","LAC","","MIN",-6,0,"11:40",1,1,1,0,0,NA,2,2,1,2,0,2,0,1,1,0,4,4,5.2,2,10.5
50,28,"2016-02-05","27-097","LAC","@","ORL",14,0,"8:20",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,1,0,2,5,2,-2.1,-2,5.5
51,29,"2016-02-07","27-099","LAC","@","MIA",7,0,"13:18",2,3,0.667,0,0,NA,1,5,0.2,3,8,11,1,0,2,1,2,5,6.9,2,23.8
52,30,"2016-02-08","27-100","LAC","@","PHI",6,0,"10:18",4,5,0.8,0,0,NA,2,2,1,2,1,3,0,1,0,0,1,10,10.4,-6,15.8
53,31,"2016-02-10","27-102","LAC","@","BOS",-5,0,"8:20",1,1,1,0,0,NA,0,0,NA,1,0,1,2,1,1,2,4,2,1.9,2,9.3
54,32,"2016-02-18","27-110","LAC","","SAS",19,0,"20:23",4,5,0.8,0,0,NA,0,2,0,2,6,8,2,0,3,1,3,8,9.8,-10,26.5
55,33,"2016-02-20","27-112","LAC","","GSW",-3,0,"8:07",2,4,0.5,0,0,NA,0,0,NA,4,2,6,2,0,0,1,2,4,5,3,14
56,34,"2016-02-22","27-114","LAC","","PHO",40,0,"14:15",4,6,0.667,0,0,NA,0,0,NA,3,5,8,1,1,3,4,2,8,8,7,25.5
57,35,"2016-02-24","27-116","LAC","","DEN",-6,0,"11:09",1,1,1,0,0,NA,0,0,NA,1,3,4,0,2,1,1,1,2,4.6,0,12.5
58,36,"2016-02-26","27-118","LAC","@","SAC",10,0,"14:12",0,1,0,0,0,NA,0,0,NA,2,3,5,1,0,0,1,5,0,-0.7,3,7.3
59,37,"2016-02-29","27-121","LAC","","BRK",10,0,"10:58",1,2,0.5,0,0,NA,0,0,NA,1,5,6,0,0,2,0,3,2,3.4,5,13.5
60,38,"2016-03-02","27-123","LAC","","OKC",5,0,"11:32",4,5,0.8,0,0,NA,0,0,NA,0,6,6,0,1,0,0,0,8,8.9,2,17.5
61,39,"2016-03-05","27-126","LAC","","ATL",-10,0,"12:14",1,2,0.5,0,0,NA,0,0,NA,3,3,6,0,1,2,1,2,2,4.6,2,15
62,40,"2016-03-07","27-128","LAC","@","DAL",19,0,"9:52",1,4,0.25,0,0,NA,2,2,1,1,2,3,0,0,2,0,2,4,3.5,-15,11.8
63,41,"2016-03-09","27-130","LAC","@","OKC",-12,0,"15:06",5,5,1,0,0,NA,0,0,NA,0,6,6,0,0,0,1,2,10,8.5,-5,17
64,42,"2016-03-11","27-132","LAC","","NYK",7,0,"23:23",1,3,0.333,0,0,NA,0,0,NA,4,2,6,0,1,1,3,6,2,0,-10,12
65,43,"2016-03-13","27-134","LAC","","CLE",-24,0,"11:43",2,4,0.5,0,0,NA,0,0,NA,2,3,5,1,0,2,1,3,4,4.2,-11,15.3
66,44,"2016-03-15","27-136","LAC","@","SAS",-21,0,"13:34",3,4,0.75,0,0,NA,1,1,1,1,3,4,0,1,0,1,3,7,5.8,-18,13.5
67,45,"2016-03-16","27-137","LAC","@","HOU",16,0,"10:10",1,1,1,0,0,NA,0,0,NA,0,0,0,1,1,3,0,3,2,4.3,3,11.5
68,46,"2016-03-19","27-140","LAC","@","MEM",-11,0,"14:01",0,2,0,0,0,NA,2,2,1,1,3,4,2,2,4,2,2,2,5.6,13,21
69,47,"2016-03-20","27-141","LAC","@","NOP",-4,0,"13:20",0,2,0,0,0,NA,2,2,1,2,2,4,0,0,3,2,2,2,1.9,-8,12
70,48,"2016-03-23","27-144","LAC","@","GSW",-16,0,"7:03",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,2,2,1,2,1,-19,7.5
71,49,"2016-03-24","27-145","LAC","","POR",2,0,"15:21",3,5,0.6,0,0,NA,1,1,1,1,4,5,1,1,2,1,3,7,7.5,5,20.3
72,50,"2016-03-27","27-148","LAC","","DEN",15,0,"16:23",2,3,0.667,0,0,NA,1,1,1,2,1,3,0,0,1,0,3,5,4.9,5,10.8
