"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-266","IND","@","TOR",-7,0,"12:22",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,2,1.2,-2,4.5
2,2,"2015-10-29","26-267","IND","","MEM",-9,0,"7:25",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,-6,2.8
3,3,"2015-10-31","26-269","IND","","UTA",-21,0,"21:38",1,4,0.25,0,0,NA,1,2,0.5,2,3,5,1,0,1,4,1,3,-0.5,-12,10.8
4,4,"2015-11-03","26-272","IND","@","DET",12,0,"21:53",2,7,0.286,0,0,NA,0,0,NA,3,3,6,2,1,1,2,1,4,3.6,12,17.5
5,5,"2015-11-04","26-273","IND","","BOS",2,1,"28:38",3,8,0.375,0,0,NA,1,2,0.5,6,5,11,1,0,0,1,5,7,5.6,-1,21.8
6,6,"2015-11-06","26-275","IND","","MIA",3,1,"22:34",2,4,0.5,0,0,NA,0,2,0,1,4,5,2,0,0,0,2,4,3.7,23,13.3
7,7,"2015-11-08","26-277","IND","@","CLE",-4,0,"24:46",0,5,0,0,0,NA,0,0,NA,1,7,8,3,0,2,0,3,0,1.6,4,18.5
9,8,"2015-11-11","26-280","IND","@","BOS",11,0,"18:15",2,5,0.4,0,0,NA,2,2,1,1,3,4,0,0,0,0,4,6,3.3,6,11
10,9,"2015-11-13","26-282","IND","","MIN",4,0,"28:18",3,7,0.429,0,0,NA,0,0,NA,2,4,6,1,2,0,0,2,6,6.8,21,19
11,10,"2015-11-16","26-285","IND","@","CHI",-1,0,"24:12",4,7,0.571,0,0,NA,0,1,0,1,5,6,2,0,1,1,2,8,6.8,-5,20
12,11,"2015-11-18","26-287","IND","@","PHI",27,1,"19:07",3,5,0.6,0,0,NA,1,2,0.5,3,3,6,2,1,1,1,2,7,8.6,24,21
13,12,"2015-11-21","26-290","IND","","MIL",37,0,"28:32",3,7,0.429,0,0,NA,0,0,NA,4,4,8,5,1,1,1,2,6,9.7,23,27
14,13,"2015-11-24","26-293","IND","@","WAS",17,0,"14:47",2,6,0.333,0,0,NA,0,0,NA,2,1,3,0,0,0,3,2,4,-1.5,-10,6.3
