"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-037","POR","","NOP",18,1,"31:08",3,7,0.429,1,3,0.333,2,2,1,0,8,8,0,1,2,3,0,9,7.1,27,24
2,2,"2015-10-30","25-039","POR","@","PHO",-18,1,"31:32",5,9,0.556,2,3,0.667,4,5,0.8,3,7,10,0,0,2,6,5,16,8.9,-12,32
3,3,"2015-10-31","25-040","POR","","PHO",-11,1,"33:44",5,14,0.357,2,4,0.5,4,4,1,0,7,7,5,0,0,2,2,16,11,-10,32.3
4,4,"2015-11-02","25-042","POR","@","MIN",5,1,"32:24",7,12,0.583,2,5,0.4,1,2,0.5,3,6,9,1,0,1,0,5,17,14.3,11,32.8
5,5,"2015-11-04","25-044","POR","@","UTA",16,1,"35:59",5,9,0.556,1,2,0.5,2,5,0.4,1,7,8,1,2,0,2,3,13,9.8,13,28
6,6,"2015-11-05","25-045","POR","","MEM",19,1,"33:11",4,11,0.364,1,4,0.25,2,4,0.5,2,8,10,5,1,0,2,4,11,8.8,11,34
7,7,"2015-11-08","25-048","POR","","DET",-17,1,"35:24",3,7,0.429,0,4,0,3,4,0.75,0,9,9,1,0,0,2,1,9,5.9,-19,20.8
8,8,"2015-11-09","25-049","POR","@","DEN",-4,1,"33:42",5,16,0.313,2,7,0.286,0,0,NA,1,3,4,2,1,1,1,2,12,5.7,-6,24.5
9,9,"2015-11-11","25-051","POR","","SAS",-12,1,"32:44",4,11,0.364,2,6,0.333,1,2,0.5,0,3,3,4,0,1,0,2,11,8.1,5,23.8
10,10,"2015-11-13","25-053","POR","@","MEM",-1,1,"33:53",4,11,0.364,2,6,0.333,6,6,1,1,7,8,1,1,3,2,4,16,12.9,9,35.5
11,11,"2015-11-15","25-055","POR","@","CHO",-12,1,"21:31",2,5,0.4,1,2,0.5,2,2,1,0,3,3,2,1,0,0,5,7,5.6,0,16.3
12,12,"2015-11-16","25-056","POR","@","SAS",-13,1,"35:50",7,14,0.5,3,5,0.6,0,1,0,1,3,4,1,0,0,3,2,17,8.1,3,23.5
13,13,"2015-11-18","25-058","POR","@","HOU",-5,1,"36:42",5,16,0.313,2,8,0.25,4,4,1,2,13,15,0,1,1,3,3,16,9.6,-10,39.8
14,14,"2015-11-20","25-060","POR","","LAC",11,1,"34:47",4,13,0.308,2,6,0.333,0,0,NA,2,10,12,3,1,2,1,1,10,10,8,37.5
15,15,"2015-11-22","25-062","POR","@","LAL",14,1,"31:31",3,8,0.375,1,2,0.5,3,4,0.75,2,4,6,2,0,1,2,2,10,7.1,7,22
16,16,"2015-11-24","25-064","POR","","CHI",-5,1,"21:42",1,9,0.111,1,3,0.333,2,2,1,2,4,6,1,0,1,2,1,5,0.7,-3,15.5
17,17,"2015-11-28","25-068","POR","","LAL",12,1,"28:23",2,6,0.333,0,3,0,1,2,0.5,2,7,9,3,0,0,1,1,5,5.4,12,20.3
18,18,"2015-11-30","25-070","POR","@","LAC",-15,1,"33:35",3,15,0.2,1,7,0.143,0,2,0,2,5,7,2,0,0,2,4,7,-2.4,-17,18.3
19,19,"2015-12-01","25-071","POR","","DAL",-3,1,"18:16",0,2,0,0,2,0,0,0,NA,0,1,1,1,1,1,2,0,0,-0.7,-10,5.8
20,20,"2015-12-03","25-073","POR","","IND",12,1,"31:54",4,9,0.444,3,7,0.429,2,2,1,2,4,6,5,1,0,2,1,13,13,8,30.5
21,21,"2015-12-05","25-075","POR","@","MIN",6,1,"27:16",5,7,0.714,2,2,1,4,5,0.8,0,3,3,1,3,0,3,2,16,13.5,8,26.8
22,22,"2015-12-07","25-077","POR","@","MIL",-2,1,"30:20",4,8,0.5,1,3,0.333,0,1,0,1,4,5,1,2,0,1,4,9,6.6,-1,20.8
23,23,"2015-12-08","25-078","POR","@","CLE",-5,1,"30:59",1,3,0.333,1,2,0.5,1,2,0.5,1,4,5,0,0,1,1,5,4,1.5,-5,12.3
24,24,"2015-12-11","25-081","POR","@","PHO",10,1,"30:11",5,12,0.417,2,5,0.4,1,1,1,3,10,13,1,3,1,2,1,13,13.7,16,40.3
25,25,"2015-12-12","25-082","POR","","NYK",-2,1,"32:08",5,13,0.385,1,5,0.2,0,0,NA,2,3,5,1,0,0,1,0,11,5.9,5,18.8
26,26,"2015-12-14","25-084","POR","","NOP",4,1,"27:40",4,9,0.444,2,4,0.5,0,0,NA,1,8,9,1,0,1,1,0,10,8.8,2,25.3
27,27,"2015-12-16","25-086","POR","@","OKC",-16,1,"20:31",2,7,0.286,1,2,0.5,0,0,NA,1,4,5,0,1,1,1,2,5,2.7,-18,15.3
28,28,"2015-12-18","25-088","POR","@","ORL",-8,1,"28:35",5,6,0.833,4,5,0.8,2,2,1,1,3,4,1,0,0,1,2,16,14.3,-6,24
29,29,"2015-12-20","25-090","POR","@","MIA",-7,1,"32:13",6,9,0.667,4,7,0.571,0,0,NA,1,3,4,2,3,0,2,3,16,14.9,-6,31
