"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
56,1,"2016-02-24","33-131","WAS","@","CHI",-5,0,"16:28",3,4,0.75,2,3,0.667,1,1,1,0,3,3,1,0,0,1,2,9,7.2,11,14.8
57,2,"2016-02-26","33-133","WAS","@","PHI",9,0,"15:48",1,3,0.333,1,2,0.5,2,2,1,1,1,2,0,0,1,0,2,5,4.2,5,10
58,3,"2016-02-28","33-135","WAS","","CLE",14,0,"15:21",1,5,0.2,1,4,0.25,2,3,0.667,0,3,3,2,1,0,0,1,5,4.4,6,14.3
60,4,"2016-03-02","33-138","WAS","@","MIN",6,0,"20:35",6,9,0.667,4,7,0.571,2,2,1,0,2,2,0,1,0,0,4,18,14.1,23,24.5
62,5,"2016-03-05","33-141","WAS","","IND",-1,0,"23:32",3,6,0.5,1,2,0.5,2,2,1,0,3,3,4,0,0,0,4,9,8.1,9,19.3
63,6,"2016-03-08","33-144","WAS","@","POR",-7,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
64,7,"2016-03-11","33-147","WAS","@","UTA",-21,0,"15:31",1,7,0.143,1,4,0.25,0,0,NA,0,1,1,1,0,0,0,3,3,-1.7,-4,6.3
66,8,"2016-03-14","33-150","WAS","","DET",43,0,"3:31",1,1,1,1,1,1,0,1,0,0,2,2,0,0,0,1,0,3,1.9,3,5.5
69,9,"2016-03-19","33-155","WAS","","NYK",10,0,"18:17",1,6,0.167,0,5,0,0,0,NA,0,3,3,1,0,0,0,1,2,-0.6,-6,7.3
79,10,"2016-04-08","33-175","WAS","@","DET",-13,0,"19:09",0,3,0,0,3,0,0,0,NA,0,1,1,1,1,0,0,1,0,-0.5,3,4.8
80,11,"2016-04-10","33-177","WAS","","CHO",15,0,"12:50",1,3,0.333,0,1,0,2,4,0.5,0,3,3,0,0,0,0,1,4,2,-1,7.8
81,12,"2016-04-11","33-178","WAS","@","BRK",9,0,"17:46",2,8,0.25,0,2,0,0,0,NA,0,0,0,3,0,0,0,2,4,0.5,1,8.5
82,13,"2016-04-13","33-180","WAS","","ATL",11,0,"12:12",1,4,0.25,1,3,0.333,0,0,NA,0,4,4,1,1,0,0,4,3,1.9,-16,12
