"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-217","SAC","","LAC",-7,0,"3:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,0.6,-1,2
2,2,"2015-10-30","26-219","SAC","","LAL",18,0,"4:30",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,2,0,3,0,-5,2.5
4,3,"2015-11-03","26-223","SAC","","MEM",-14,0,"4:15",0,1,0,0,0,NA,3,4,0.75,0,1,1,0,1,0,0,0,3,3.2,5,6.3
5,4,"2015-11-04","26-224","SAC","@","PHO",-21,1,"24:35",5,15,0.333,4,10,0.4,1,1,1,0,0,0,2,2,0,3,1,15,6.5,-13,22.5
6,5,"2015-11-06","26-226","SAC","","HOU",-6,1,"17:48",0,4,0,0,3,0,2,2,1,1,4,5,0,0,0,0,0,2,1.1,-18,8.3
7,6,"2015-11-07","26-227","SAC","","GSW",-9,1,"14:13",1,3,0.333,0,1,0,0,0,NA,0,0,0,3,0,1,1,1,2,1.7,-1,8
8,7,"2015-11-09","26-229","SAC","","SAS",-18,1,"7:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
9,8,"2015-11-11","26-231","SAC","","DET",9,1,"17:13",1,3,0.333,1,2,0.5,0,0,NA,1,0,1,0,0,0,2,3,3,-1.2,13,3.8
10,9,"2015-11-13","26-233","SAC","","BRK",2,1,"5:31",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-6,0
17,10,"2015-11-27","26-247","SAC","","MIN",-10,0,"1:15",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
18,11,"2015-11-28","26-248","SAC","@","GSW",-19,0,"5:53",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,0.6,9,2.5
20,12,"2015-12-03","26-253","SAC","","BOS",-17,0,"4:18",1,3,0.333,1,2,0.5,2,2,1,0,1,1,0,0,0,1,0,5,2.6,4,6.3
22,13,"2015-12-06","26-256","SAC","@","OKC",-3,0,"10:09",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,0,-2.9,1,0.8
25,14,"2015-12-15","26-265","SAC","","HOU",10,0,"1:29",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
31,15,"2015-12-28","26-278","SAC","@","GSW",-19,0,"22:15",2,8,0.25,0,1,0,1,1,1,2,2,4,1,1,0,1,2,5,2.1,4,13
33,16,"2016-01-02","26-283","SAC","","PHO",23,0,"14:32",2,3,0.667,1,2,0.5,0,0,NA,0,3,3,0,0,0,1,2,5,2.8,12,8.8
34,17,"2016-01-04","26-285","SAC","@","OKC",12,0,"5:28",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,4,1.3
35,18,"2016-01-05","26-286","SAC","@","DAL",-1,0,"14:27",0,2,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,-1.1,-14,1.5
36,19,"2016-01-07","26-288","SAC","","LAL",3,0,"12:48",0,0,NA,0,0,NA,0,0,NA,1,1,2,1,0,0,1,1,0,0.3,-7,3.5
41,20,"2016-01-20","26-301","SAC","@","LAL",19,0,"2:05",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,0,0,0,0,0,1.4,-1,2.8
42,21,"2016-01-21","26-302","SAC","","ATL",3,0,"0:13",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,0,1.3
43,22,"2016-01-23","26-304","SAC","","IND",11,0,"20:05",1,3,0.333,1,2,0.5,0,0,NA,0,3,3,1,0,1,0,3,3,2.4,7,10.8
44,23,"2016-01-25","26-306","SAC","","CHO",-1,0,"8:49",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,-11,1.5
45,24,"2016-01-26","26-307","SAC","@","POR",-15,0,"17:42",1,4,0.25,0,1,0,0,0,NA,0,2,2,3,0,1,0,2,2,2.2,-2,11
46,25,"2016-01-28","26-309","SAC","@","NOP",-9,0,"14:51",2,4,0.5,1,3,0.333,0,0,NA,0,1,1,0,1,0,1,0,5,3.3,-12,8.3
47,26,"2016-01-30","26-311","SAC","@","MEM",-4,0,"17:45",1,3,0.333,0,1,0,2,2,1,1,0,1,0,0,0,0,1,4,2.6,4,5.3
48,27,"2016-02-01","26-313","SAC","","MIL",7,0,"8:38",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,4,2.5
50,28,"2016-02-05","26-317","SAC","@","BRK",-9,0,"15:13",4,8,0.5,0,2,0,0,0,NA,0,3,3,0,0,1,1,2,8,3.8,-3,13.3
51,29,"2016-02-07","26-319","SAC","@","BOS",-9,1,"17:45",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,0,2,1,0,2,2,-14,8
52,30,"2016-02-08","26-320","SAC","@","CLE",-20,0,"16:48",2,3,0.667,0,1,0,0,0,NA,0,3,3,1,1,2,3,5,4,1.7,-2,13.8
53,31,"2016-02-10","26-322","SAC","@","PHI",4,0,"4:52",0,1,0,0,1,0,0,0,NA,0,1,1,0,1,0,0,0,0,0.6,-2,3.3
54,32,"2016-02-19","26-331","SAC","","DEN",6,0,"24:01",0,2,0,0,1,0,0,0,NA,0,1,1,1,1,0,3,3,0,-3.6,0,3.3
56,33,"2016-02-24","26-336","SAC","","SAS",-16,0,"1:25",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,1,-1,2
58,34,"2016-02-29","26-341","SAC","","OKC",-15,1,"18:23",1,5,0.2,1,2,0.5,0,0,NA,0,3,3,1,1,0,0,1,3,2.1,6,10.8
59,35,"2016-03-02","26-343","SAC","@","MEM",-6,0,"5:00",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-10,1.3
63,36,"2016-03-09","26-350","SAC","","CLE",-9,0,"9:03",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,-4,1.3
67,37,"2016-03-16","26-357","SAC","","NOP",-15,1,"33:39",7,9,0.778,3,4,0.75,0,0,NA,1,3,4,1,1,0,1,1,17,15.4,-15,26.5
68,38,"2016-03-18","26-359","SAC","@","DET",-7,1,"29:17",4,8,0.5,2,5,0.4,0,0,NA,0,2,2,0,1,1,0,2,10,7.5,0,17.5
69,39,"2016-03-20","26-361","SAC","@","NYK",8,0,"2:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-6,0
70,40,"2016-03-21","26-362","SAC","@","CHI",-7,1,"15:40",1,6,0.167,0,4,0,0,0,NA,0,2,2,2,0,0,2,0,2,-1.8,-12,6.5
71,41,"2016-03-23","26-364","SAC","@","MIN",-9,1,"12:01",2,4,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,4,1.9,-6,5.3
72,42,"2016-03-25","27-000","SAC","","PHO",22,0,"13:53",0,2,0,0,1,0,0,0,NA,2,1,3,1,0,0,1,2,0,-0.8,1,4.8
73,43,"2016-03-27","27-002","SAC","","DAL",22,0,"4:38",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-5,1.5
74,44,"2016-03-28","27-003","SAC","@","POR",-12,0,"22:03",2,4,0.5,1,2,0.5,3,4,0.75,0,2,2,2,1,0,1,3,8,6.4,4,15.5
76,45,"2016-04-01","27-007","SAC","","MIA",-6,0,"19:11",3,5,0.6,1,3,0.333,0,0,NA,0,1,1,1,0,1,0,0,7,6.4,14,12.3
77,46,"2016-04-02","27-008","SAC","@","DEN",9,0,"22:39",4,10,0.4,2,6,0.333,3,3,1,1,7,8,4,0,0,0,2,13,12.4,9,30
78,47,"2016-04-05","27-011","SAC","","POR",-8,1,"36:20",3,9,0.333,1,5,0.2,0,0,NA,0,1,1,2,0,1,3,2,7,0.5,-5,12.3
79,48,"2016-04-07","27-013","SAC","","MIN",-8,0,"29:55",4,8,0.5,0,2,0,1,2,0.5,1,3,4,3,2,2,2,2,9,8.9,6,25.5
80,49,"2016-04-09","27-015","SAC","","OKC",2,1,"24:24",2,7,0.286,1,4,0.25,0,0,NA,0,1,1,0,1,0,1,2,5,0.4,-12,8.3
81,50,"2016-04-11","27-017","SAC","@","PHO",4,0,"23:49",4,8,0.5,0,3,0,2,2,1,0,6,6,2,1,1,3,1,10,7.5,16,23
82,51,"2016-04-13","27-019","SAC","@","HOU",-35,1,"37:12",5,12,0.417,1,5,0.2,2,6,0.333,1,3,4,5,3,0,6,3,13,5.9,-18,29
