"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","20-328","MIL","","WAS",-5,1,"34:09",9,15,0.6,1,3,0.333,8,10,0.8,3,6,9,2,3,0,6,6,27,19.2,-10,44.8
3,2,"2015-11-01","20-330","MIL","@","TOR",-19,1,"32:41",8,12,0.667,1,1,1,3,3,1,0,9,9,2,0,1,0,1,20,19.2,-7,36.8
4,3,"2015-11-02","20-331","MIL","@","BRK",7,1,"42:12",8,16,0.5,1,3,0.333,4,5,0.8,3,5,8,3,0,2,4,4,21,14.1,2,38
5,4,"2015-11-04","20-333","MIL","","PHI",4,1,"40:32",7,11,0.636,1,1,1,2,3,0.667,0,5,5,3,1,1,3,2,17,13.2,0,30.8
6,5,"2015-11-06","20-335","MIL","@","NYK",7,1,"35:39",7,13,0.538,0,0,NA,6,6,1,1,6,7,1,2,1,1,4,20,17,7,35.8
7,6,"2015-11-07","20-336","MIL","","BRK",8,1,"37:02",4,8,0.5,1,3,0.333,2,2,1,1,5,6,2,1,0,2,4,11,8,11,23
8,7,"2015-11-10","20-339","MIL","","BOS",-16,1,"24:07",6,13,0.462,1,3,0.333,3,3,1,0,3,3,0,2,0,4,5,16,6.2,-4,22.3
9,8,"2015-11-11","20-340","MIL","@","DEN",-1,1,"29:08",6,12,0.5,0,3,0,0,0,NA,1,6,7,5,0,2,3,5,12,8.4,-26,30.8
10,9,"2015-11-14","20-343","MIL","","CLE",3,1,"44:31",6,18,0.333,0,2,0,4,5,0.8,4,7,11,1,0,3,2,6,16,8.7,1,37.8
11,10,"2015-11-17","20-346","MIL","@","WAS",-29,1,"34:59",3,13,0.231,0,0,NA,3,6,0.5,1,4,5,7,1,1,4,4,9,2.8,-17,27.8
12,11,"2015-11-19","20-348","MIL","@","CLE",-15,1,"39:45",12,15,0.8,1,2,0.5,8,8,1,2,3,5,2,2,0,0,3,33,31.8,-14,46.8
13,12,"2015-11-21","20-350","MIL","@","IND",-37,1,"29:06",3,8,0.375,0,0,NA,3,4,0.75,0,5,5,2,2,2,3,3,9,6.3,-26,24.8
14,13,"2015-11-23","20-352","MIL","","DET",21,1,"26:48",6,10,0.6,1,1,1,4,4,1,2,4,6,4,0,1,2,3,17,15.3,10,32
15,14,"2015-11-25","20-354","MIL","","SAC",-11,1,"30:19",7,13,0.538,1,3,0.333,6,7,0.857,2,3,5,2,0,2,0,6,21,17,-2,34.8
16,15,"2015-11-27","20-356","MIL","@","ORL",-24,1,"31:36",7,10,0.7,0,1,0,3,3,1,0,4,4,4,2,0,3,4,17,14.2,-18,30.5
17,16,"2015-11-29","20-358","MIL","@","CHO",-5,1,"30:58",4,5,0.8,0,0,NA,0,0,NA,0,5,5,3,1,1,0,2,8,10.6,7,22.8
18,17,"2015-11-30","20-359","MIL","","DEN",18,1,"19:51",3,10,0.3,0,2,0,3,4,0.75,2,4,6,0,0,1,2,3,9,2.9,4,17.5
19,18,"2015-12-02","20-361","MIL","@","SAS",-25,1,"25:40",2,8,0.25,0,1,0,3,4,0.75,1,3,4,2,0,2,2,2,7,3.4,-13,18
20,19,"2015-12-04","20-363","MIL","@","DET",-7,1,"33:40",5,11,0.455,0,0,NA,2,2,1,1,8,9,2,0,1,4,5,12,5.5,-10,26.3
21,20,"2015-12-05","20-364","MIL","","NYK",15,1,"34:40",6,15,0.4,0,1,0,5,6,0.833,1,5,6,6,1,2,2,3,17,14.1,18,38.5
