"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-152","NYK","@","MIL",25,1,"29:16",4,16,0.25,1,5,0.2,2,2,1,0,6,6,5,1,1,2,4,11,4.8,4,29.5
2,2,"2015-10-29","31-153","NYK","","ATL",-11,1,"31:54",10,27,0.37,0,7,0,5,5,1,3,4,7,3,3,0,1,4,25,15.9,-18,43.8
3,3,"2015-10-31","31-155","NYK","@","WAS",7,1,"35:45",11,18,0.611,4,5,0.8,11,12,0.917,1,6,7,4,0,1,2,3,37,31.2,6,54.8
4,4,"2015-11-02","31-157","NYK","","SAS",-10,1,"35:28",4,17,0.235,1,3,0.333,10,12,0.833,3,4,7,2,1,0,1,3,19,11.4,-9,32.8
5,5,"2015-11-04","31-159","NYK","@","CLE",-10,1,"36:50",6,18,0.333,2,5,0.4,3,4,0.75,2,10,12,4,1,2,1,4,17,13.4,-11,46
6,6,"2015-11-06","31-161","NYK","","MIL",-7,1,"33:48",6,16,0.375,1,3,0.333,4,4,1,0,4,4,6,0,0,5,2,17,7.8,0,29
7,7,"2015-11-08","31-163","NYK","","LAL",4,1,"34:57",8,20,0.4,2,6,0.333,6,6,1,0,8,8,2,0,0,2,4,24,13.4,6,37
8,8,"2015-11-10","31-165","NYK","@","TOR",2,1,"33:02",10,23,0.435,2,6,0.333,3,3,1,0,4,4,3,3,0,2,2,25,16.4,-2,40.5
9,9,"2015-11-11","31-166","NYK","@","CHO",-2,1,"34:41",12,25,0.48,3,6,0.5,2,4,0.5,1,5,6,4,0,0,3,2,29,16.7,7,42.5
10,10,"2015-11-13","31-168","NYK","","CLE",-6,1,"35:48",9,20,0.45,4,8,0.5,4,4,1,1,4,5,4,0,1,1,3,26,18.8,1,41.8
11,11,"2015-11-15","31-170","NYK","","NOP",8,1,"39:16",11,21,0.524,1,5,0.2,6,7,0.857,1,12,13,3,1,0,2,2,29,22.9,10,52.8
12,12,"2015-11-17","31-172","NYK","","CHO",8,1,"37:19",6,18,0.333,1,4,0.25,5,6,0.833,2,9,11,5,0,2,1,2,18,14.6,19,44.8
13,13,"2015-11-20","31-175","NYK","@","OKC",3,1,"34:42",9,20,0.45,1,3,0.333,6,8,0.75,0,5,5,1,1,1,3,0,25,14.7,-1,35.8
14,14,"2015-11-21","31-176","NYK","@","HOU",5,1,"24:58",5,10,0.5,1,2,0.5,3,4,0.75,3,3,6,0,0,0,3,5,14,6.6,7,20.5
15,15,"2015-11-23","31-178","NYK","@","MIA",-17,1,"41:21",6,16,0.375,0,5,0,9,9,1,2,6,8,4,4,1,4,0,21,18.9,-7,45
16,16,"2015-11-25","31-180","NYK","@","ORL",-9,1,"35:17",9,17,0.529,3,4,0.75,7,9,0.778,3,9,12,3,1,0,2,4,28,23.2,4,51.5
17,17,"2015-11-27","31-182","NYK","","MIA",-19,1,"33:55",4,13,0.308,1,3,0.333,2,2,1,1,2,3,1,1,1,1,3,11,5,-23,20.3
19,18,"2015-12-02","31-187","NYK","","PHI",12,1,"26:26",5,16,0.313,0,3,0,2,2,1,0,6,6,2,0,0,4,2,12,1.2,12,20.5
20,19,"2015-12-04","31-189","NYK","","BRK",17,1,"31:24",9,18,0.5,5,8,0.625,5,7,0.714,1,6,7,3,2,0,2,1,28,22.4,14,46.8
21,20,"2015-12-05","31-190","NYK","@","MIL",-15,1,"31:57",6,17,0.353,2,7,0.286,4,4,1,0,5,5,3,1,1,2,5,18,9.8,-23,32.8
22,21,"2015-12-07","31-192","NYK","","DAL",-7,1,"37:58",6,18,0.333,1,6,0.167,4,5,0.8,1,5,6,8,0,0,5,4,17,7.6,-4,34.5
23,22,"2015-12-09","31-194","NYK","@","UTA",-21,1,"25:50",3,11,0.273,1,4,0.25,5,7,0.714,0,5,5,2,1,0,4,2,12,3.8,-18,21.8
24,23,"2015-12-10","31-195","NYK","@","SAC",-2,1,"39:22",8,21,0.381,1,3,0.333,6,11,0.545,5,9,14,4,1,1,5,3,23,14,-2,50
25,24,"2015-12-12","31-197","NYK","@","POR",2,1,"38:28",13,21,0.619,2,5,0.4,9,9,1,2,4,6,2,1,2,4,0,37,29.9,-8,52.5
26,25,"2015-12-16","31-201","NYK","","MIN",5,1,"34:51",6,15,0.4,1,2,0.5,7,8,0.875,3,12,15,9,1,1,4,1,20,20.8,1,56.3
27,26,"2015-12-18","31-203","NYK","@","PHI",10,1,"28:20",4,14,0.286,0,2,0,8,9,0.889,1,4,5,4,2,0,3,1,16,10.7,15,30.8
28,27,"2015-12-19","31-204","NYK","","CHI",16,1,"35:14",12,20,0.6,1,4,0.25,2,2,1,1,6,7,3,1,0,2,1,27,21,14,41.8
29,28,"2015-12-21","31-206","NYK","","ORL",-8,1,"39:37",10,17,0.588,2,3,0.667,1,2,0.5,0,4,4,6,0,0,5,3,23,13.9,-9,35.5
31,29,"2015-12-26","31-211","NYK","@","ATL",-19,1,"30:24",7,12,0.583,0,2,0,4,7,0.571,2,10,12,4,0,1,4,2,18,14.3,-6,40.5
32,30,"2015-12-27","31-212","NYK","@","BOS",-9,1,"35:25",11,26,0.423,2,5,0.4,5,7,0.714,4,6,10,2,0,0,2,3,29,17.2,-10,46
33,31,"2015-12-29","31-214","NYK","","DET",12,1,"37:53",11,24,0.458,2,5,0.4,0,0,NA,1,5,6,6,1,0,3,3,24,14.8,11,42
34,32,"2016-01-01","31-217","NYK","@","CHI",-27,1,"36:46",8,18,0.444,1,3,0.333,3,3,1,3,4,7,3,0,0,1,1,20,14.6,-17,33.3
35,33,"2016-01-03","31-219","NYK","","ATL",14,1,"35:29",4,10,0.4,0,3,0,3,4,0.75,5,4,9,5,3,0,1,2,11,14.6,4,35.3
36,34,"2016-01-05","31-221","NYK","@","ATL",6,1,"40:24",8,22,0.364,0,4,0,7,8,0.875,2,9,11,7,1,2,3,4,23,17.2,10,53.3
37,35,"2016-01-06","31-222","NYK","@","MIA",8,1,"36:37",9,12,0.75,0,1,0,7,8,0.875,0,5,5,4,2,0,1,3,25,23.9,19,40.8
38,36,"2016-01-08","31-224","NYK","@","SAS",-1,1,"39:13",5,15,0.333,2,3,0.667,8,10,0.8,5,7,12,3,0,2,0,3,20,18.6,3,46
39,37,"2016-01-10","31-226","NYK","","MIL",12,1,"36:44",10,16,0.625,1,5,0.2,3,4,0.75,3,7,10,8,0,1,1,2,24,25.1,25,52
40,38,"2016-01-12","31-228","NYK","","BOS",6,1,"17:52",7,10,0.7,2,2,1,1,1,1,0,4,4,3,0,0,2,1,17,13.7,10,26.5
43,39,"2016-01-18","31-234","NYK","","PHI",6,1,"49:11",7,28,0.25,2,6,0.333,3,7,0.429,0,7,7,7,1,0,3,2,19,4.8,12,39.8
44,40,"2016-01-20","31-236","NYK","","UTA",7,1,"41:51",13,20,0.65,0,1,0,4,4,1,1,6,7,9,0,0,2,3,30,26.8,7,51.3
45,41,"2016-01-22","31-238","NYK","","LAC",-28,1,"30:52",4,12,0.333,1,3,0.333,7,8,0.875,0,4,4,6,1,1,2,0,16,13.9,-19,33.5
46,42,"2016-01-23","31-239","NYK","@","CHO",-13,1,"28:32",4,11,0.364,0,2,0,1,3,0.333,0,6,6,2,0,0,3,2,9,1.5,-14,18
49,43,"2016-01-29","31-245","NYK","","PHO",18,1,"30:15",5,14,0.357,2,3,0.667,7,7,1,1,9,10,8,4,0,2,2,19,21.4,33,53
50,44,"2016-01-31","31-247","NYK","","GSW",-21,1,"36:05",8,18,0.444,0,2,0,8,9,0.889,1,9,10,2,0,2,3,2,24,16.6,-14,43.5
51,45,"2016-02-02","31-249","NYK","","BOS",-8,1,"34:50",4,16,0.25,1,5,0.2,7,10,0.7,1,13,14,4,0,0,3,6,16,7.2,-3,40
52,46,"2016-02-04","31-251","NYK","@","DET",-6,1,"40:00",4,18,0.222,1,5,0.2,10,14,0.714,0,11,11,8,1,0,3,2,19,12.5,-3,47.3
54,47,"2016-02-07","31-254","NYK","","DEN",-5,1,"34:53",7,19,0.368,0,3,0,7,8,0.875,1,5,6,7,0,0,3,4,21,12.6,-12,37.5
55,48,"2016-02-09","31-256","NYK","","WAS",-3,1,"38:42",12,22,0.545,3,6,0.5,6,6,1,1,12,13,2,2,0,4,3,33,24.9,-2,57.3
56,49,"2016-02-19","31-266","NYK","@","BRK",-11,1,"37:30",8,16,0.5,2,4,0.5,4,4,1,2,5,7,6,3,1,2,2,22,22,-8,47.8
57,50,"2016-02-20","31-267","NYK","@","MIN",8,1,"40:59",12,23,0.522,0,3,0,6,7,0.857,2,9,11,4,0,0,2,1,30,22.8,15,50.3
58,51,"2016-02-22","31-269","NYK","","TOR",-27,1,"37:16",8,17,0.471,1,2,0.5,6,10,0.6,1,10,11,5,0,0,3,1,23,16.5,-18,44.8
59,52,"2016-02-24","31-271","NYK","@","IND",-3,1,"34:46",5,20,0.25,1,4,0.25,3,4,0.75,1,6,7,3,1,0,1,4,14,4.6,-14,29.3
60,53,"2016-02-26","31-273","NYK","","ORL",13,1,"35:46",7,22,0.318,0,3,0,5,7,0.714,3,8,11,6,1,0,3,2,19,11.5,8,43.8
