"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
14,2,"2015-11-23","33-106","DET","@","MIL",-21,0,"4:59",0,0,NA,0,0,NA,2,2,1,2,1,3,1,1,0,1,0,2,4.4,3,8.8
15,3,"2015-11-25","33-108","DET","","MIA",23,0,"2:45",1,2,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,2,1.7,-3,3.3
21,4,"2015-12-06","33-119","DET","","LAL",20,0,"2:28",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,1,0,0,0,1,5,3.3
22,5,"2015-12-07","33-120","DET","@","CHO",-20,0,"3:55",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,2,0
25,6,"2015-12-12","33-125","DET","","IND",22,0,"3:23",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,0,0.9,-3,3.3
27,7,"2015-12-16","33-129","DET","","BOS",3,0,"0:30",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-3,1
28,8,"2015-12-18","33-131","DET","@","CHI",3,0,"13:35",0,0,NA,0,0,NA,2,2,1,0,3,3,0,0,0,0,2,2,2.1,7,5.8
33,9,"2015-12-31","33-144","DET","","MIN",25,0,"3:23",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,1,0,0.3,0,2
35,10,"2016-01-04","33-148","DET","","ORL",26,0,"3:44",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,1,0,1,0,0.3,-4,3.3
36,11,"2016-01-06","33-150","DET","@","BOS",5,0,"8:32",0,1,0,0,0,NA,0,0,NA,2,2,4,0,0,1,0,0,0,2,1,7
38,12,"2016-01-12","33-156","DET","","SAS",-10,0,"1:16",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,1.3,-2,2
39,13,"2016-01-14","33-158","DET","@","MEM",-2,0,"1:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
47,14,"2016-01-29","33-173","DET","","CLE",-8,0,"2:16",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,0,0.3,4,1.3
57,15,"2016-02-24","33-199","DET","","PHI",20,0,"4:25",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,-5,1.3
59,16,"2016-02-28","33-203","DET","","TOR",13,0,"4:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-13,0
62,17,"2016-03-06","33-210","DET","","POR",20,0,"1:15",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
66,18,"2016-03-14","33-218","DET","@","WAS",-43,0,"4:38",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,2,-0.1,-4,1.5
77,19,"2016-04-05","33-240","DET","@","MIA",-18,0,"3:55",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-1,1.3
81,20,"2016-04-13","33-248","DET","@","CLE",2,0,"25:13",3,3,1,0,0,NA,1,2,0.5,1,3,4,0,0,8,0,2,7,12.1,3,28
