"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2015-11-06","35-358","LAL","@","BRK",6,0,"16:58",1,3,0.333,1,3,0.333,0,0,NA,0,3,3,1,1,1,0,0,3,4.6,12,12.8
6,2,"2015-11-08","35-360","LAL","@","NYK",-4,0,"15:55",3,4,0.75,2,2,1,0,0,NA,0,4,4,1,1,1,0,2,8,9.2,-3,19.5
7,3,"2015-11-10","35-362","LAL","@","MIA",-13,1,"22:29",5,7,0.714,4,4,1,0,0,NA,0,0,0,1,1,2,1,3,14,12,-17,23
8,4,"2015-11-11","35-363","LAL","@","ORL",-2,1,"27:11",4,7,0.571,1,3,0.333,0,0,NA,0,2,2,1,1,1,1,0,9,7.7,1,17
9,5,"2015-11-13","36-000","LAL","@","DAL",-8,0,"18:07",0,9,0,0,4,0,0,0,NA,0,3,3,0,1,0,0,3,0,-5.6,-9,5.8
10,6,"2015-11-15","36-002","LAL","","DET",12,0,"12:17",0,3,0,0,2,0,5,7,0.714,1,0,1,1,0,0,0,3,5,2.3,-2,7.8
11,7,"2015-11-16","36-003","LAL","@","PHO",-19,1,"20:40",4,6,0.667,2,3,0.667,2,4,0.5,0,4,4,1,0,0,0,1,12,10.1,-3,19.5
12,8,"2015-11-20","36-007","LAL","","TOR",-11,0,"16:31",1,4,0.25,1,4,0.25,1,2,0.5,1,0,1,0,0,0,0,2,4,1.1,-5,5.8
13,9,"2015-11-22","36-009","LAL","","POR",-14,0,"13:28",0,3,0,0,0,NA,0,0,NA,1,1,2,1,1,0,1,2,0,-1.2,0,5.5
14,10,"2015-11-24","36-011","LAL","@","GSW",-34,0,"9:07",0,1,0,0,0,NA,0,0,NA,1,1,2,3,1,0,1,0,0,2.4,4,8.5
15,11,"2015-11-28","36-015","LAL","@","POR",-12,0,"20:24",2,6,0.333,0,3,0,0,0,NA,2,3,5,1,2,0,1,1,4,4.2,1,15.3
16,12,"2015-11-29","36-016","LAL","","IND",-4,0,"27:03",2,10,0.2,1,4,0.25,2,2,1,2,1,3,1,2,0,0,6,7,2.8,-4,16.8
17,13,"2015-12-01","36-018","LAL","@","PHI",-12,0,"18:46",0,3,0,0,2,0,5,6,0.833,0,5,5,1,0,0,2,1,5,2.3,7,11.8
18,14,"2015-12-02","36-019","LAL","@","WAS",4,0,"12:26",3,8,0.375,1,2,0.5,0,0,NA,1,2,3,1,0,1,0,2,7,4.5,9,14.8
19,15,"2015-12-04","36-021","LAL","@","ATL",-13,0,"12:40",1,3,0.333,1,1,1,0,0,NA,0,3,3,1,0,0,0,1,3,2.5,2,8.8
20,16,"2015-12-06","36-023","LAL","@","DET",-20,0,"13:48",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,2,1,3,0,-1.9,7,4.8
21,17,"2015-12-07","36-024","LAL","@","TOR",-9,0,"15:46",1,2,0.5,1,1,1,0,0,NA,0,3,3,0,0,0,0,1,3,2.5,2,7.3
36,18,"2016-01-05","36-053","LAL","","GSW",-21,0,"24:39",2,10,0.2,1,4,0.25,1,2,0.5,1,2,3,1,1,0,0,3,6,1.2,-2,13.8
39,19,"2016-01-10","36-058","LAL","","UTA",-12,0,"14:00",1,5,0.2,1,4,0.25,0,0,NA,0,0,0,1,0,1,0,1,3,0.9,-12,7
54,20,"2016-02-10","36-089","LAL","@","CLE",-9,0,"14:55",1,8,0.125,0,5,0,0,2,0,1,2,3,0,0,0,0,3,2,-3.9,10,5.8
