"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-217","DEN","@","HOU",20,0,"15:41",2,5,0.4,1,1,1,0,0,NA,1,1,2,1,0,2,1,1,5,4,-3,13
2,2,"2015-10-30","27-219","DEN","","MIN",-17,0,"26:26",1,7,0.143,1,3,0.333,0,0,NA,3,6,9,2,0,1,1,5,3,1.5,-6,19.3
3,3,"2015-11-01","27-221","DEN","@","OKC",-24,0,"24:08",3,7,0.429,0,0,NA,0,0,NA,2,2,4,1,1,1,0,5,6,4.7,-15,16.5
4,4,"2015-11-03","27-223","DEN","@","LAL",11,0,"15:56",1,5,0.2,0,1,0,0,0,NA,0,4,4,1,0,1,0,2,2,0.7,-1,10.5
5,5,"2015-11-05","27-225","DEN","","UTA",-12,0,"13:58",1,5,0.2,0,1,0,0,0,NA,2,2,4,1,2,0,0,2,2,2.8,-14,12.5
6,6,"2015-11-06","27-226","DEN","@","GSW",-15,0,"12:22",1,5,0.2,0,1,0,2,2,1,2,1,3,1,1,0,0,4,4,2.7,6,11.3
7,7,"2015-11-09","27-229","DEN","","POR",4,0,"19:32",1,5,0.2,0,1,0,0,0,NA,0,3,3,1,0,2,1,3,2,-0.3,2,10.8
8,8,"2015-11-11","27-231","DEN","","MIL",1,0,"17:42",1,3,0.333,0,1,0,0,0,NA,0,1,1,3,0,2,0,2,2,3.3,8,11.8
9,9,"2015-11-13","27-233","DEN","","HOU",9,0,"12:26",0,2,0,0,0,NA,0,0,NA,0,3,3,1,1,0,0,2,0,0.4,9,7.3
10,10,"2015-11-14","27-234","DEN","@","PHO",-24,0,"8:26",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,1,0,2,2,0.5,-4,5.3
12,11,"2015-11-18","27-238","DEN","@","SAS",-11,0,"18:16",4,9,0.444,1,2,0.5,0,0,NA,2,3,5,0,0,0,1,1,9,5.2,-7,15.3
13,12,"2015-11-20","27-240","DEN","","PHO",-7,0,"18:42",4,9,0.444,0,0,NA,0,0,NA,3,0,3,1,0,0,0,2,8,5.3,6,13.3
14,13,"2015-11-22","27-242","DEN","","GSW",-13,1,"33:55",9,12,0.75,1,1,1,2,4,0.5,3,5,8,0,1,0,1,3,21,17.8,-3,33
15,14,"2015-11-24","27-244","DEN","","LAC",-17,1,"29:38",5,10,0.5,0,0,NA,1,2,0.5,1,4,5,1,0,0,3,5,11,3.2,-10,17.3
16,15,"2015-11-27","27-247","DEN","","SAS",-11,1,"25:29",1,6,0.167,0,0,NA,0,0,NA,2,3,5,0,1,0,0,2,2,0.7,-6,10.3
17,16,"2015-11-28","27-248","DEN","@","DAL",-11,1,"31:27",8,13,0.615,0,0,NA,0,0,NA,3,2,5,1,2,2,3,3,16,12.7,-10,30.3
18,17,"2015-11-30","27-250","DEN","@","MIL",-18,0,"20:53",2,5,0.4,0,0,NA,0,0,NA,1,2,3,0,2,0,2,2,4,1.8,-1,10.8
19,18,"2015-12-02","27-252","DEN","@","CHI",-9,0,"19:24",6,10,0.6,0,0,NA,1,2,0.5,2,0,2,0,1,1,0,2,13,10.3,-7,19.5
20,19,"2015-12-03","27-253","DEN","@","TOR",1,1,"26:58",8,14,0.571,3,3,1,0,0,NA,1,5,6,2,2,2,0,3,19,18.2,-3,39
21,20,"2015-12-05","27-255","DEN","@","PHI",3,1,"20:48",3,6,0.5,2,4,0.5,0,0,NA,1,2,3,2,2,1,1,6,8,7,-5,21.3
22,21,"2015-12-08","27-258","DEN","","ORL",-11,0,"7:21",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,0,0.6,3,3.3
25,22,"2015-12-15","27-265","DEN","@","MIN",12,0,"15:28",3,6,0.5,0,1,0,0,0,NA,0,0,0,0,2,1,1,1,6,4.3,2,11.5
26,23,"2015-12-18","27-268","DEN","@","UTA",-9,0,"17:40",3,7,0.429,0,0,NA,0,0,NA,0,1,1,0,2,2,0,0,6,6,1,15.3
27,24,"2015-12-20","27-270","DEN","","NOP",-5,0,"5:40",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,3,2
28,25,"2015-12-22","27-272","DEN","","LAL",-4,0,"20:19",4,8,0.5,1,2,0.5,0,0,NA,1,2,3,1,0,0,0,4,9,5.4,4,14.8
29,26,"2015-12-23","27-273","DEN","@","PHO",8,0,"28:24",9,14,0.643,1,2,0.5,0,0,NA,1,9,10,3,1,2,3,3,19,16.5,11,42.5
30,27,"2015-12-26","27-276","DEN","@","SAS",-15,0,"20:06",3,6,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,1,5,6,1,9,8.3
31,28,"2015-12-27","27-277","DEN","@","OKC",-10,0,"19:12",1,5,0.2,1,2,0.5,2,2,1,2,0,2,1,1,0,1,1,5,3.6,-2,11
32,29,"2015-12-29","27-279","DEN","","CLE",-6,0,"20:06",3,6,0.5,0,1,0,0,0,NA,1,2,3,0,1,2,1,1,6,5.3,-7,15.3
33,30,"2015-12-30","27-280","DEN","@","POR",-7,0,"13:09",1,4,0.25,1,2,0.5,0,0,NA,1,1,2,0,0,1,0,1,3,1.9,-5,8
34,31,"2016-01-02","27-283","DEN","@","GSW",-3,0,"17:28",6,9,0.667,0,0,NA,0,1,0,3,1,4,0,0,0,1,3,12,7.9,12,16.5
35,32,"2016-01-03","27-284","DEN","","POR",-6,0,"19:42",3,6,0.5,1,3,0.333,0,0,NA,1,0,1,1,2,0,2,4,7,3.8,-13,13.3
36,33,"2016-01-06","27-287","DEN","@","MIN",4,0,"29:50",3,8,0.375,1,4,0.25,0,0,NA,3,3,6,5,1,2,0,3,7,10.3,13,28.5
37,34,"2016-01-08","27-289","DEN","@","MEM",-7,1,"25:34",6,12,0.5,0,1,0,0,0,NA,3,6,9,2,0,2,4,3,12,7.5,1,28.3
38,35,"2016-01-10","27-291","DEN","","CHO",3,1,"27:47",3,5,0.6,1,1,1,2,2,1,0,6,6,1,1,0,2,2,9,7.4,4,19.5
39,36,"2016-01-13","27-294","DEN","","GSW",2,0,"26:07",8,11,0.727,0,0,NA,2,2,1,2,9,11,1,0,0,3,1,18,14.9,11,33.3
40,37,"2016-01-15","27-296","DEN","","MIA",-3,1,"30:24",8,12,0.667,0,0,NA,2,2,1,1,7,8,1,2,0,1,4,18,15.7,-4,33
41,38,"2016-01-17","27-298","DEN","","IND",3,0,"22:45",3,8,0.375,1,1,1,0,0,NA,2,3,5,2,2,0,0,2,7,7.5,-1,20.8
42,39,"2016-01-19","27-300","DEN","","OKC",-6,0,"28:32",0,3,0,0,1,0,4,4,1,1,6,7,4,0,2,2,3,4,5.4,-3,21.8
43,40,"2016-01-21","27-302","DEN","","MEM",-1,0,"24:39",1,4,0.25,0,1,0,2,2,1,0,4,4,4,0,0,1,2,4,3.8,-1,14.5
44,41,"2016-01-23","27-304","DEN","","DET",3,1,"34:18",2,4,0.5,0,0,NA,0,0,NA,0,5,5,3,4,0,0,4,4,8,28,22.8
45,42,"2016-01-25","27-306","DEN","","ATL",-14,0,"18:51",1,7,0.143,0,1,0,0,0,NA,0,2,2,1,0,0,0,3,2,-2.4,-16,6
46,43,"2016-01-27","27-308","DEN","@","BOS",-8,0,"9:54",0,3,0,0,2,0,0,0,NA,0,2,2,1,0,0,1,2,0,-2.6,-5,3.5
47,44,"2016-01-28","27-309","DEN","@","WAS",4,0,"21:19",4,6,0.667,1,1,1,4,5,0.8,1,3,4,2,0,0,1,3,13,10.8,-8,21
48,45,"2016-01-30","27-311","DEN","@","IND",-4,0,"18:20",2,6,0.333,0,3,0,2,2,1,2,3,5,4,1,0,1,1,6,7.3,-13,19.8
49,46,"2016-02-01","27-313","DEN","","TOR",19,0,"18:10",0,2,0,0,2,0,0,0,NA,0,2,2,1,0,0,1,2,0,-1.9,10,3.5
55,47,"2016-02-19","27-331","DEN","@","SAC",-6,0,"16:48",2,7,0.286,0,2,0,0,2,0,1,3,4,2,1,0,1,2,4,1.3,3,13.5
56,48,"2016-02-21","27-333","DEN","","BOS",-20,0,"11:57",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,2,2,3,2,-0.5,-9,6.3
57,49,"2016-02-23","27-335","DEN","","SAC",-4,0,"25:00",5,8,0.625,4,4,1,0,0,NA,1,4,5,4,2,0,1,5,14,14.1,3,31.8
58,50,"2016-02-24","27-336","DEN","@","LAC",6,0,"18:36",0,4,0,0,3,0,0,0,NA,0,4,4,1,1,0,1,2,0,-1.7,-3,8
59,51,"2016-02-26","27-338","DEN","@","DAL",-6,0,"29:36",5,9,0.556,1,2,0.5,2,2,1,2,6,8,1,1,1,1,4,13,11.7,-1,28.5
60,52,"2016-02-29","27-341","DEN","","MEM",-7,0,"27:10",4,7,0.571,1,4,0.25,0,0,NA,2,2,4,3,1,0,1,3,9,8.6,-5,20.5
61,53,"2016-03-02","27-343","DEN","","LAL",10,0,"24:05",2,5,0.4,1,3,0.333,0,0,NA,1,2,3,0,1,2,0,3,5,4.8,0,15.3
62,54,"2016-03-04","27-345","DEN","","BRK",-1,0,"25:18",0,1,0,0,1,0,0,0,NA,1,3,4,4,1,1,1,4,0,2.8,-2,14.5
63,55,"2016-03-06","27-347","DEN","","DAL",2,0,"8:46",1,3,0.333,0,0,NA,0,0,NA,1,0,1,1,0,0,0,2,2,0.9,-4,4.8
64,56,"2016-03-08","27-349","DEN","","NYK",16,0,"24:18",4,6,0.667,2,3,0.667,0,0,NA,0,0,0,1,0,0,0,5,10,6.1,8,12.5
65,57,"2016-03-10","27-351","DEN","","PHO",18,0,"28:43",5,9,0.556,2,4,0.5,1,2,0.5,2,3,5,3,0,1,0,2,13,12.6,19,26.8
66,58,"2016-03-12","27-353","DEN","","WAS",16,0,"28:44",6,12,0.5,3,5,0.6,2,2,1,3,3,6,2,1,1,1,2,17,15.3,34,32.5
67,59,"2016-03-14","27-355","DEN","@","MIA",-5,0,"26:33",3,4,0.75,1,2,0.5,0,0,NA,1,4,5,0,1,0,0,4,7,6.7,-14,15.8
68,60,"2016-03-15","27-356","DEN","@","ORL",-6,0,"27:46",6,11,0.545,1,4,0.25,0,0,NA,0,4,4,2,1,0,0,4,13,9.7,0,23.5
69,61,"2016-03-17","27-358","DEN","@","ATL",-18,1,"17:35",3,8,0.375,0,3,0,0,0,NA,1,0,1,0,0,0,2,1,6,-0.1,-24,6.3
70,62,"2016-03-19","27-360","DEN","@","CHO",8,1,"34:57",5,10,0.5,2,3,0.667,1,2,0.5,0,8,8,3,2,2,1,2,13,13.7,2,36
71,63,"2016-03-21","27-362","DEN","@","CLE",-33,1,"26:55",1,4,0.25,0,1,0,2,4,0.5,2,3,5,3,0,0,1,3,4,3,-14,14.3
72,64,"2016-03-23","27-364","DEN","","PHI",1,1,"31:43",5,13,0.385,1,2,0.5,0,0,NA,2,5,7,0,2,2,3,2,11,6.4,12,26.8
73,65,"2016-03-25","28-000","DEN","@","LAL",11,1,"23:28",1,8,0.125,0,1,0,2,2,1,0,3,3,3,0,2,1,1,4,1.8,0,15.8
74,66,"2016-03-27","28-002","DEN","@","LAC",-15,1,"22:46",2,13,0.154,0,4,0,2,2,1,9,3,12,1,0,1,4,1,6,1.9,-18,22.5
