"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-31","29-119","NOP","","GSW",-14,0,"10:20",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,1,0,0,2,0,0.9,-12,3.3
7,2,"2015-11-10","29-129","NOP","","DAL",15,1,"15:32",1,2,0.5,0,0,NA,0,0,NA,0,5,5,0,0,1,0,2,2,2.4,4,10.3
8,3,"2015-11-11","29-130","NOP","@","ATL",-8,1,"20:50",0,1,0,0,0,NA,4,6,0.667,1,7,8,0,0,0,3,4,4,0.7,0,12.5
9,4,"2015-11-13","29-132","NOP","@","TOR",-19,1,"24:15",0,3,0,0,0,NA,2,4,0.5,2,5,7,0,1,2,3,1,2,1,-16,15.3
10,5,"2015-11-15","29-134","NOP","@","NYK",-8,1,"12:50",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,-4,1.3
13,6,"2015-11-20","29-139","NOP","","SAS",14,1,"11:52",0,0,NA,0,0,NA,1,2,0.5,1,6,7,0,0,0,1,2,1,1.3,-5,9.3
14,7,"2015-11-22","29-141","NOP","","PHO",6,1,"14:41",0,0,NA,0,0,NA,2,2,1,0,4,4,0,0,0,1,0,2,2.2,3,6.5
15,8,"2015-11-25","29-144","NOP","@","PHO",6,1,"10:28",0,1,0,0,0,NA,0,2,0,1,2,3,0,0,1,1,2,0,-1.3,-5,5.3
16,9,"2015-11-27","29-146","NOP","@","LAC",-21,1,"16:03",1,1,1,0,0,NA,1,2,0.5,1,9,10,0,0,0,0,2,3,4.9,-10,15.5
17,10,"2015-11-28","29-147","NOP","@","UTA",-14,1,"7:55",0,3,0,0,0,NA,0,0,NA,0,2,2,0,0,0,1,0,0,-2.5,-16,2
18,11,"2015-12-01","29-150","NOP","","MEM",-9,0,"5:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-10,0
19,12,"2015-12-02","29-151","NOP","@","HOU",-7,1,"21:36",3,6,0.5,0,0,NA,0,0,NA,3,1,4,1,0,0,2,4,6,2.5,-5,11.5
