"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-31","26-133","NOP","","GSW",-14,0,"30:29",2,6,0.333,0,4,0,0,0,NA,0,6,6,1,0,0,1,2,4,1.3,-8,12.5
4,2,"2015-11-03","26-136","NOP","","ORL",-9,1,"28:10",3,8,0.375,2,6,0.333,0,0,NA,0,8,8,1,1,0,0,1,8,7.3,-11,22.5
5,3,"2015-11-06","26-139","NOP","","ATL",-6,1,"29:17",5,10,0.5,1,6,0.167,2,2,1,0,4,4,1,0,0,1,5,13,6.9,-2,19.5
6,4,"2015-11-07","26-140","NOP","@","DAL",-9,1,"19:10",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,1,0,1,0,5,3,1.3,-8,9.5
7,5,"2015-11-10","26-143","NOP","","DAL",15,1,"24:08",1,3,0.333,1,3,0.333,0,0,NA,0,7,7,1,0,0,1,3,3,1.9,17,13.3
8,6,"2015-11-11","26-144","NOP","@","ATL",-8,1,"29:39",2,8,0.25,2,5,0.4,1,2,0.5,0,3,3,2,0,0,1,2,7,2.3,-6,14.3
9,7,"2015-11-13","26-146","NOP","@","TOR",-19,0,"17:09",1,2,0.5,0,0,NA,2,3,0.667,1,1,2,0,0,0,0,4,4,2,5,6.5
10,8,"2015-11-15","26-148","NOP","@","NYK",-8,0,"7:20",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,1,0,1,0,0,3,3.7,-3,8.3
11,9,"2015-11-17","26-150","NOP","","DEN",-17,0,"25:44",4,7,0.571,3,4,0.75,0,0,NA,0,7,7,0,0,0,0,2,11,9,-2,21.3
12,10,"2015-11-18","26-151","NOP","@","OKC",-7,0,"26:34",2,5,0.4,1,4,0.25,0,0,NA,2,4,6,1,0,1,1,3,5,4.1,-8,16
14,11,"2015-11-22","26-155","NOP","","PHO",6,0,"7:48",1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,1,0,0,0,3,4,1.4,-4,6
15,12,"2015-11-25","26-158","NOP","@","PHO",6,0,"4:24",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
16,13,"2015-11-27","26-160","NOP","@","LAC",-21,0,"14:44",2,5,0.4,2,3,0.667,2,2,1,1,4,5,0,0,0,0,1,8,6.8,2,15.3
20,14,"2015-12-04","26-167","NOP","","CLE",6,0,"5:21",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,2,0,-2.2,-7,0
21,15,"2015-12-07","26-170","NOP","","BOS",-18,0,"3:58",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,3,0
27,16,"2015-12-20","26-183","NOP","@","DEN",5,0,"6:32",1,3,0.333,1,3,0.333,0,0,NA,0,0,0,0,0,0,0,0,3,1.3,-6,3.5
28,17,"2015-12-23","26-186","NOP","","POR",26,0,"2:34",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,0,2
36,18,"2016-01-10","26-204","NOP","@","LAC",-3,0,"4:09",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-2,0
37,19,"2016-01-12","26-206","NOP","@","LAL",-4,0,"5:06",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-0.5,-1,1.3
42,20,"2016-01-21","26-215","NOP","","DET",16,0,"0:30",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
43,21,"2016-01-23","26-217","NOP","","MIL",17,0,"7:56",0,1,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,1.3
44,22,"2016-01-25","26-219","NOP","","HOU",-1,0,"0:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
51,23,"2016-02-08","26-233","NOP","@","MIN",14,0,"14:38",3,6,0.5,2,4,0.5,0,0,NA,0,0,0,0,0,0,0,1,8,4.6,10,9
53,24,"2016-02-11","26-236","NOP","@","OKC",-26,0,"8:56",1,4,0.25,0,0,NA,1,2,0.5,2,0,2,0,1,0,0,1,3,2.2,1,7.5
56,25,"2016-02-23","26-248","NOP","@","WAS",-20,0,"3:05",1,1,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,3,3,-1,4.8
57,26,"2016-02-25","26-250","NOP","","OKC",4,0,"4:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
58,27,"2016-02-27","26-252","NOP","","MIN",-2,0,"6:02",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,1,0,1,0,0,5,4,5,10.3
60,28,"2016-03-03","26-257","NOP","","SAS",-8,0,"16:48",1,4,0.25,1,2,0.5,0,0,NA,0,3,3,2,0,1,1,1,3,2.2,-1,11.8
61,29,"2016-03-05","26-259","NOP","","UTA",-12,0,"0:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
64,30,"2016-03-11","26-265","NOP","@","MEM",-7,0,"10:39",1,3,0.333,0,0,NA,0,0,NA,1,2,3,1,0,0,0,4,2,0.7,-6,7.3
65,31,"2016-03-12","26-266","NOP","@","MIL",-11,1,"37:45",7,17,0.412,1,5,0.2,1,2,0.5,2,7,9,3,1,0,0,3,16,11.9,-4,34.3
