"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2015-11-03","24-331","CHI","@","CHO",-25,0,"5:41",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,0.9,5,3.3
8,2,"2015-11-09","24-337","CHI","@","PHI",23,0,"4:10",0,2,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,2,0,-1.2,0,2.5
22,3,"2015-12-14","25-007","CHI","","PHI",19,0,"3:05",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-2,2
25,4,"2015-12-19","25-012","CHI","@","NYK",-16,0,"5:31",1,3,0.333,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,2,1.2,2,5.8
28,5,"2015-12-26","25-019","CHI","@","DAL",-7,0,"1:33",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-6,0
31,6,"2016-01-01","25-025","CHI","","NYK",27,0,"2:11",0,2,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,-0.4,3,2.5
35,7,"2016-01-09","25-033","CHI","@","ATL",-15,0,"3:05",1,1,1,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,2,3,2,5.3
36,8,"2016-01-11","25-035","CHI","","WAS",-14,0,"4:36",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,4,1.3
41,9,"2016-01-20","25-044","CHI","","GSW",-31,0,"3:53",0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,1,1,1,0,-0.4,-7,4
45,10,"2016-01-28","25-052","CHI","@","LAL",23,0,"4:29",1,1,1,0,0,NA,0,0,NA,0,2,2,1,0,0,1,2,2,1.2,3,5.5
46,11,"2016-01-31","25-055","CHI","@","LAC",-27,0,"3:49",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,-11,2.5
49,12,"2016-02-05","25-060","CHI","@","DEN",-5,1,"10:25",1,4,0.25,0,1,0,2,2,1,0,4,4,1,0,0,0,5,4,1.5,5,10.5
51,13,"2016-02-08","25-063","CHI","@","CHO",-17,0,"18:33",2,8,0.25,0,1,0,2,2,1,0,2,2,2,0,2,0,2,6,3.8,3,15.5
52,14,"2016-02-10","25-065","CHI","","ATL",-23,0,"14:13",0,4,0,0,0,NA,0,0,NA,0,3,3,1,1,0,0,1,0,-0.6,-13,7.3
53,15,"2016-02-18","25-073","CHI","@","CLE",-11,0,"3:30",0,1,0,0,0,NA,2,2,1,0,0,0,0,0,0,1,0,2,0.3,4,1.5
57,16,"2016-02-26","25-081","CHI","@","ATL",-15,0,"2:29",1,1,1,1,1,1,0,0,NA,0,0,0,1,0,0,1,1,3,2,2,4.5
59,17,"2016-03-01","25-085","CHI","@","MIA",-18,0,"1:15",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,0,1,0.9,2,2.3
60,18,"2016-03-02","25-086","CHI","@","ORL",-13,1,"10:08",4,5,0.8,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,8,5.9,-4,10.5
