"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","32-333","GSW","","NOP",16,0,"20:30",0,6,0,0,2,0,0,0,NA,1,5,6,2,0,1,3,3,0,-4.1,-3,11
2,2,"2015-10-30","32-336","GSW","@","HOU",20,0,"19:23",2,6,0.333,1,1,1,0,0,NA,0,2,2,2,3,0,1,3,5,4.4,14,16.5
3,3,"2015-10-31","32-337","GSW","@","NOP",14,0,"11:51",4,6,0.667,1,1,1,0,0,NA,0,0,0,0,0,0,0,2,9,5.6,-7,9.5
4,4,"2015-11-02","32-339","GSW","","MEM",50,0,"14:55",1,4,0.25,1,2,0.5,0,0,NA,0,0,0,2,0,1,0,2,3,1.9,8,8.5
5,5,"2015-11-04","32-341","GSW","","LAC",4,0,"13:26",4,4,1,0,0,NA,1,2,0.5,1,0,1,1,0,0,1,1,9,7.4,8,11.3
6,6,"2015-11-06","32-343","GSW","","DEN",15,0,"11:44",2,6,0.333,1,3,0.333,1,2,0.5,1,2,3,1,1,0,2,3,6,2,3,12.8
7,7,"2015-11-07","32-344","GSW","@","SAC",9,0,"12:03",2,7,0.286,0,4,0,0,0,NA,3,1,4,3,1,0,1,1,4,4,3,15
8,8,"2015-11-09","32-346","GSW","","DET",14,0,"13:37",4,6,0.667,2,2,1,0,0,NA,0,0,0,3,2,0,0,2,10,10.7,6,19.5
9,9,"2015-11-11","32-348","GSW","@","MEM",16,0,"13:50",2,5,0.4,0,1,0,0,1,0,0,0,0,4,0,0,1,0,4,2.7,7,9.5
12,10,"2015-11-17","32-354","GSW","","TOR",5,0,"15:47",2,8,0.25,0,1,0,2,2,1,1,0,1,1,3,0,1,3,6,3.4,1,14.3
14,11,"2015-11-20","32-357","GSW","","CHI",12,0,"8:47",1,7,0.143,1,3,0.333,0,0,NA,0,0,0,1,0,0,0,0,3,-0.8,0,5
15,12,"2015-11-22","32-359","GSW","@","DEN",13,0,"17:53",3,6,0.5,1,2,0.5,0,0,NA,0,1,1,3,1,0,1,1,7,6,4,14.8
16,13,"2015-11-24","32-361","GSW","","LAL",34,0,"16:56",6,9,0.667,1,3,0.333,0,0,NA,0,1,1,1,3,0,0,0,13,13.1,1,22.3
17,14,"2015-11-27","32-364","GSW","@","PHO",19,0,"23:09",8,9,0.889,5,5,1,0,0,NA,0,3,3,2,0,1,3,1,21,17.5,2,30.8
18,15,"2015-11-28","33-000","GSW","","SAC",19,0,"21:13",1,6,0.167,1,2,0.5,2,2,1,0,2,2,1,3,0,1,5,5,2.5,4,15
19,16,"2015-11-30","33-002","GSW","@","UTA",3,0,"11:04",1,6,0.167,0,3,0,0,0,NA,1,2,3,1,0,0,1,0,2,-0.8,-9,6.8
20,17,"2015-12-02","33-004","GSW","@","CHO",17,0,"11:14",1,4,0.25,0,1,0,0,0,NA,0,0,0,2,0,0,0,2,2,0.2,2,5
21,18,"2015-12-05","33-007","GSW","@","TOR",3,0,"11:12",2,3,0.667,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,4,1.2,-11,4.8
22,19,"2015-12-06","33-008","GSW","@","BRK",16,0,"14:42",4,5,0.8,3,3,1,0,0,NA,1,2,3,1,1,1,1,1,11,11.4,3,21.3
24,20,"2015-12-11","33-013","GSW","@","BOS",5,0,"16:41",3,6,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,1,2,6,2.2,0,8.3
25,21,"2015-12-12","33-014","GSW","@","MIL",-13,0,"12:46",1,4,0.25,0,2,0,0,0,NA,0,0,0,0,0,0,2,1,2,-2.8,-13,1
26,22,"2015-12-16","33-018","GSW","","PHO",25,0,"13:22",2,6,0.333,0,3,0,0,0,NA,0,0,0,3,2,1,0,0,4,5.4,0,14.5
27,23,"2015-12-18","33-020","GSW","","MIL",9,0,"8:40",2,6,0.333,0,1,0,2,2,1,0,0,0,0,0,0,2,2,6,-0.2,-4,5
28,24,"2015-12-23","33-025","GSW","","UTA",18,0,"15:40",4,6,0.667,0,0,NA,0,0,NA,0,2,2,1,2,0,0,1,8,8.3,2,16
29,25,"2015-12-25","33-027","GSW","","CLE",6,0,"5:13",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-1.9,-9,1.3
39,26,"2016-01-13","33-046","GSW","@","DEN",-2,0,"8:40",1,3,0.333,1,2,0.5,2,2,1,0,2,2,1,0,0,1,1,5,3.2,0,9
40,27,"2016-01-14","33-047","GSW","","LAL",18,0,"20:21",5,7,0.714,1,2,0.5,4,4,1,0,0,0,2,0,0,2,2,15,10.7,5,17.5
41,28,"2016-01-16","33-049","GSW","@","DET",-18,0,"13:13",1,7,0.143,0,1,0,0,0,NA,1,2,3,0,0,0,1,2,2,-3,-21,5.3
42,29,"2016-01-18","33-051","GSW","@","CLE",34,0,"19:08",3,6,0.5,0,2,0,2,2,1,0,1,1,4,2,0,0,1,8,9.7,14,19.3
43,30,"2016-01-20","33-053","GSW","@","CHI",31,0,"15:53",5,7,0.714,0,0,NA,2,3,0.667,0,1,1,2,2,0,1,3,12,10.2,19,19.8
44,31,"2016-01-22","33-055","GSW","","IND",12,0,"14:24",5,7,0.714,0,0,NA,3,3,1,0,1,1,0,1,0,3,2,13,7.6,-6,14.8
45,32,"2016-01-25","33-058","GSW","","SAS",30,0,"20:15",1,6,0.167,0,2,0,0,0,NA,1,1,2,1,1,0,2,2,2,-1.9,9,7
46,33,"2016-01-27","33-060","GSW","","DAL",20,0,"22:14",2,3,0.667,0,0,NA,2,2,1,0,1,1,2,0,0,0,1,6,6,8,10.3
47,34,"2016-01-30","33-063","GSW","@","PHI",3,0,"15:07",3,5,0.6,1,2,0.5,0,0,NA,0,3,3,3,0,0,0,1,7,7.3,-10,15.8
48,35,"2016-01-31","33-064","GSW","@","NYK",21,0,"20:26",2,4,0.5,1,1,1,3,4,0.75,0,2,2,1,0,0,1,0,8,5.9,3,12
49,36,"2016-02-03","33-067","GSW","@","WAS",13,0,"14:51",1,5,0.2,0,1,0,2,2,1,1,0,1,2,0,0,0,2,4,2.2,-3,8.3
50,37,"2016-02-06","33-070","GSW","","OKC",8,0,"13:44",4,6,0.667,1,3,0.333,0,1,0,1,5,6,1,1,0,0,0,9,9.9,6,20.5
51,38,"2016-02-09","33-073","GSW","","HOU",13,0,"13:09",2,7,0.286,0,1,0,0,0,NA,2,0,2,0,0,0,0,1,4,0.9,9,6.5
52,39,"2016-02-10","33-074","GSW","@","PHO",8,0,"15:04",5,9,0.556,0,1,0,2,2,1,0,1,1,0,0,1,0,4,12,7.1,-8,15.3
53,40,"2016-02-19","33-083","GSW","@","POR",-32,0,"19:33",1,7,0.143,0,2,0,3,4,0.75,0,1,1,1,1,0,0,0,5,2.1,-31,9.8
54,41,"2016-02-20","33-084","GSW","@","LAC",3,0,"13:23",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,1,4,2,-1.6,-9,1.5
55,42,"2016-02-22","33-086","GSW","@","ATL",10,0,"11:09",1,3,0.333,1,3,0.333,0,0,NA,1,0,1,2,2,0,0,1,3,5,-6,11.8
56,43,"2016-02-24","33-088","GSW","@","MIA",6,0,"14:06",3,5,0.6,0,0,NA,0,0,NA,0,1,1,0,1,0,0,2,6,4.2,-3,9.3
57,44,"2016-02-25","33-089","GSW","@","ORL",16,0,"16:50",3,6,0.5,0,1,0,0,0,NA,1,1,2,0,0,0,2,1,6,1.6,10,7.5
58,45,"2016-02-27","33-091","GSW","@","OKC",3,0,"13:34",2,6,0.333,0,2,0,0,0,NA,0,0,0,0,1,0,0,1,4,1.2,4,6
59,46,"2016-03-01","33-094","GSW","","ATL",4,0,"16:52",4,7,0.571,1,3,0.333,2,2,1,0,2,2,2,1,0,0,0,11,10.7,1,19
60,47,"2016-03-03","33-096","GSW","","OKC",15,0,"13:31",2,4,0.5,0,1,0,2,2,1,1,1,2,2,0,0,2,2,6,3.6,9,10.5
61,48,"2016-03-06","33-099","GSW","@","LAL",-17,0,"21:01",4,9,0.444,0,2,0,0,1,0,2,0,2,1,0,0,2,2,8,2.2,-13,11
62,49,"2016-03-07","33-100","GSW","","ORL",6,0,"15:21",4,6,0.667,1,2,0.5,0,0,NA,0,2,2,1,0,0,0,3,9,6.5,4,13.5
63,50,"2016-03-09","33-102","GSW","","UTA",21,0,"19:41",6,8,0.75,1,2,0.5,0,0,NA,0,0,0,2,1,0,0,4,13,10.6,5,18.5
64,51,"2016-03-11","33-104","GSW","","POR",16,0,"16:23",0,1,0,0,1,0,2,2,1,0,0,0,1,0,0,0,1,2,1.6,-18,3.5
65,52,"2016-03-12","33-105","GSW","","PHO",7,0,"18:20",0,0,NA,0,0,NA,2,2,1,1,2,3,2,0,1,0,1,2,5,17,10.8
66,53,"2016-03-14","33-107","GSW","","NOP",18,0,"21:53",4,6,0.667,1,1,1,0,0,NA,0,3,3,1,0,0,1,2,9,6.2,2,14.3
67,54,"2016-03-16","33-109","GSW","","NYK",36,0,"21:58",2,5,0.4,0,1,0,3,3,1,0,4,4,2,0,0,0,0,7,6.9,25,15
68,55,"2016-03-18","33-111","GSW","@","DAL",18,0,"17:24",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,2,0,1,0,2,5,3.9,22,11.8
69,56,"2016-03-19","33-112","GSW","@","SAS",-8,0,"13:52",2,4,0.5,2,4,0.5,3,4,0.75,0,4,4,1,0,0,1,2,9,6.7,8,16
70,57,"2016-03-21","33-114","GSW","@","MIN",5,0,"18:20",4,7,0.571,0,2,0,1,2,0.5,0,1,1,1,0,0,1,0,9,5.3,0,11.3
71,58,"2016-03-23","33-116","GSW","","LAC",16,0,"14:54",2,5,0.4,1,2,0.5,2,2,1,0,1,1,0,2,0,1,1,7,5.2,-3,12.3
72,59,"2016-03-25","33-118","GSW","","DAL",8,0,"19:44",2,5,0.4,1,3,0.333,0,0,NA,1,0,1,1,0,1,0,2,5,3.6,-11,10.3
73,60,"2016-03-27","33-120","GSW","","PHI",12,0,"23:27",1,3,0.333,0,0,NA,0,0,NA,1,5,6,0,2,0,1,4,2,1.9,3,13
74,61,"2016-03-29","33-122","GSW","","WAS",8,0,"22:00",2,6,0.333,0,1,0,2,2,1,1,2,3,3,0,0,1,2,6,4.2,-7,13.8
75,62,"2016-03-30","33-123","GSW","@","UTA",7,0,"14:10",3,5,0.6,1,2,0.5,0,0,NA,0,1,1,0,2,0,0,0,7,7,-3,12.8
