"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-124","DAL","@","PHO",16,0,"24:46",3,9,0.333,0,3,0,4,6,0.667,0,4,4,1,0,0,3,3,10,1.8,-12,15
2,2,"2015-10-29","31-125","DAL","@","LAC",-16,0,"21:11",4,10,0.4,2,3,0.667,2,2,1,1,0,1,9,0,0,2,5,12,9.6,0,26.8
3,3,"2015-11-01","31-128","DAL","@","LAL",10,0,"23:39",4,7,0.571,1,2,0.5,1,1,1,1,2,3,7,0,0,3,0,10,9.9,-4,23.3
4,4,"2015-11-03","31-130","DAL","","TOR",-11,0,"23:12",3,10,0.3,0,3,0,2,2,1,1,1,2,6,1,0,1,1,8,7,9,21
5,5,"2015-11-05","31-132","DAL","","CHO",-14,0,"20:49",3,6,0.5,2,4,0.5,0,0,NA,0,0,0,6,0,0,1,0,8,8.2,-4,17.5
6,6,"2015-11-07","31-134","DAL","","NOP",9,0,"23:49",4,11,0.364,2,6,0.333,3,3,1,1,0,1,2,0,0,3,0,13,6,-4,16.8
7,7,"2015-11-10","31-137","DAL","@","NOP",-15,0,"22:10",4,11,0.364,1,4,0.25,1,1,1,1,3,4,5,0,0,2,3,10,5.8,-4,22
8,8,"2015-11-11","31-138","DAL","","LAC",10,0,"15:38",0,5,0,0,0,NA,0,2,0,0,1,1,7,0,0,2,1,0,-1.5,-5,10.8
9,9,"2015-11-13","31-140","DAL","","LAL",8,0,"13:04",0,4,0,0,3,0,0,0,NA,1,0,1,0,0,0,2,0,0,-4.1,-3,0.3
10,10,"2015-11-14","31-141","DAL","@","HOU",12,0,"21:45",3,8,0.375,0,2,0,1,1,1,0,3,3,8,2,1,2,2,7,9,14,27.8
11,11,"2015-11-16","31-143","DAL","@","PHI",6,0,"12:37",3,6,0.5,1,2,0.5,2,2,1,0,1,1,1,0,0,1,1,9,5.6,-8,11.8
12,12,"2015-11-18","31-145","DAL","@","BOS",4,0,"18:17",3,5,0.6,0,1,0,1,2,0.5,1,2,3,1,1,0,2,5,7,3.3,11,13.3
13,13,"2015-11-20","31-147","DAL","","UTA",9,0,"21:45",6,11,0.545,0,1,0,0,0,NA,1,3,4,3,0,0,1,0,12,9.4,9,21
14,14,"2015-11-22","31-149","DAL","@","OKC",-3,0,"14:38",4,8,0.5,0,1,0,0,0,NA,1,2,3,2,0,0,1,1,8,5.3,8,14.3
15,15,"2015-11-24","31-151","DAL","@","MEM",-14,0,"26:57",5,10,0.5,0,4,0,6,6,1,0,2,2,4,0,0,3,4,16,9.8,-5,23
16,16,"2015-11-25","31-152","DAL","@","SAS",-5,0,"12:36",3,7,0.429,1,1,1,0,0,NA,0,0,0,3,1,0,0,1,7,6,0,14
23,17,"2015-12-09","31-166","DAL","","ATL",-3,0,"10:04",0,6,0,0,3,0,0,0,NA,1,0,1,2,0,0,1,0,0,-3.1,-9,3.8
24,18,"2015-12-12","31-169","DAL","","WAS",-3,0,"28:35",7,15,0.467,5,6,0.833,2,2,1,0,3,3,3,1,0,1,2,21,15.5,4,33.3
25,19,"2015-12-14","31-171","DAL","","PHO",10,0,"14:21",0,4,0,0,1,0,1,2,0.5,0,0,0,1,0,0,0,0,1,-1.5,-3,2.5
26,20,"2015-12-16","31-173","DAL","@","IND",-26,0,"21:15",3,8,0.375,0,2,0,2,2,1,0,3,3,4,0,0,1,2,8,5.5,-25,17.3
27,21,"2015-12-18","31-175","DAL","","MEM",9,0,"22:21",3,6,0.5,1,3,0.333,0,0,NA,0,3,3,5,0,0,3,5,7,3.4,7,17.3
28,22,"2015-12-22","31-179","DAL","@","TOR",-4,0,"22:14",3,9,0.333,2,4,0.5,0,0,NA,0,0,0,5,1,0,1,4,8,4.8,1,18
29,23,"2015-12-23","31-180","DAL","@","BRK",1,1,"41:27",13,21,0.619,5,8,0.625,1,1,1,0,1,1,11,1,0,5,0,32,26.5,17,53.3
30,24,"2015-12-26","31-183","DAL","","CHI",7,1,"32:49",9,14,0.643,7,8,0.875,1,2,0.5,0,0,0,5,0,1,1,1,26,22.2,2,38.5
31,25,"2015-12-28","31-185","DAL","","MIL",10,1,"24:47",3,8,0.375,1,4,0.25,1,2,0.5,0,1,1,5,0,0,0,2,8,6.2,0,17.3
32,26,"2015-12-30","31-187","DAL","","GSW",23,1,"31:13",9,12,0.75,5,7,0.714,0,0,NA,0,3,3,6,2,0,3,0,23,22.3,23,40.8
33,27,"2016-01-01","31-189","DAL","@","MIA",-24,1,"26:04",3,9,0.333,0,5,0,0,0,NA,0,0,0,5,0,0,2,1,6,2,-14,12.5
34,28,"2016-01-02","31-190","DAL","","NOP",-7,1,"27:01",3,10,0.3,1,3,0.333,3,3,1,0,7,7,5,2,0,1,1,10,10.4,4,30.3
35,29,"2016-01-05","31-193","DAL","","SAC",1,0,"22:57",3,10,0.3,1,4,0.25,0,0,NA,0,1,1,3,0,0,3,0,7,0.6,4,11.8
36,30,"2016-01-06","31-194","DAL","@","NOP",9,1,"28:59",4,11,0.364,2,6,0.333,1,2,0.5,1,3,4,1,0,0,4,2,11,2,-7,16.5
37,31,"2016-01-08","31-196","DAL","@","MIL",-1,0,"18:52",3,7,0.429,2,5,0.4,0,0,NA,2,0,2,5,1,0,2,1,8,7.8,-3,20
38,32,"2016-01-10","31-198","DAL","@","MIN",6,0,"17:28",4,7,0.571,0,2,0,0,0,NA,0,1,1,4,0,0,2,1,8,5.4,8,14.3
39,33,"2016-01-12","31-200","DAL","","CLE",-3,0,"12:19",2,4,0.5,1,3,0.333,2,2,1,0,2,2,1,0,0,0,1,7,5.9,-4,11.5
40,34,"2016-01-13","31-201","DAL","@","OKC",-19,1,"31:18",7,15,0.467,3,7,0.429,1,3,0.333,0,3,3,6,0,0,3,4,18,10,-20,30.8
41,35,"2016-01-15","31-203","DAL","@","CHI",6,0,"20:02",3,7,0.429,1,3,0.333,2,2,1,0,2,2,3,0,0,0,1,9,7.6,5,16.5
42,36,"2016-01-17","31-205","DAL","@","SAS",-29,0,"16:04",2,7,0.286,0,3,0,1,2,0.5,0,0,0,4,0,0,0,2,5,2.5,-2,11
43,37,"2016-01-18","31-206","DAL","","BOS",5,0,"15:57",2,6,0.333,0,2,0,0,0,NA,0,1,1,3,0,0,2,0,4,1,-8,8.8
44,38,"2016-01-20","31-208","DAL","","MIN",12,0,"18:06",0,5,0,0,2,0,0,0,NA,0,2,2,2,2,0,2,0,0,-1.5,-5,8.5
45,39,"2016-01-22","31-210","DAL","","OKC",-3,0,"21:10",2,6,0.333,0,1,0,0,0,NA,0,4,4,3,0,0,0,0,4,3.9,-6,13.5
46,40,"2016-01-24","31-212","DAL","@","HOU",-11,0,"13:42",1,7,0.143,1,2,0.5,0,0,NA,0,0,0,3,0,0,0,0,3,0.6,6,8
47,41,"2016-01-26","31-214","DAL","@","LAL",2,0,"28:07",8,17,0.471,0,5,0,2,2,1,2,2,4,4,1,0,1,4,18,12.5,4,30.5
48,42,"2016-01-27","31-215","DAL","@","GSW",-20,0,"25:03",7,11,0.636,0,1,0,0,0,NA,1,2,3,5,0,0,1,3,14,11.7,-6,24.8
49,43,"2016-01-29","31-217","DAL","","BRK",12,0,"24:54",5,10,0.5,3,3,1,0,2,0,0,3,3,3,1,0,1,3,13,9,5,24.3
50,44,"2016-01-31","31-219","DAL","","PHO",13,0,"24:31",4,10,0.4,2,4,0.5,0,0,NA,0,1,1,1,0,0,2,2,10,2.8,-8,12.8
51,45,"2016-02-01","31-220","DAL","@","ATL",-15,0,"31:18",5,12,0.417,2,5,0.4,3,3,1,0,0,0,4,0,0,2,3,15,8.2,-7,21
52,46,"2016-02-03","31-222","DAL","","MIA",-3,1,"34:49",4,12,0.333,3,6,0.5,0,0,NA,0,3,3,4,0,0,1,0,11,6.9,6,21.8
53,47,"2016-02-05","31-224","DAL","","SAS",-26,0,"17:14",1,5,0.2,0,3,0,3,4,0.75,0,0,0,1,0,0,0,4,5,0.6,-13,6.5
54,48,"2016-02-06","31-225","DAL","@","MEM",4,0,"16:45",1,5,0.2,1,3,0.333,1,1,1,0,0,0,3,0,0,0,3,4,1.8,5,9
55,49,"2016-02-09","31-228","DAL","","UTA",-2,0,"14:52",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,6,0,0,0,1,5,6.4,-9,15.8
56,50,"2016-02-19","31-238","DAL","@","ORL",-6,0,"22:05",5,10,0.5,2,3,0.667,3,4,0.75,0,2,2,2,0,0,1,1,15,10.2,3,21
57,51,"2016-02-21","31-240","DAL","","PHI",26,0,"24:22",5,9,0.556,2,4,0.5,0,0,NA,0,2,2,5,1,0,1,1,12,11.4,7,24.5
58,52,"2016-02-24","31-243","DAL","","OKC",-13,0,"12:26",1,5,0.2,0,1,0,2,2,1,0,0,0,2,0,0,1,0,4,1.3,-6,6.5
59,53,"2016-02-26","31-245","DAL","","DEN",6,0,"15:43",3,7,0.429,0,2,0,1,2,0.5,0,3,3,1,0,0,0,0,7,4.5,-17,12.3
60,54,"2016-02-28","31-247","DAL","","MIN",27,0,"23:46",5,10,0.5,0,3,0,2,2,1,1,1,2,7,0,0,3,1,12,9.5,-2,23.5
61,55,"2016-03-01","31-249","DAL","","ORL",13,0,"22:15",6,9,0.667,3,4,0.75,2,2,1,0,2,2,4,0,0,0,1,17,16.1,0,27
62,56,"2016-03-03","31-251","DAL","","SAC",-3,0,"16:19",4,7,0.571,0,1,0,0,0,NA,1,2,3,4,0,0,1,3,8,6.6,1,17.3
