"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","30-002","BRK","","CHI",-15,0,"22:09",6,13,0.462,0,1,0,5,5,1,2,5,7,0,1,1,1,4,17,12.3,2,29.3
2,2,"2015-10-30","30-004","BRK","@","SAS",-27,0,"16:18",2,4,0.5,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,5,3.3,-8,6.8
3,3,"2015-10-31","30-005","BRK","@","MEM",-10,0,"14:53",2,2,1,0,0,NA,1,2,0.5,0,1,1,0,0,0,2,2,5,1.5,-11,5.3
4,4,"2015-11-02","30-007","BRK","","MIL",-7,0,"15:41",1,8,0.125,0,1,0,3,3,1,4,1,5,0,0,0,2,3,5,-0.3,-15,10.3
5,5,"2015-11-04","30-009","BRK","@","ATL",-14,0,"10:23",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,2,3,4,0.2,-8,3
6,6,"2015-11-06","30-011","BRK","","LAL",-6,0,"9:35",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,4,0,-4,-3,-0.5
7,7,"2015-11-07","30-012","BRK","@","MIL",-8,0,"7:51",2,4,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,4,2.3,3,5.3
8,8,"2015-11-11","30-016","BRK","@","HOU",8,0,"16:53",3,8,0.375,0,1,0,2,2,1,1,1,2,1,0,1,1,2,8,4.2,16,13.5
9,9,"2015-11-13","30-018","BRK","@","SAC",-2,0,"13:55",2,8,0.25,1,1,1,0,0,NA,1,2,3,0,0,0,0,0,5,1.5,-11,9.3
10,10,"2015-11-14","30-019","BRK","@","GSW",-8,0,"8:10",2,4,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,4,2.3,-5,5.3
11,11,"2015-11-17","30-022","BRK","","ATL",2,0,"3:48",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-12,0
12,12,"2015-11-18","30-023","BRK","@","CHO",-5,0,"11:51",4,10,0.4,0,2,0,0,0,NA,0,0,0,0,0,0,0,1,8,2.2,-14,8
13,13,"2015-11-20","30-025","BRK","@","BOS",-25,0,"14:42",2,8,0.25,0,0,NA,1,1,1,1,1,2,1,0,0,0,1,5,1.5,-1,9
14,14,"2015-11-22","30-027","BRK","","BOS",10,0,"21:25",6,9,0.667,0,0,NA,0,0,NA,1,2,3,0,0,1,1,2,12,8.3,1,17.3
15,15,"2015-11-25","30-030","BRK","@","OKC",-11,0,"15:58",6,12,0.5,0,1,0,1,1,1,0,2,2,0,0,1,0,2,13,7.5,-6,17.5
16,16,"2015-11-28","30-033","BRK","@","CLE",-2,0,"16:29",3,9,0.333,0,1,0,0,0,NA,0,1,1,0,0,0,2,1,6,-1.2,-3,6.3
17,17,"2015-11-29","30-034","BRK","","DET",4,0,"2:31",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-2,0
22,18,"2015-12-10","30-045","BRK","","PHI",9,0,"23:15",8,15,0.533,0,0,NA,7,9,0.778,3,3,6,1,0,0,0,0,23,18.6,13,32
23,19,"2015-12-12","30-047","BRK","","LAC",-5,0,"13:45",3,7,0.429,0,0,NA,5,5,1,1,4,5,1,0,0,1,4,11,7.3,13,18.3
24,20,"2015-12-14","30-049","BRK","","ORL",-23,0,"20:22",5,8,0.625,0,0,NA,2,3,0.667,0,3,3,0,0,0,2,1,12,6.5,-12,14.8
25,21,"2015-12-16","30-051","BRK","","MIA",-6,0,"21:03",5,11,0.455,0,0,NA,0,1,0,2,3,5,0,0,0,0,2,10,5.4,0,16.3
26,22,"2015-12-18","30-053","BRK","@","IND",-7,0,"21:49",5,9,0.556,0,0,NA,2,2,1,1,4,5,1,0,1,0,2,12,10.2,-4,21.8
27,23,"2015-12-20","30-055","BRK","","MIN",-15,0,"19:02",3,6,0.5,0,0,NA,5,6,0.833,1,2,3,1,1,0,1,0,11,9.6,2,17.8
28,24,"2015-12-21","30-056","BRK","@","CHI",3,0,"19:06",3,8,0.375,0,2,0,2,3,0.667,0,5,5,1,0,0,1,1,8,4,2,15.3
29,25,"2015-12-23","30-058","BRK","","DAL",-1,0,"19:59",6,13,0.462,0,1,0,0,0,NA,2,4,6,0,0,1,4,5,12,2.6,-8,19.5
30,26,"2015-12-26","30-061","BRK","","WAS",-15,0,"12:32",1,5,0.2,0,0,NA,0,0,NA,2,1,3,1,0,0,0,0,2,1.3,-1,7.3
31,27,"2015-12-28","30-063","BRK","@","MIA",6,0,"5:37",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-2,0
32,28,"2015-12-30","30-065","BRK","@","ORL",-7,0,"14:14",1,4,0.25,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,2,0.6,-1,4
33,29,"2016-01-02","30-068","BRK","@","BOS",3,0,"8:04",2,3,0.667,0,0,NA,0,0,NA,1,1,2,1,0,0,0,0,4,4.4,-9,8
34,30,"2016-01-04","30-070","BRK","","BOS",-9,0,"4:27",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
35,31,"2016-01-06","30-072","BRK","","TOR",-17,0,"5:44",1,2,0.5,0,0,NA,1,2,0.5,0,2,2,0,0,0,0,0,3,2.2,-6,5.5
37,32,"2016-01-09","30-075","BRK","@","DET",-14,0,"5:47",1,4,0.25,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,2,-0.5,-2,3.3
38,33,"2016-01-11","30-077","BRK","","SAS",-27,0,"15:16",3,6,0.5,0,0,NA,1,1,1,1,1,2,0,0,0,0,3,7,3.8,-7,9.5
39,34,"2016-01-13","30-079","BRK","","NYK",6,0,"13:32",2,6,0.333,0,1,0,0,0,NA,0,1,1,0,0,0,0,2,4,0.1,-14,5.3
40,35,"2016-01-15","30-081","BRK","","POR",-12,0,"13:36",4,7,0.571,1,1,1,3,4,0.75,0,1,1,0,1,0,1,0,12,8.6,-15,15.3
41,36,"2016-01-16","30-082","BRK","@","ATL",-28,0,"10:13",3,5,0.6,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,6,4.4,-16,7.5
43,37,"2016-01-20","30-086","BRK","","CLE",-13,0,"13:24",2,4,0.5,0,0,NA,0,0,NA,0,2,2,1,0,0,0,0,4,3.3,-10,8
44,38,"2016-01-22","30-088","BRK","","UTA",-22,0,"21:14",3,7,0.429,0,1,0,0,0,NA,0,1,1,1,0,1,1,1,6,2.6,-6,10.3
45,39,"2016-01-24","30-090","BRK","","OKC",10,0,"7:57",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,2,2,4,0.6,3,3
46,40,"2016-01-26","30-092","BRK","","MIA",-4,0,"24:21",9,12,0.75,0,0,NA,2,3,0.667,0,1,1,1,0,1,0,1,20,16.1,-3,24.8
47,41,"2016-01-29","30-095","BRK","@","DAL",-12,0,"11:21",1,4,0.25,0,0,NA,0,0,NA,1,3,4,0,0,0,1,2,2,-0.6,-18,6.5
48,42,"2016-01-30","30-096","BRK","@","NOP",-2,0,"9:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,2,0,0.2,-9,2.8
49,43,"2016-02-01","30-098","BRK","","DET",-5,0,"24:35",7,12,0.583,0,0,NA,4,4,1,0,4,4,1,0,0,0,0,18,14.3,6,24.5
50,44,"2016-02-03","30-100","BRK","","IND",-14,0,"12:03",1,2,0.5,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,2,1.9,-7,6
51,45,"2016-02-05","30-102","BRK","","SAC",9,0,"10:06",2,5,0.4,0,0,NA,0,0,NA,1,0,1,0,0,1,0,0,4,2.7,-3,7.3
52,46,"2016-02-06","30-103","BRK","@","PHI",-5,0,"8:58",1,5,0.2,0,0,NA,0,0,NA,1,1,2,2,0,0,0,2,2,0.5,2,7.5
