"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","23-150","GSW","","NOP",16,1,"32:42",3,12,0.25,1,5,0.2,1,2,0.5,5,4,9,3,1,0,1,3,8,6,17,25.8
2,2,"2015-10-30","23-153","GSW","@","HOU",20,1,"26:28",5,10,0.5,0,1,0,2,2,1,0,5,5,2,0,0,0,2,12,9.1,11,21.3
3,3,"2015-10-31","23-154","GSW","@","NOP",14,1,"32:14",5,10,0.5,0,2,0,1,1,1,1,6,7,2,0,0,1,2,11,8.1,11,22.3
4,4,"2015-11-02","23-156","GSW","","MEM",50,1,"20:09",2,5,0.4,0,1,0,4,4,1,1,2,3,4,1,0,1,0,8,9.4,23,19.3
5,5,"2015-11-04","23-158","GSW","","LAC",4,1,"35:39",5,8,0.625,2,3,0.667,5,5,1,2,7,9,3,0,1,2,1,17,17.3,14,34.8
6,6,"2015-11-06","23-160","GSW","","DEN",15,1,"30:59",8,13,0.615,2,4,0.5,3,3,1,1,4,5,1,1,0,0,3,21,17.5,6,31.8
7,7,"2015-11-07","23-161","GSW","@","SAC",9,1,"31:51",4,17,0.235,0,7,0,5,6,0.833,0,2,2,4,2,0,0,3,13,6.5,0,25.5
8,8,"2015-11-09","23-163","GSW","","DET",14,1,"28:26",5,8,0.625,2,3,0.667,0,0,NA,0,2,2,2,0,0,3,1,12,7,15,17
9,9,"2015-11-11","23-165","GSW","@","MEM",16,1,"31:34",7,11,0.636,1,1,1,4,5,0.8,1,3,4,3,3,1,2,5,19,17.1,24,36
10,10,"2015-11-12","23-166","GSW","@","MIN",13,1,"34:41",6,14,0.429,2,7,0.286,0,1,0,2,2,4,1,1,1,1,3,14,8.4,-3,25
11,11,"2015-11-14","23-168","GSW","","BRK",8,1,"31:21",4,8,0.5,0,0,NA,5,5,1,1,2,3,0,1,0,1,1,13,9.9,7,18.3
12,12,"2015-11-17","23-171","GSW","","TOR",5,1,"32:05",3,5,0.6,1,2,0.5,0,0,NA,1,3,4,1,0,0,0,3,7,5.8,8,14
13,13,"2015-11-19","23-173","GSW","@","LAC",7,1,"35:08",9,15,0.6,3,5,0.6,0,0,NA,1,6,7,1,0,0,1,1,21,15.9,10,32.3
14,14,"2015-11-20","23-174","GSW","","CHI",12,1,"31:49",7,13,0.538,3,6,0.5,3,4,0.75,1,8,9,1,1,0,1,0,20,17.1,6,35.8
15,15,"2015-11-22","23-176","GSW","@","DEN",13,1,"32:57",6,9,0.667,2,2,1,3,3,1,1,2,3,4,3,0,2,2,17,17.4,3,32.8
16,16,"2015-11-24","23-178","GSW","","LAL",34,1,"23:03",2,5,0.4,2,4,0.5,2,2,1,2,0,2,1,0,0,1,1,8,6,19,12.5
17,17,"2015-11-27","23-181","GSW","@","PHO",19,1,"20:55",3,5,0.6,0,1,0,1,4,0.25,1,6,7,0,2,0,1,0,7,7,11,19.3
34,18,"2016-01-04","23-219","GSW","","CHO",10,0,"19:37",4,7,0.571,0,1,0,0,0,NA,0,1,1,2,0,1,0,1,8,6.7,-5,14.3
35,19,"2016-01-05","23-220","GSW","@","LAL",21,0,"22:49",5,7,0.714,0,0,NA,0,0,NA,1,7,8,1,2,0,2,2,10,9.8,-1,24.5
36,20,"2016-01-08","23-223","GSW","@","POR",20,0,"22:33",2,10,0.2,1,3,0.333,2,2,1,0,0,0,3,1,0,0,1,7,3.5,-3,14
37,21,"2016-01-09","23-224","GSW","@","SAC",12,0,"24:12",4,7,0.571,1,1,1,1,1,1,1,3,4,1,0,0,2,2,10,6.2,14,16
38,22,"2016-01-11","23-226","GSW","","MIA",8,0,"26:54",4,10,0.4,0,2,0,4,4,1,1,5,6,1,1,0,1,2,12,8.7,18,22.5
39,23,"2016-01-13","23-228","GSW","@","DEN",-2,0,"31:19",7,17,0.412,2,4,0.5,2,2,1,1,2,3,1,2,0,0,3,18,11.7,-4,28.3
40,24,"2016-01-14","23-229","GSW","","LAL",18,0,"29:04",5,10,0.5,1,3,0.333,1,2,0.5,0,6,6,2,2,1,0,3,12,11.3,10,29
41,25,"2016-01-16","23-231","GSW","@","DET",-18,1,"29:50",2,11,0.182,1,2,0.5,0,0,NA,0,3,3,2,0,0,0,2,5,-0.4,-26,12.3
42,26,"2016-01-18","23-233","GSW","@","CLE",34,1,"27:25",4,8,0.5,2,5,0.4,2,2,1,0,2,2,0,0,0,2,1,12,6.2,18,14.5
43,27,"2016-01-20","23-235","GSW","@","CHI",31,1,"32:36",8,13,0.615,3,5,0.6,0,0,NA,1,2,3,1,0,0,1,1,19,13.7,18,25.3
44,28,"2016-01-22","23-237","GSW","","IND",12,1,"35:20",2,10,0.2,0,1,0,2,3,0.667,4,7,11,5,0,0,1,5,6,4.8,10,26.8
