"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-295","DEN","@","HOU",20,0,"19:34",5,10,0.5,1,2,0.5,0,0,NA,1,3,4,0,1,0,0,0,11,8.6,4,18.5
2,2,"2015-10-30","24-297","DEN","","MIN",-17,0,"29:41",4,14,0.286,1,4,0.25,5,6,0.833,1,3,4,1,2,1,0,4,14,8.8,-5,27
3,3,"2015-11-01","24-299","DEN","@","OKC",-24,0,"24:15",6,12,0.5,1,3,0.333,2,3,0.667,0,3,3,1,2,0,0,0,15,12.2,5,24.8
4,4,"2015-11-03","24-301","DEN","@","LAL",11,0,"21:28",3,6,0.5,0,2,0,4,4,1,1,3,4,1,1,1,0,2,10,10.2,3,20.5
5,5,"2015-11-05","24-303","DEN","","UTA",-12,0,"20:16",3,7,0.429,0,2,0,6,6,1,1,3,4,1,1,1,0,1,12,11.9,-5,22.5
6,6,"2015-11-06","24-304","DEN","@","GSW",-15,1,"39:09",7,16,0.438,2,4,0.5,3,3,1,0,8,8,5,2,1,3,2,19,15.4,-3,42
7,7,"2015-11-09","24-307","DEN","","POR",4,0,"23:02",4,7,0.571,1,2,0.5,2,2,1,0,3,3,1,0,0,1,1,11,7.9,4,16.3
8,8,"2015-11-11","24-309","DEN","","MIL",1,0,"17:06",3,5,0.6,0,1,0,0,0,NA,0,2,2,1,0,0,1,2,6,3.2,-4,9.5
9,9,"2015-11-13","24-311","DEN","","HOU",9,0,"30:43",8,14,0.571,4,5,0.8,6,7,0.857,0,5,5,1,2,0,2,0,26,21.2,9,38.8
10,10,"2015-11-14","24-312","DEN","@","PHO",-24,0,"36:35",8,16,0.5,3,6,0.5,0,0,NA,1,11,12,4,2,1,1,1,19,19.1,-16,48.5
11,11,"2015-11-17","24-315","DEN","@","NOP",17,0,"37:16",7,12,0.583,3,4,0.75,0,0,NA,2,5,7,2,1,2,1,1,17,16.7,10,35.8
12,12,"2015-11-18","24-316","DEN","@","SAS",-11,0,"21:40",4,10,0.4,0,1,0,1,2,0.5,1,3,4,5,1,1,0,1,9,9.6,0,25.5
13,13,"2015-11-20","24-318","DEN","","PHO",-7,0,"25:31",5,10,0.5,1,4,0.25,3,3,1,0,4,4,2,2,0,0,2,14,12.8,0,26.5
14,14,"2015-11-22","24-320","DEN","","GSW",-13,0,"27:29",7,10,0.7,0,1,0,5,5,1,1,5,6,3,1,1,4,0,19,16.8,-1,33
15,15,"2015-11-24","24-322","DEN","","LAC",-17,0,"19:37",0,6,0,0,2,0,1,2,0.5,1,2,3,0,0,0,2,3,1,-5.5,-14,3.8
16,16,"2015-11-27","24-325","DEN","","SAS",-11,0,"29:28",5,10,0.5,1,3,0.333,1,2,0.5,2,7,9,2,2,0,5,0,12,8.5,-13,28.3
17,17,"2015-11-28","24-326","DEN","@","DAL",-11,0,"30:15",4,13,0.308,4,8,0.5,2,2,1,1,7,8,3,1,1,2,1,14,10.7,-6,33.5
18,18,"2015-11-30","24-328","DEN","@","MIL",-18,0,"29:32",4,8,0.5,2,2,1,0,0,NA,0,6,6,1,0,0,2,2,10,5.7,-7,19
19,19,"2015-12-02","24-330","DEN","@","CHI",-9,0,"26:56",6,12,0.5,1,3,0.333,3,4,0.75,1,7,8,2,0,0,0,2,16,13,-15,29.5
20,20,"2015-12-03","24-331","DEN","@","TOR",1,0,"31:18",6,13,0.462,3,6,0.5,7,7,1,1,3,4,4,0,1,2,4,22,16.8,-4,35.5
21,21,"2015-12-05","24-333","DEN","@","PHI",3,0,"33:24",5,11,0.455,1,5,0.2,5,6,0.833,0,9,9,1,1,0,2,0,16,12.3,2,30.3
22,22,"2015-12-08","24-336","DEN","","ORL",-11,0,"37:32",9,23,0.391,3,10,0.3,2,4,0.5,0,4,4,1,4,1,1,3,23,14.1,-7,40.5
23,23,"2015-12-11","24-339","DEN","","MIN",3,0,"34:34",6,14,0.429,1,4,0.25,0,0,NA,0,9,9,3,2,0,2,2,13,9.6,4,32.3
24,24,"2015-12-14","24-342","DEN","","HOU",6,0,"33:07",8,18,0.444,2,6,0.333,5,5,1,2,7,9,3,3,0,2,1,23,19.8,10,44.8
25,25,"2015-12-15","24-343","DEN","@","MIN",12,0,"30:31",5,11,0.455,1,2,0.5,3,4,0.75,2,5,7,5,0,0,3,3,14,10.1,8,29.3
26,26,"2015-12-18","24-346","DEN","@","UTA",-9,0,"23:19",5,13,0.385,1,6,0.167,5,6,0.833,0,3,3,2,1,0,2,2,16,9,-1,24.3
27,27,"2015-12-20","24-348","DEN","","NOP",-5,0,"36:11",12,25,0.48,7,11,0.636,1,1,1,2,8,10,6,0,0,1,2,32,25.5,7,58
28,28,"2015-12-22","24-350","DEN","","LAL",-4,0,"38:16",10,21,0.476,2,6,0.333,3,3,1,1,7,8,2,0,1,1,3,25,17,15,40.5
29,29,"2015-12-23","24-351","DEN","@","PHO",8,0,"34:33",7,15,0.467,3,5,0.6,0,1,0,0,9,9,5,1,0,3,3,17,11.9,13,37.8
30,30,"2015-12-26","24-354","DEN","@","SAS",-15,0,"28:00",7,14,0.5,2,5,0.4,0,0,NA,1,4,5,3,1,0,1,1,16,12.6,-5,29.3
31,31,"2015-12-27","24-355","DEN","@","OKC",-10,0,"34:40",8,16,0.5,1,6,0.167,2,3,0.667,2,3,5,5,0,0,0,2,19,15.6,-3,33.3
32,32,"2015-12-29","24-357","DEN","","CLE",-6,0,"34:17",11,20,0.55,3,8,0.375,4,4,1,0,7,7,1,0,2,3,0,29,20.6,1,43.3
33,33,"2015-12-30","24-358","DEN","@","POR",-7,0,"36:05",12,22,0.545,4,6,0.667,3,4,0.75,2,3,5,4,1,0,1,3,31,23.9,-1,46.8
34,34,"2016-01-02","24-361","DEN","@","GSW",-3,0,"49:30",8,25,0.32,1,8,0.125,4,7,0.571,1,12,13,7,2,0,5,3,21,10.5,11,51.3
35,35,"2016-01-03","24-362","DEN","","POR",-6,0,"25:06",2,10,0.2,1,5,0.2,0,0,NA,0,2,2,2,0,0,1,3,5,-1.4,-17,10.5
36,36,"2016-01-06","25-000","DEN","@","MIN",4,0,"25:38",2,6,0.333,1,2,0.5,2,2,1,2,4,6,1,0,0,3,3,7,2.7,15,15
37,37,"2016-01-08","25-002","DEN","@","MEM",-7,0,"20:38",3,11,0.273,0,1,0,0,0,NA,2,7,9,0,0,0,0,2,6,2.2,-12,17.3
