"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-318","CHO","@","MIA",-10,1,"32:30",3,12,0.25,2,6,0.333,1,2,0.5,2,4,6,3,0,0,3,3,9,1.9,-3,20.5
2,2,"2015-10-30","26-320","CHO","@","ATL",-3,1,"33:22",6,10,0.6,1,4,0.25,1,1,1,2,9,11,4,1,0,7,2,14,9.5,6,34.3
3,3,"2015-11-01","26-322","CHO","","ATL",-2,1,"36:15",5,14,0.357,4,9,0.444,2,2,1,3,2,5,8,2,2,2,2,16,17.1,3,43.3
4,4,"2015-11-03","26-324","CHO","","CHI",25,1,"28:27",4,11,0.364,1,2,0.5,9,9,1,0,8,8,3,0,0,1,1,18,15,17,32.5
5,5,"2015-11-05","26-326","CHO","@","DAL",14,1,"34:04",3,10,0.3,0,5,0,2,2,1,1,6,7,4,2,1,1,1,8,8.8,11,28.3
6,6,"2015-11-07","26-328","CHO","@","SAS",-20,1,"32:28",2,6,0.333,1,2,0.5,5,5,1,1,3,4,4,3,0,4,3,10,8.8,-20,25.5
7,7,"2015-11-10","26-331","CHO","@","MIN",9,1,"35:08",6,11,0.545,3,5,0.6,2,2,1,0,6,6,3,0,2,4,3,17,11.8,-5,32.5
8,8,"2015-11-11","26-332","CHO","","NYK",2,1,"36:21",10,18,0.556,2,5,0.4,2,5,0.4,1,4,5,1,1,0,2,0,24,15.8,1,33.8
9,9,"2015-11-13","26-334","CHO","@","CHI",-5,1,"34:42",10,17,0.588,5,6,0.833,3,3,1,3,5,8,2,2,0,2,1,28,24.7,6,46.5
10,10,"2015-11-15","26-336","CHO","","POR",12,1,"38:53",11,19,0.579,5,10,0.5,6,7,0.857,0,5,5,6,0,0,2,2,33,26.6,5,49.8
