"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-069","MIL","","NYK",-25,1,"30:03",0,6,0,0,0,NA,4,4,1,1,5,6,2,2,0,3,2,4,1.6,-15,17
2,2,"2015-10-30","27-071","MIL","","WAS",-5,0,"27:02",5,11,0.455,2,7,0.286,2,3,0.667,0,0,0,4,1,0,1,1,14,10.3,-11,22.5
3,3,"2015-11-01","27-073","MIL","@","TOR",-19,0,"22:10",1,3,0.333,0,1,0,0,0,NA,1,0,1,2,0,1,3,1,2,-0.3,-13,6.8
4,4,"2015-11-02","27-074","MIL","@","BRK",7,1,"46:40",8,15,0.533,6,10,0.6,4,7,0.571,0,3,3,2,0,0,2,2,26,17,11,34.8
5,5,"2015-11-04","27-076","MIL","","PHI",4,1,"30:24",2,6,0.333,1,2,0.5,0,0,NA,0,4,4,3,0,0,1,2,5,3.1,-7,14.5
6,6,"2015-11-06","27-078","MIL","@","NYK",7,0,"27:49",2,9,0.222,1,5,0.2,0,0,NA,0,2,2,4,1,0,2,3,5,0.7,-3,15
7,7,"2015-11-07","27-079","MIL","","BRK",8,0,"31:30",7,13,0.538,3,6,0.5,2,2,1,0,1,1,10,2,2,2,1,19,21,19,45.3
8,8,"2015-11-10","27-082","MIL","","BOS",-16,0,"29:33",3,9,0.333,2,4,0.5,4,4,1,0,2,2,2,3,0,2,3,12,8.7,-8,23.5
9,9,"2015-11-11","27-083","MIL","@","DEN",-1,0,"28:25",7,10,0.7,3,3,1,5,6,0.833,1,1,2,4,2,0,3,4,22,18.6,3,34.5
10,10,"2015-11-14","27-086","MIL","","CLE",3,0,"38:48",7,16,0.438,3,7,0.429,0,0,NA,0,2,2,5,0,0,1,3,17,10.5,1,28
11,11,"2015-11-17","27-089","MIL","@","WAS",-29,1,"36:50",5,11,0.455,3,6,0.5,0,0,NA,0,6,6,3,2,0,2,3,13,10,-22,29.5
12,12,"2015-11-19","27-091","MIL","@","CLE",-15,0,"25:17",4,8,0.5,1,2,0.5,0,0,NA,0,1,1,2,0,0,1,4,9,4.1,-12,13.3
13,13,"2015-11-21","27-093","MIL","@","IND",-37,0,"19:00",1,5,0.2,1,5,0.2,0,0,NA,0,2,2,2,1,0,2,1,3,0.5,-7,10
14,14,"2015-11-23","27-095","MIL","","DET",21,0,"31:24",5,8,0.625,3,4,0.75,1,2,0.5,0,6,6,4,3,0,1,3,14,15.4,20,34.5
15,15,"2015-11-25","27-097","MIL","","SAC",-11,0,"35:55",4,8,0.5,3,4,0.75,2,3,0.667,1,3,4,4,4,0,0,2,13,16.2,-9,33.5
16,16,"2015-11-27","27-099","MIL","@","ORL",-24,0,"33:01",6,14,0.429,5,10,0.5,0,0,NA,0,4,4,3,2,0,4,2,17,10.1,-16,31
17,17,"2015-11-29","27-101","MIL","@","CHO",-5,1,"43:08",4,14,0.286,2,9,0.222,1,2,0.5,2,4,6,6,1,0,2,3,11,7,-3,29.5
18,18,"2015-11-30","27-102","MIL","","DEN",18,1,"32:30",2,6,0.333,1,4,0.25,2,2,1,0,1,1,4,1,0,3,2,7,3.9,7,15.3
20,19,"2015-12-04","27-106","MIL","@","DET",-7,1,"26:03",4,9,0.444,1,5,0.2,0,1,0,0,3,3,5,0,0,0,1,9,7.9,-12,20.8
32,20,"2015-12-28","27-130","MIL","@","DAL",-10,0,"26:47",8,12,0.667,1,4,0.25,2,2,1,0,2,2,7,1,0,5,4,19,13.7,8,32
33,21,"2015-12-29","27-131","MIL","@","OKC",-8,0,"19:33",3,6,0.5,1,2,0.5,1,1,1,0,2,2,4,0,0,0,1,8,8,-15,17
34,22,"2015-12-31","27-133","MIL","@","IND",4,0,"25:01",5,8,0.625,2,4,0.5,2,2,1,1,1,2,1,0,0,3,4,14,7.5,-12,17.5
35,23,"2016-01-02","27-135","MIL","@","MIN",10,0,"32:05",4,13,0.308,3,6,0.5,2,2,1,1,4,5,2,0,0,2,1,13,6.4,18,22.8
36,24,"2016-01-04","27-137","MIL","","SAS",-25,0,"7:17",1,4,0.25,1,2,0.5,0,0,NA,1,0,1,0,0,0,1,1,3,-0.1,-8,4.3
43,25,"2016-01-16","27-149","MIL","@","CHO",13,0,"21:34",1,5,0.2,1,3,0.333,0,0,NA,1,1,2,6,0,1,1,1,3,4.4,4,16.5
44,26,"2016-01-19","27-152","MIL","@","MIA",12,0,"29:46",4,7,0.571,3,6,0.5,0,0,NA,1,2,3,3,1,0,3,3,11,7.9,-2,21.3
45,27,"2016-01-22","27-155","MIL","@","HOU",-4,0,"20:16",1,6,0.167,1,4,0.25,0,0,NA,1,0,1,6,1,0,2,2,3,2.3,0,14.8
46,28,"2016-01-23","27-156","MIL","@","NOP",-17,0,"21:10",1,5,0.2,1,5,0.2,0,0,NA,0,1,1,0,0,1,0,1,3,0.5,-19,6.8
47,29,"2016-01-26","27-159","MIL","","ORL",7,0,"29:51",3,9,0.333,3,6,0.5,3,5,0.6,0,5,5,1,1,0,0,4,12,7.7,-2,23.3
48,30,"2016-01-28","27-161","MIL","@","MEM",-20,0,"19:43",2,4,0.5,0,1,0,5,5,1,0,3,3,3,1,1,2,1,9,9.3,-14,20.3
49,31,"2016-01-29","27-162","MIL","","MIA",-4,0,"23:58",0,4,0,0,3,0,0,0,NA,0,1,1,3,1,0,0,2,0,-0.2,-13,7.8
50,32,"2016-02-01","27-165","MIL","@","SAC",-7,0,"27:28",2,9,0.222,2,6,0.333,0,0,NA,0,4,4,5,1,0,2,3,6,3,-4,20.5
51,33,"2016-02-02","27-166","MIL","@","POR",-12,0,"30:27",6,9,0.667,2,3,0.667,2,2,1,0,1,1,5,0,1,2,2,16,13.8,-5,26.8
