"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","28-322","DET","@","ATL",12,0,"10:51",3,5,0.6,0,0,NA,0,0,NA,1,4,5,0,0,0,1,2,6,3.8,-11,11.8
2,2,"2015-10-28","28-323","DET","","UTA",5,0,"11:53",1,4,0.25,0,0,NA,2,2,1,2,1,3,0,0,1,0,3,4,2.8,-9,9.8
3,3,"2015-10-30","28-325","DET","","CHI",4,0,"13:55",2,4,0.5,0,0,NA,0,2,0,1,5,6,1,0,0,0,1,4,3.7,-8,13
4,4,"2015-11-03","28-329","DET","","IND",-12,0,"4:47",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-20,0
5,5,"2015-11-06","28-332","DET","@","PHO",8,0,"11:51",1,1,1,0,0,NA,2,2,1,0,0,0,1,1,0,0,3,4,4.2,7,7.5
6,6,"2015-11-08","28-334","DET","@","POR",17,0,"12:08",1,1,1,0,0,NA,2,2,1,2,3,5,1,0,1,1,1,4,6,3,13.3
7,7,"2015-11-09","28-335","DET","@","GSW",-14,0,"12:27",1,2,0.5,0,0,NA,0,0,NA,1,3,4,1,0,0,2,0,2,1.3,-7,7.5
8,8,"2015-11-11","28-337","DET","@","SAC",-9,0,"13:23",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,2,0.2,6,3.3
9,9,"2015-11-14","28-340","DET","@","LAC",-5,0,"14:11",3,5,0.6,0,0,NA,0,0,NA,1,1,2,0,0,0,1,1,6,3.3,5,8
10,10,"2015-11-15","28-341","DET","@","LAL",-12,0,"7:18",4,5,0.8,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,1,9,6.6,-7,10.3
11,11,"2015-11-17","28-343","DET","","CLE",5,0,"8:46",1,3,0.333,0,0,NA,0,0,NA,1,1,2,0,1,0,0,0,2,2.3,-12,6.5
12,12,"2015-11-20","28-346","DET","@","MIN",10,0,"18:45",2,4,0.5,0,0,NA,2,2,1,4,7,11,1,2,2,4,3,6,7.8,1,27.3
13,13,"2015-11-21","28-347","DET","","WAS",-2,0,"10:54",2,3,0.667,0,0,NA,0,1,0,1,3,4,0,0,0,1,2,4,2.1,-10,8.5
14,14,"2015-11-23","28-349","DET","@","MIL",-21,0,"18:50",2,7,0.286,0,0,NA,2,2,1,5,4,9,1,0,0,0,2,6,6.5,-6,18.8
15,15,"2015-11-25","28-351","DET","","MIA",23,0,"12:34",3,4,0.75,0,0,NA,0,0,NA,1,4,5,1,0,1,0,1,6,7.3,12,15.8
16,16,"2015-11-27","28-353","DET","@","OKC",-16,0,"15:34",2,5,0.4,0,0,NA,0,0,NA,2,4,6,0,0,0,0,4,4,2.3,-11,11.5
17,17,"2015-11-29","28-355","DET","@","BRK",-4,0,"11:16",1,5,0.2,0,1,0,0,0,NA,0,1,1,1,0,0,2,1,2,-2.5,-7,3.8
18,18,"2015-11-30","28-356","DET","","HOU",11,0,"20:32",5,8,0.625,0,0,NA,1,2,0.5,3,1,4,2,0,1,1,3,11,9.3,-4,20.5
19,19,"2015-12-02","28-358","DET","","PHO",5,0,"10:44",0,5,0,0,0,NA,0,0,NA,4,1,5,0,0,0,2,3,0,-3.6,-3,5.3
20,20,"2015-12-04","28-360","DET","","MIL",7,0,"12:08",0,2,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,1,0,-0.8,9,2.8
21,21,"2015-12-06","28-362","DET","","LAL",20,0,"21:21",1,6,0.167,0,0,NA,0,0,NA,4,4,8,2,0,0,2,2,2,0.8,-4,14
22,22,"2015-12-07","28-363","DET","@","CHO",-20,0,"20:31",4,8,0.5,0,0,NA,0,1,0,1,2,3,1,4,0,0,3,8,8.4,-11,21.3
23,23,"2015-12-09","29-000","DET","","MEM",-1,0,"11:30",2,6,0.333,0,0,NA,2,2,1,2,2,4,2,0,1,1,1,6,5.3,-5,15.5
24,24,"2015-12-11","29-002","DET","@","PHI",12,0,"15:08",3,4,0.75,0,0,NA,0,0,NA,1,1,2,1,0,1,2,5,6,2.8,-15,11
25,25,"2015-12-12","29-003","DET","","IND",22,0,"16:20",1,2,0.5,0,0,NA,4,6,0.667,2,5,7,1,0,1,2,2,6,5.7,5,17.3
26,26,"2015-12-14","29-005","DET","","LAC",-2,0,"12:40",5,6,0.833,0,0,NA,0,0,NA,4,2,6,2,0,0,2,2,10,9.8,7,19.5
27,27,"2015-12-16","29-007","DET","","BOS",3,0,"12:31",3,5,0.6,0,0,NA,3,3,1,0,3,3,0,0,0,0,1,9,7.2,8,12.8
29,28,"2015-12-22","29-013","DET","@","MIA",1,0,"13:44",0,3,0,0,0,NA,1,2,0.5,0,1,1,0,0,0,1,0,1,-2.2,-1,1.8
30,29,"2015-12-23","29-014","DET","@","ATL",-7,0,"11:56",1,4,0.25,0,0,NA,2,5,0.4,3,3,6,1,0,2,2,1,4,3.1,-8,16
31,30,"2015-12-26","29-017","DET","","BOS",-6,0,"11:30",1,1,1,0,0,NA,0,0,NA,3,1,4,0,1,0,0,0,2,5.1,0,9
32,31,"2015-12-29","29-020","DET","@","NYK",-12,0,"11:56",0,2,0,0,0,NA,0,0,NA,0,4,4,1,0,1,0,2,0,0.4,-5,8.5
33,32,"2015-12-31","29-022","DET","","MIN",25,0,"13:53",1,4,0.25,0,0,NA,0,0,NA,2,3,5,0,0,0,1,3,2,-0.3,9,7.8
34,33,"2016-01-02","29-024","DET","@","IND",-12,0,"12:09",3,5,0.6,0,0,NA,4,4,1,1,2,3,0,0,0,0,1,10,8.6,6,13.8
35,34,"2016-01-04","29-026","DET","","ORL",26,0,"15:42",3,3,1,0,0,NA,1,2,0.5,4,6,10,2,0,2,2,2,7,10.3,21,25.5
36,35,"2016-01-06","29-028","DET","@","BOS",5,0,"17:59",2,3,0.667,0,0,NA,2,2,1,0,6,6,4,0,1,2,5,6,6,15,20.5
