"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-122","WAS","@","ORL",1,1,"37:36",9,19,0.474,2,8,0.25,4,7,0.571,3,3,6,0,0,1,4,2,24,12,4,32.5
2,2,"2015-10-30","22-124","WAS","@","MIL",5,1,"29:43",9,16,0.563,5,6,0.833,3,4,0.75,1,2,3,3,0,0,5,5,26,14.4,9,34.3
3,3,"2015-10-31","22-125","WAS","","NYK",-7,1,"37:12",9,23,0.391,3,6,0.5,5,5,1,0,4,4,0,2,0,1,4,26,14.1,-9,36
4,4,"2015-11-04","22-129","WAS","","SAS",3,1,"36:16",11,22,0.5,3,8,0.375,0,0,NA,2,3,5,4,3,0,1,3,25,19.9,10,44.3
5,5,"2015-11-06","22-131","WAS","@","BOS",-20,1,"30:36",9,15,0.6,3,4,0.75,3,3,1,0,5,5,2,1,1,2,1,24,19.3,-7,37.8
6,6,"2015-11-07","22-132","WAS","@","ATL",-15,1,"36:56",5,12,0.417,0,2,0,1,1,1,3,3,6,7,0,0,8,4,11,2.9,-15,25
10,7,"2015-11-21","22-146","WAS","@","DET",2,1,"28:21",3,8,0.375,0,0,NA,1,3,0.333,0,1,1,0,1,0,0,0,7,3.1,-20,10.3
11,8,"2015-11-24","22-149","WAS","","IND",-17,1,"34:39",9,22,0.409,2,8,0.25,0,1,0,0,4,4,3,2,0,1,0,20,12.1,-19,34
12,9,"2015-11-25","22-150","WAS","@","CHO",-14,1,"37:46",6,16,0.375,3,8,0.375,2,2,1,0,4,4,2,0,1,2,1,17,9.1,-11,27.5
13,10,"2015-11-27","22-152","WAS","@","BOS",-33,1,"33:21",7,14,0.5,1,2,0.5,1,1,1,1,2,3,2,1,1,4,3,16,8.2,-18,25.3
14,11,"2015-11-28","22-153","WAS","","TOR",-2,1,"40:44",5,9,0.556,2,4,0.5,8,8,1,1,5,6,6,3,0,4,3,20,19.9,4,41.5
15,12,"2015-12-01","22-156","WAS","@","CLE",12,1,"41:30",6,19,0.316,1,10,0.1,5,7,0.714,1,8,9,6,1,0,1,2,18,12.8,12,40.3
16,13,"2015-12-02","22-157","WAS","","LAL",-4,1,"37:43",4,12,0.333,1,4,0.25,2,2,1,0,2,2,6,2,1,5,3,11,5.5,-7,26.5
17,14,"2015-12-04","22-159","WAS","","PHO",3,1,"38:15",12,23,0.522,5,8,0.625,5,6,0.833,2,6,8,5,2,0,2,3,34,27.8,-4,57
18,15,"2015-12-06","22-161","WAS","","DAL",-12,1,"40:40",7,19,0.368,4,6,0.667,3,6,0.5,1,4,5,3,0,0,2,3,21,10.1,-14,32.8
19,16,"2015-12-07","22-162","WAS","@","MIA",11,1,"39:38",10,24,0.417,1,4,0.25,0,0,NA,0,3,3,4,1,0,2,2,21,10.1,6,32.3
20,17,"2015-12-09","22-164","WAS","","HOU",-6,1,"39:13",5,15,0.333,1,7,0.143,4,6,0.667,1,5,6,2,0,1,7,3,15,1.8,-2,24.5
37,18,"2016-01-13","22-199","WAS","","MIL",5,0,"22:49",3,8,0.375,1,2,0.5,4,4,1,0,3,3,3,1,0,1,2,11,8.8,-8,21.3
38,19,"2016-01-15","22-201","WAS","@","IND",14,0,"21:58",9,15,0.6,4,7,0.571,0,1,0,2,3,5,1,0,0,2,3,22,14.5,11,30.8
40,20,"2016-01-18","22-204","WAS","","POR",-10,0,"24:26",4,8,0.5,3,5,0.6,5,6,0.833,0,1,1,5,1,0,0,1,16,16,-3,28.3
41,21,"2016-01-20","22-206","WAS","","MIA",19,0,"25:28",7,13,0.538,1,3,0.333,3,4,0.75,3,0,3,2,1,0,0,2,18,15,14,27.3
42,22,"2016-01-25","22-211","WAS","","BOS",-25,0,"9:20",2,6,0.333,0,3,0,0,0,NA,0,1,1,1,1,0,3,2,4,-1.2,-2,7.3
44,23,"2016-01-28","22-214","WAS","","DEN",-4,0,"25:36",7,14,0.5,1,2,0.5,2,3,0.667,0,1,1,2,1,0,4,4,17,6.7,2,21.8
45,24,"2016-01-30","22-216","WAS","@","HOU",1,0,"29:31",4,9,0.444,1,5,0.2,2,2,1,0,3,3,4,0,0,2,2,11,7.2,-5,20.3
46,25,"2016-02-01","22-218","WAS","@","OKC",-16,0,"25:57",7,15,0.467,3,7,0.429,1,1,1,0,3,3,1,0,0,0,3,18,10.7,-7,24.8
47,26,"2016-02-03","22-220","WAS","","GSW",-13,0,"28:55",8,17,0.471,1,7,0.143,1,1,1,0,1,1,2,2,1,0,3,18,12.5,-10,28.8
48,27,"2016-02-05","22-222","WAS","","PHI",12,1,"31:53",10,16,0.625,0,2,0,2,2,1,2,1,3,2,1,0,1,0,22,17.9,17,30.3
49,28,"2016-02-06","22-223","WAS","@","CHO",-4,0,"20:09",8,13,0.615,3,4,0.75,3,4,0.75,0,2,2,3,0,0,1,4,22,15.8,13,30
50,29,"2016-02-09","22-226","WAS","@","NYK",3,1,"31:57",8,14,0.571,5,8,0.625,5,9,0.556,0,3,3,2,4,1,2,0,26,22.8,16,44.3
51,30,"2016-02-11","22-228","WAS","@","MIL",-7,1,"36:35",6,15,0.4,2,6,0.333,5,5,1,0,3,3,5,0,1,2,2,19,13.2,-4,32.3
52,31,"2016-02-18","22-235","WAS","","UTA",14,0,"23:44",7,14,0.5,2,4,0.5,0,0,NA,0,3,3,3,0,1,1,0,16,11.7,2,26.8
