"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-217","SAC","","LAC",-7,0,"31:57",3,12,0.25,3,7,0.429,0,0,NA,0,2,2,7,1,0,0,3,9,7.1,-1,25.5
2,2,"2015-10-30","29-219","SAC","","LAL",18,0,"22:12",2,7,0.286,1,5,0.2,1,2,0.5,0,2,2,2,1,0,2,2,6,1.7,4,13
3,3,"2015-10-31","29-220","SAC","@","LAC",-5,0,"28:04",2,8,0.25,1,2,0.5,6,6,1,0,2,2,1,1,0,0,2,11,7.7,0,17.5
4,4,"2015-11-03","29-223","SAC","","MEM",-14,0,"24:56",3,9,0.333,2,6,0.333,4,6,0.667,0,0,0,3,0,0,1,3,12,6,-6,17
5,5,"2015-11-04","29-224","SAC","@","PHO",-21,0,"26:13",6,11,0.545,2,5,0.4,1,1,1,0,2,2,3,1,0,1,2,15,11.6,-8,24.5
6,6,"2015-11-06","29-226","SAC","","HOU",-6,1,"23:02",2,10,0.2,0,5,0,1,2,0.5,0,1,1,2,0,0,0,0,5,0.1,-23,9.3
7,7,"2015-11-07","29-227","SAC","","GSW",-9,0,"34:33",5,11,0.455,3,6,0.5,9,10,0.9,1,2,3,2,1,0,4,1,22,15.2,-15,30.3
8,8,"2015-11-09","29-229","SAC","","SAS",-18,0,"31:46",7,13,0.538,3,4,0.75,0,0,NA,1,0,1,5,0,0,3,0,17,11.9,-17,25.8
9,9,"2015-11-11","29-231","SAC","","DET",9,0,"27:50",2,7,0.286,1,3,0.333,4,4,1,0,0,0,0,0,0,1,4,9,2.3,-7,9
10,10,"2015-11-13","29-233","SAC","","BRK",2,0,"31:16",5,14,0.357,2,6,0.333,2,2,1,0,2,2,4,2,0,3,1,14,8.2,11,26
11,11,"2015-11-15","29-235","SAC","","TOR",6,0,"26:18",2,8,0.25,1,3,0.333,2,2,1,0,2,2,1,1,0,2,3,7,1.3,8,12.5
12,12,"2015-11-18","29-238","SAC","@","ATL",-6,0,"26:29",3,8,0.375,0,2,0,2,2,1,1,2,3,2,0,0,3,2,8,2.5,-6,13.3
13,13,"2015-11-19","29-239","SAC","@","MIA",-7,0,"26:09",5,11,0.455,5,10,0.5,8,9,0.889,0,1,1,1,0,0,2,3,23,14.7,-1,27.3
14,14,"2015-11-21","29-241","SAC","@","ORL",6,0,"26:43",3,7,0.429,2,5,0.4,5,6,0.833,0,2,2,3,0,0,0,2,13,10.8,22,21
15,15,"2015-11-23","29-243","SAC","@","CHO",-5,0,"38:23",7,17,0.412,2,8,0.25,1,1,1,0,0,0,3,2,0,1,3,17,9.8,-23,26
16,16,"2015-11-25","29-245","SAC","@","MIL",11,0,"23:01",5,10,0.5,3,7,0.429,4,5,0.8,0,1,1,1,2,0,0,0,17,14.6,1,25.3
