"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-108","HOU","","DEN",-20,0,"21:16",3,9,0.333,2,7,0.286,0,0,NA,2,6,8,1,2,0,3,2,8,5,-2,23
2,2,"2015-10-30","27-110","HOU","","GSW",-20,0,"20:54",2,6,0.333,0,1,0,0,0,NA,1,3,4,2,0,0,1,5,4,0.6,-12,11.5
3,3,"2015-11-01","27-112","HOU","@","MIA",-20,0,"19:47",4,7,0.571,1,3,0.333,0,0,NA,0,3,3,0,0,0,3,3,9,2.4,-5,11.8
4,4,"2015-11-02","27-113","HOU","","OKC",5,0,"20:56",2,5,0.4,2,3,0.667,0,0,NA,0,2,2,2,2,0,2,4,6,3.7,-9,15.5
5,5,"2015-11-04","27-115","HOU","","ORL",5,0,"12:01",1,4,0.25,1,2,0.5,0,0,NA,0,2,2,0,1,0,0,2,3,1.4,0,8
8,6,"2015-11-11","27-122","HOU","","BRK",-8,0,"8:53",1,5,0.2,1,4,0.25,0,0,NA,0,3,3,2,0,1,0,3,3,1.7,-5,12.3
9,7,"2015-11-13","27-124","HOU","@","DEN",-9,0,"7:50",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,1,2,0,-2.5,0,1
15,8,"2015-11-25","27-136","HOU","","MEM",-9,0,"18:52",2,5,0.4,0,2,0,0,0,NA,1,1,2,2,0,0,1,1,4,2.3,-13,9
16,9,"2015-11-27","27-138","HOU","","PHI",2,1,"32:05",2,4,0.5,1,1,1,0,0,NA,0,2,2,4,1,3,1,2,5,7.7,-6,21.5
17,10,"2015-11-29","27-140","HOU","@","NYK",5,1,"34:04",2,5,0.4,0,2,0,3,3,1,0,3,3,2,5,0,1,5,7,8.6,16,23.3
18,11,"2015-11-30","27-141","HOU","@","DET",-11,1,"28:13",4,12,0.333,2,5,0.4,0,0,NA,0,0,0,3,1,2,1,6,10,4.3,-2,21
19,12,"2015-12-02","27-143","HOU","","NOP",7,1,"26:13",4,10,0.4,2,5,0.4,0,0,NA,0,2,2,5,2,1,0,5,10,9.4,-1,27
20,13,"2015-12-04","27-145","HOU","@","DAL",4,1,"28:17",5,7,0.714,4,4,1,0,0,NA,1,2,3,1,2,0,2,3,14,11.9,10,24.3
21,14,"2015-12-05","27-146","HOU","","SAC",7,1,"30:14",4,6,0.667,3,4,0.75,3,4,0.75,1,2,3,2,1,0,0,3,14,13.5,-4,24.3
22,15,"2015-12-08","27-149","HOU","@","BRK",-5,1,"28:24",4,10,0.4,2,7,0.286,0,0,NA,0,0,0,3,5,0,2,4,10,8.1,-12,24.5
23,16,"2015-12-09","27-150","HOU","@","WAS",6,1,"37:25",5,12,0.417,4,11,0.364,0,0,NA,0,4,4,4,0,0,5,2,14,5.8,0,24.5
24,17,"2015-12-12","27-153","HOU","","LAL",29,1,"22:11",3,10,0.3,1,6,0.167,0,0,NA,3,2,5,3,0,0,0,3,7,4.8,-3,18.3
25,18,"2015-12-14","27-155","HOU","@","DEN",-6,1,"34:00",6,11,0.545,2,6,0.333,0,0,NA,1,0,1,8,0,0,0,4,14,13.4,16,28.3
26,19,"2015-12-15","27-156","HOU","@","SAC",-10,1,"35:15",5,11,0.455,2,6,0.333,2,3,0.667,0,0,0,1,3,0,1,4,14,9,-1,22
27,20,"2015-12-17","27-158","HOU","@","LAL",20,1,"29:18",5,12,0.417,3,7,0.429,0,0,NA,1,3,4,1,2,0,1,2,13,9.1,30,24.5
28,21,"2015-12-19","27-160","HOU","","LAC",10,1,"30:42",2,7,0.286,2,4,0.5,1,4,0.25,0,5,5,1,1,1,4,4,7,0,-4,17.8
29,22,"2015-12-21","27-162","HOU","","CHO",7,1,"27:21",3,9,0.333,2,4,0.5,3,6,0.5,2,5,7,1,0,0,1,5,11,5.3,20,21.8
30,23,"2015-12-23","27-164","HOU","@","ORL",-3,1,"29:50",2,9,0.222,1,4,0.25,2,2,1,0,1,1,2,0,1,1,2,7,2.1,-6,13.3
31,24,"2015-12-25","27-166","HOU","","SAS",4,1,"22:06",1,8,0.125,1,4,0.25,0,0,NA,1,1,2,3,2,0,1,2,3,1.1,0,14
32,25,"2015-12-26","27-167","HOU","@","NOP",-2,1,"21:12",6,10,0.6,4,7,0.571,0,0,NA,0,0,0,2,0,0,1,2,16,11,-4,20.5
33,26,"2015-12-29","27-170","HOU","","ATL",-6,1,"20:30",4,6,0.667,1,2,0.5,0,0,NA,0,0,0,1,0,0,1,2,9,5.3,-13,10.5
34,27,"2015-12-31","27-172","HOU","","GSW",-4,1,"30:16",5,10,0.5,1,1,1,4,4,1,0,4,4,4,1,0,2,1,15,12.6,13,27.5
35,28,"2016-01-02","27-174","HOU","@","SAS",-18,1,"30:58",3,8,0.375,1,1,1,3,6,0.5,2,3,5,7,1,0,0,3,10,11.4,-10,29.3
