"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-061","TOR","","IND",7,0,"15:43",3,6,0.5,0,0,NA,1,1,1,3,2,5,0,0,1,0,6,7,5,-1,15.3
2,2,"2015-10-30","23-063","TOR","@","BOS",10,0,"15:58",1,2,0.5,0,0,NA,2,2,1,2,4,6,0,0,1,1,5,4,3.3,6,13
3,3,"2015-11-01","23-065","TOR","","MIL",19,0,"19:01",1,7,0.143,0,0,NA,1,2,0.5,4,6,10,0,0,1,0,4,3,1.8,-2,17.5
4,4,"2015-11-03","23-067","TOR","@","DAL",11,0,"13:38",2,4,0.5,0,0,NA,1,2,0.5,2,4,6,0,0,1,2,3,5,2.7,-3,13.5
5,5,"2015-11-04","23-068","TOR","@","OKC",5,0,"19:19",2,4,0.5,0,0,NA,3,6,0.5,3,2,5,0,0,1,2,2,7,4.4,-1,14.3
6,6,"2015-11-06","23-070","TOR","@","ORL",-5,0,"16:02",1,5,0.2,0,0,NA,0,1,0,2,4,6,0,0,0,0,1,2,0.7,-12,9.5
7,7,"2015-11-08","23-072","TOR","@","MIA",-20,0,"14:34",1,2,0.5,0,0,NA,3,3,1,3,4,7,0,2,1,2,2,5,7.2,-14,18.8
8,8,"2015-11-10","23-074","TOR","","NYK",-2,0,"16:12",2,3,0.667,0,0,NA,0,0,NA,2,1,3,2,0,2,0,2,4,6.4,-1,14.8
9,9,"2015-11-11","23-075","TOR","@","PHI",16,0,"21:04",3,8,0.375,0,0,NA,4,4,1,5,5,10,0,0,3,0,5,10,10.7,-6,30
10,10,"2015-11-13","23-077","TOR","","NOP",19,0,"20:14",1,1,1,0,0,NA,4,4,1,1,8,9,0,0,0,1,0,6,7.8,3,16.8
11,11,"2015-11-15","23-079","TOR","@","SAC",-6,0,"26:46",1,2,0.5,0,0,NA,2,2,1,1,5,6,1,0,0,1,4,4,3.3,-2,12.5
12,12,"2015-11-17","23-081","TOR","@","GSW",-5,0,"6:40",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,1,0,1,0,0.9,-4,4.5
13,13,"2015-11-18","23-082","TOR","@","UTA",-4,0,"14:55",1,2,0.5,0,0,NA,1,2,0.5,0,2,2,0,0,0,1,1,3,0.8,3,5
14,14,"2015-11-20","23-084","TOR","@","LAL",11,0,"15:43",0,1,0,0,0,NA,1,2,0.5,2,2,4,0,0,1,0,1,1,2.2,4,8
15,15,"2015-11-22","23-086","TOR","@","LAC",11,1,"30:38",3,5,0.6,0,0,NA,0,0,NA,4,10,14,0,0,0,1,4,6,6.9,-4,23
16,16,"2015-11-25","23-089","TOR","","CLE",4,1,"32:52",4,5,0.8,0,0,NA,3,7,0.429,2,10,12,0,0,0,1,2,11,10.1,6,27
17,17,"2015-11-28","23-092","TOR","@","WAS",2,1,"34:41",0,1,0,0,0,NA,0,0,NA,1,15,16,2,1,4,2,4,0,6.1,5,32
18,18,"2015-11-29","23-093","TOR","","PHO",-5,1,"33:29",1,3,0.333,0,0,NA,0,0,NA,2,6,8,0,0,4,4,3,2,1.1,-1,18
19,19,"2015-12-02","23-096","TOR","@","ATL",10,1,"26:49",3,4,0.75,0,0,NA,1,2,0.5,5,3,8,0,0,2,2,1,7,8.4,-4,20
20,20,"2015-12-03","23-097","TOR","","DEN",-1,1,"25:05",2,4,0.5,0,0,NA,2,2,1,2,5,7,0,0,1,0,4,6,6,-17,16.8
21,21,"2015-12-05","23-099","TOR","","GSW",-3,1,"14:24",0,0,NA,0,0,NA,0,0,NA,1,4,5,0,0,0,1,4,0,-0.7,-14,5.8
22,22,"2015-12-07","23-101","TOR","","LAL",9,1,"29:25",4,8,0.5,0,0,NA,7,11,0.636,5,8,13,0,0,2,0,4,15,15.1,10,36.8
