"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-172","MIN","@","LAL",1,0,"22:36",3,6,0.5,2,4,0.5,0,0,NA,0,5,5,2,0,1,0,5,8,6.6,6,20.3
2,2,"2015-10-30","27-174","MIN","@","DEN",17,0,"25:41",1,2,0.5,1,1,1,0,3,0,0,8,8,1,1,0,2,4,3,1.3,1,16
3,3,"2015-11-02","27-177","MIN","","POR",-5,0,"31:25",2,4,0.5,0,2,0,1,2,0.5,3,6,9,2,2,0,2,4,5,6.3,5,22.3
4,4,"2015-11-05","27-180","MIN","","MIA",-12,0,"23:42",2,7,0.286,1,4,0.25,0,0,NA,1,6,7,3,0,0,1,1,5,4.1,-17,18.3
5,5,"2015-11-07","27-182","MIN","@","CHI",9,0,"40:13",5,9,0.556,2,6,0.333,5,6,0.833,1,10,11,5,1,1,2,2,17,18.4,12,43.8
6,6,"2015-11-09","27-184","MIN","@","ATL",10,0,"29:54",3,5,0.6,3,5,0.6,2,2,1,0,5,5,4,0,0,2,2,11,10.2,-1,23.8
7,7,"2015-11-10","27-185","MIN","","CHO",-9,0,"27:44",4,7,0.571,3,5,0.6,2,2,1,2,5,7,4,0,1,1,4,13,13.5,-21,30.8
8,8,"2015-11-12","27-187","MIN","","GSW",-13,0,"33:20",3,5,0.6,1,2,0.5,1,4,0.25,2,7,9,3,1,0,0,2,8,10.3,8,26.3
9,9,"2015-11-13","27-188","MIN","@","IND",-4,0,"25:02",4,8,0.5,2,5,0.4,0,0,NA,0,2,2,1,1,0,1,4,10,5.7,-2,16.5
10,10,"2015-11-15","27-190","MIN","","MEM",-8,0,"24:06",2,5,0.4,0,2,0,0,0,NA,1,0,1,0,0,0,0,5,4,0,-8,5.3
11,11,"2015-11-17","27-192","MIN","@","MIA",12,0,"15:36",0,7,0,0,5,0,0,0,NA,0,4,4,0,0,2,0,3,0,-3.5,-8,9
12,12,"2015-11-18","27-193","MIN","@","ORL",-3,0,"18:38",1,4,0.25,1,4,0.25,0,0,NA,0,4,4,1,0,0,0,6,3,0.1,10,10
17,13,"2015-11-29","27-204","MIN","@","LAC",-8,0,"21:48",4,4,1,2,2,1,0,0,NA,0,2,2,1,0,0,0,2,10,9.3,-4,15
18,14,"2015-12-01","27-206","MIN","","ORL",-3,0,"24:20",1,5,0.2,1,3,0.333,0,0,NA,3,5,8,2,1,1,0,3,3,5.4,10,20.5
19,15,"2015-12-05","27-210","MIN","","POR",-6,0,"13:25",1,1,1,0,0,NA,0,1,0,1,4,5,0,0,0,1,0,2,2.2,1,7.8
20,16,"2015-12-07","27-212","MIN","","LAC",-4,0,"17:05",3,5,0.6,2,4,0.5,1,1,1,2,2,4,1,0,0,1,3,9,7.2,7,16
21,17,"2015-12-09","27-214","MIN","","LAL",1,0,"20:47",3,5,0.6,0,1,0,0,1,0,3,1,4,2,0,1,1,4,6,5.2,-4,15.5
22,18,"2015-12-11","27-216","MIN","@","DEN",-3,0,"12:37",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,2,0,0,0,5,3,1.4,-10,6.5
