"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-31","26-192","WAS","","NYK",-7,0,"4:21",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,2,2,0,-2.8,3,0.3
5,2,"2015-11-06","26-198","WAS","@","BOS",-20,0,"7:40",0,1,0,0,0,NA,0,0,NA,1,1,2,0,1,0,3,5,0,-3.7,-6,3
7,3,"2015-11-10","26-202","WAS","","OKC",-24,0,"17:26",2,8,0.25,0,0,NA,0,0,NA,4,5,9,0,1,0,1,6,4,1.1,-4,16.8
9,4,"2015-11-17","26-209","WAS","","MIL",29,0,"4:34",0,1,0,0,0,NA,1,2,0.5,0,0,0,3,0,0,0,0,1,2,0,5.5
11,5,"2015-11-24","26-216","WAS","","IND",-17,0,"1:43",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-4,0
13,6,"2015-11-27","26-219","WAS","@","BOS",-33,0,"14:57",0,2,0,0,0,NA,0,0,NA,2,3,5,0,1,0,2,2,0,-0.9,0,7.3
17,7,"2015-12-04","26-226","WAS","","PHO",3,0,"10:22",2,2,1,0,0,NA,0,2,0,4,0,4,2,0,0,0,2,4,6,-2,12
18,8,"2015-12-06","26-228","WAS","","DAL",-12,0,"12:14",3,3,1,0,0,NA,1,3,0.333,0,2,2,0,0,0,0,4,7,4.3,-9,9.5
19,9,"2015-12-07","26-229","WAS","@","MIA",11,0,"1:23",0,2,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,-0.7,-2,1.3
20,10,"2015-12-09","26-231","WAS","","HOU",-6,0,"12:06",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,0,1,3,0,-1.6,11,3.5
21,11,"2015-12-11","26-233","WAS","@","NOP",-2,0,"7:05",2,5,0.4,0,0,NA,1,2,0.5,2,1,3,0,0,0,1,0,5,2.6,3,8.3
22,12,"2015-12-12","26-234","WAS","@","DAL",3,0,"8:08",0,3,0,0,1,0,0,0,NA,0,3,3,0,1,0,0,1,0,-0.6,-2,5.8
23,13,"2015-12-14","26-236","WAS","@","MEM",-17,0,"22:04",3,5,0.6,0,0,NA,0,0,NA,1,3,4,1,1,1,0,5,6,5.7,-2,16.5
24,14,"2015-12-16","26-238","WAS","@","SAS",-19,0,"8:27",1,3,0.333,0,0,NA,2,2,1,1,1,2,0,0,0,2,4,4,-0.3,-11,5.5
26,15,"2015-12-21","26-243","WAS","","SAC",14,0,"0:38",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
27,16,"2015-12-23","26-245","WAS","","MEM",9,0,"8:30",2,4,0.5,0,0,NA,0,0,NA,0,1,1,0,1,0,0,2,4,2.5,1,7.3
28,17,"2015-12-26","26-248","WAS","@","BRK",15,0,"6:25",1,4,0.25,0,0,NA,0,0,NA,0,1,1,0,0,0,0,3,2,-1.3,-14,3.3
29,18,"2015-12-28","26-250","WAS","","LAC",-17,0,"3:56",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,1,1,1,0,-0.1,9,4
36,19,"2016-01-11","26-264","WAS","@","CHI",14,0,"13:02",4,6,0.667,0,0,NA,0,0,NA,0,3,3,1,0,0,0,2,8,6.2,4,13.3
37,20,"2016-01-13","26-266","WAS","","MIL",5,0,"5:22",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,-0.1,-13,2
38,21,"2016-01-15","26-268","WAS","@","IND",14,0,"22:49",6,8,0.75,0,0,NA,0,0,NA,3,3,6,1,2,0,1,4,12,11.9,7,24.5
39,22,"2016-01-16","26-269","WAS","","BOS",-2,0,"0:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
40,23,"2016-01-18","26-271","WAS","","POR",-10,0,"1:37",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,3,1.3
41,24,"2016-01-20","26-273","WAS","","MIA",19,0,"2:58",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,0.3,-1,1.5
42,25,"2016-01-25","26-278","WAS","","BOS",-25,0,"4:51",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,-3,1.3
43,26,"2016-01-26","26-279","WAS","@","TOR",-17,0,"1:57",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,0,2.8
46,27,"2016-02-01","26-285","WAS","@","OKC",-16,0,"6:17",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,0,-0.8,0,1.5
48,28,"2016-02-05","26-289","WAS","","PHI",12,0,"5:39",0,1,0,0,0,NA,0,2,0,0,3,3,0,0,0,0,1,0,-1,-8,3.8
51,29,"2016-02-11","26-295","WAS","@","MIL",-7,0,"1:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,0,0
