"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","35-243","DET","@","ATL",12,0,"15:53",1,6,0.167,1,5,0.2,0,0,NA,0,0,0,4,1,0,3,1,3,-0.4,-14,10
2,2,"2015-10-28","35-244","DET","","UTA",5,0,"16:45",1,3,0.333,0,1,0,0,0,NA,0,4,4,7,0,0,1,0,2,5.4,10,17
3,3,"2015-10-30","35-246","DET","","CHI",4,0,"15:55",0,7,0,0,4,0,0,0,NA,1,2,3,5,0,0,0,0,0,-0.1,-3,11.3
4,4,"2015-11-03","35-250","DET","","IND",-12,0,"6:39",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,1,3,2,0,-3.1,-20,2
5,5,"2015-11-06","35-253","DET","@","PHO",8,0,"17:41",3,6,0.5,2,3,0.667,0,0,NA,0,1,1,2,0,0,1,0,8,5.7,1,12.8
6,6,"2015-11-08","35-255","DET","@","POR",17,0,"13:43",1,4,0.25,1,4,0.25,0,0,NA,1,0,1,3,0,0,0,1,3,3,-5,9.3
7,7,"2015-11-09","35-256","DET","@","GSW",-14,0,"18:20",2,3,0.667,1,1,1,0,0,NA,0,2,2,1,1,0,5,0,5,1,-9,9
8,8,"2015-11-11","35-258","DET","@","SAC",-9,0,"15:19",2,7,0.286,1,5,0.2,0,0,NA,0,2,2,3,1,0,0,0,5,4.6,6,14.5
9,9,"2015-11-14","35-261","DET","@","LAC",-5,0,"13:42",1,2,0.5,0,1,0,0,0,NA,0,0,0,2,2,0,2,2,2,1.6,-2,8
14,10,"2015-11-23","35-270","DET","@","MIL",-21,0,"6:48",1,2,0.5,0,1,0,0,0,NA,0,0,0,2,0,0,0,1,2,2,4,5
15,11,"2015-11-25","35-272","DET","","MIA",23,0,"21:46",1,4,0.25,1,4,0.25,0,0,NA,0,2,2,4,0,0,3,2,3,0.2,-4,10.5
16,12,"2015-11-27","35-274","DET","@","OKC",-16,0,"21:09",2,8,0.25,1,6,0.167,0,0,NA,0,3,3,7,3,0,1,1,5,7.6,4,25.3
17,13,"2015-11-29","35-276","DET","@","BRK",-4,0,"17:41",3,5,0.6,1,2,0.5,0,0,NA,0,1,1,4,0,0,2,1,7,5.4,-1,13.8
18,14,"2015-11-30","35-277","DET","","HOU",11,0,"12:09",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,1,0,0,-1,2,1.5
19,15,"2015-12-02","35-279","DET","","PHO",5,0,"13:04",1,3,0.333,0,1,0,0,0,NA,0,1,1,1,0,0,2,0,2,-0.7,-22,3.8
20,16,"2015-12-04","35-281","DET","","MIL",7,0,"14:55",0,3,0,0,2,0,0,0,NA,0,1,1,3,1,0,1,1,0,-0.1,7,7.3
21,17,"2015-12-06","35-283","DET","","LAL",20,0,"18:25",3,5,0.6,2,2,1,1,1,1,1,3,4,5,1,0,4,0,9,8.8,2,22.5
22,18,"2015-12-07","35-284","DET","@","CHO",-20,0,"20:00",3,6,0.5,3,5,0.6,0,0,NA,1,0,1,7,0,0,1,0,9,10.6,1,21.8
23,19,"2015-12-09","35-286","DET","","MEM",-1,0,"15:44",4,7,0.571,2,4,0.5,1,2,0.5,0,2,2,1,0,0,0,2,11,7.8,0,16
24,20,"2015-12-11","35-288","DET","@","PHI",12,0,"17:28",1,3,0.333,0,2,0,0,0,NA,0,1,1,4,0,0,1,4,2,0.8,-21,8.8
25,21,"2015-12-12","35-289","DET","","IND",22,0,"18:59",4,6,0.667,3,4,0.75,0,0,NA,0,2,2,4,0,0,2,2,11,9,4,20
26,22,"2015-12-14","35-291","DET","","LAC",-2,0,"13:52",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,0,0,0,3,2,5,0.5,6,6.5
27,23,"2015-12-16","35-293","DET","","BOS",3,0,"20:24",0,4,0,0,1,0,0,0,NA,0,2,2,2,0,0,1,2,0,-2.6,19,5
28,24,"2015-12-18","35-295","DET","@","CHI",3,0,"19:22",3,5,0.6,1,2,0.5,1,2,0.5,1,2,3,2,1,0,0,0,8,9,3,17.3
29,25,"2015-12-22","35-299","DET","@","MIA",1,0,"17:10",4,5,0.8,4,5,0.8,0,0,NA,1,1,2,2,0,0,1,1,12,11.1,-2,19
30,26,"2015-12-23","35-300","DET","@","ATL",-7,0,"14:35",1,6,0.167,0,3,0,0,0,NA,0,1,1,3,1,1,0,3,2,1.1,-11,11.8
31,27,"2015-12-26","35-303","DET","","BOS",-6,0,"21:20",1,3,0.333,0,2,0,2,2,1,0,2,2,6,2,0,1,1,4,7.7,3,19
35,28,"2016-01-04","35-312","DET","","ORL",26,0,"3:44",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,1,0,0,-1,-4,1
40,29,"2016-01-16","35-324","DET","","GSW",18,0,"7:03",2,2,1,2,2,1,0,0,NA,0,2,2,1,0,0,1,1,6,5.3,13,10.5
54,30,"2016-02-10","35-349","DET","","DEN",-11,0,"18:41",2,3,0.667,2,3,0.667,0,0,NA,0,0,0,0,0,0,1,3,6,2.5,0,6.5
55,31,"2016-02-19","35-358","DET","@","WAS",-12,0,"16:17",2,4,0.5,1,1,1,0,0,NA,0,1,1,3,0,0,1,1,5,4,2,10.8
56,32,"2016-02-21","35-360","DET","","NOP",-5,0,"16:47",1,3,0.333,1,3,0.333,0,0,NA,0,1,1,5,0,0,1,2,3,3.3,-4,11.8
57,33,"2016-02-22","35-361","DET","@","CLE",8,0,"15:21",0,1,0,0,1,0,0,0,NA,0,1,1,2,0,0,1,2,0,-0.8,-3,3.8
58,34,"2016-02-24","35-363","DET","","PHI",20,0,"21:53",1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,5,0,0,3,4,4,1.4,3,13
59,35,"2016-02-27","36-001","DET","@","MIL",11,0,"16:51",0,4,0,0,3,0,0,0,NA,0,2,2,4,1,0,1,2,0,-0.2,-2,10
60,36,"2016-02-28","36-002","DET","","TOR",13,0,"19:33",2,3,0.667,2,3,0.667,4,4,1,0,0,0,5,0,0,5,2,10,6.4,-7,16
61,37,"2016-03-02","36-005","DET","@","SAS",-16,0,"17:18",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,4,0,0,2,1,3,1.3,0,9.8
62,38,"2016-03-05","36-008","DET","@","NYK",-13,0,"19:41",5,8,0.625,3,5,0.6,0,0,NA,0,4,4,2,0,0,1,1,13,10.6,-4,22
63,39,"2016-03-06","36-009","DET","","POR",20,0,"13:55",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,2,0,0,2,2,5,1.2,-5,8.8
64,40,"2016-03-09","36-012","DET","@","DAL",6,0,"18:44",3,4,0.75,1,1,1,0,0,NA,0,0,0,4,1,0,2,1,7,6.8,10,14.5
65,41,"2016-03-11","36-014","DET","@","CHO",-15,0,"16:39",2,5,0.4,1,4,0.25,0,0,NA,0,3,3,2,0,0,0,1,5,4.2,1,12.3
66,42,"2016-03-12","36-015","DET","@","PHI",14,0,"17:46",2,5,0.4,0,2,0,0,0,NA,0,0,0,2,2,0,2,3,4,1.5,-2,10
67,43,"2016-03-14","36-017","DET","@","WAS",-43,0,"28:08",1,7,0.143,1,3,0.333,0,0,NA,1,0,1,3,0,0,5,3,3,-4.9,-19,6.8
68,44,"2016-03-16","36-019","DET","","ATL",-4,0,"18:29",3,5,0.6,0,2,0,0,0,NA,0,2,2,2,0,0,0,4,6,4.1,-6,11.5
69,45,"2016-03-18","36-021","DET","","SAC",7,0,"14:12",0,1,0,0,1,0,0,0,NA,1,0,1,7,0,0,1,0,0,3.9,-5,11.3
70,46,"2016-03-19","36-022","DET","","BRK",12,0,"23:28",0,4,0,0,2,0,0,0,NA,0,3,3,4,0,0,2,1,0,-1.5,26,8.8
71,47,"2016-03-21","36-024","DET","","MIL",1,0,"19:35",1,3,0.333,0,2,0,1,1,1,0,0,0,4,0,0,0,1,3,3.7,9,9
72,48,"2016-03-23","36-026","DET","","ORL",16,0,"15:39",1,2,0.5,0,1,0,0,0,NA,0,1,1,7,0,0,0,0,2,6.2,0,13.8
73,49,"2016-03-25","36-028","DET","","CHO",7,0,"19:22",0,3,0,0,2,0,0,0,NA,0,1,1,5,1,1,2,0,0,1.4,5,11.8
74,50,"2016-03-26","36-029","DET","","ATL",-17,0,"17:50",1,4,0.25,0,2,0,1,2,0.5,1,2,3,6,1,0,1,1,3,5.3,1,17.3
75,51,"2016-03-29","36-032","DET","","OKC",6,0,"20:24",0,5,0,0,4,0,0,0,NA,0,3,3,2,1,0,0,0,0,-0.2,-9,8.8
76,52,"2016-04-01","36-035","DET","","DAL",-9,0,"15:41",1,4,0.25,1,3,0.333,0,0,NA,0,1,1,6,0,0,0,0,3,5.1,-17,13.8
77,53,"2016-04-02","36-036","DET","@","CHI",4,0,"13:01",1,2,0.5,1,2,0.5,0,0,NA,0,3,3,3,1,0,0,0,3,6,8,13.8
78,54,"2016-04-05","36-039","DET","@","MIA",-18,0,"15:18",2,2,1,2,2,1,2,2,1,0,2,2,3,0,0,0,2,8,9.3,-3,16
79,55,"2016-04-06","36-040","DET","@","ORL",4,0,"16:13",1,3,0.333,1,3,0.333,0,0,NA,0,2,2,6,0,0,1,1,3,4.7,2,14.5
80,56,"2016-04-08","36-042","DET","","WAS",13,0,"13:36",2,8,0.25,2,6,0.333,0,0,NA,0,2,2,2,0,0,1,0,6,2.2,-7,12
81,57,"2016-04-12","36-046","DET","","MIA",-6,1,"32:26",4,7,0.571,0,2,0,2,2,1,0,1,1,7,1,0,3,1,10,9.5,2,22.3
82,58,"2016-04-13","36-047","DET","@","CLE",2,1,"24:00",5,7,0.714,3,4,0.75,0,0,NA,0,2,2,6,1,1,2,1,13,14.2,1,29
