"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-323","PHO","","DAL",-16,1,"31:23",4,12,0.333,0,2,0,5,7,0.714,1,3,4,4,0,0,2,4,13,6.2,-25,23
2,2,"2015-10-30","25-325","PHO","","POR",18,1,"33:14",6,14,0.429,0,2,0,10,11,0.909,0,2,2,3,2,1,3,0,22,16.6,15,33.5
3,3,"2015-10-31","25-326","PHO","@","POR",11,1,"38:23",12,21,0.571,2,6,0.333,7,9,0.778,0,3,3,6,4,2,2,1,33,30.4,11,57.8
4,4,"2015-11-02","25-328","PHO","@","LAC",-6,1,"31:38",6,19,0.316,1,4,0.25,3,4,0.75,0,4,4,7,2,1,3,3,16,9.3,-12,36.5
5,5,"2015-11-04","25-330","PHO","","SAC",21,1,"32:37",8,18,0.444,2,4,0.5,1,3,0.333,0,6,6,8,4,1,4,0,19,16.9,25,47.5
6,6,"2015-11-06","25-332","PHO","","DET",-8,1,"37:04",9,23,0.391,2,6,0.333,2,3,0.667,0,2,2,4,3,0,4,6,22,9.1,0,35.5
7,7,"2015-11-08","25-334","PHO","@","OKC",-21,1,"37:04",10,15,0.667,2,2,1,6,7,0.857,1,1,2,11,0,0,2,4,28,26.2,-13,48.5
8,8,"2015-11-12","25-338","PHO","","LAC",14,1,"34:39",9,13,0.692,2,5,0.4,6,7,0.857,2,8,10,9,2,0,8,4,26,22.6,8,54.5
9,9,"2015-11-14","25-340","PHO","","DEN",24,1,"29:55",11,16,0.688,3,4,0.75,5,5,1,0,7,7,4,2,0,3,0,30,27.1,31,48.8
10,10,"2015-11-16","25-342","PHO","","LAL",19,1,"28:17",8,16,0.5,2,6,0.333,3,4,0.75,1,0,1,3,2,0,5,3,21,11.2,7,29.3
11,11,"2015-11-18","25-344","PHO","","CHI",-6,1,"39:10",7,22,0.318,2,8,0.25,5,7,0.714,0,6,6,7,2,0,2,1,21,13.9,-2,43
12,12,"2015-11-20","25-346","PHO","@","DEN",7,1,"37:27",9,17,0.529,2,4,0.5,2,2,1,0,1,1,3,2,1,4,2,22,14,10,32.8
13,13,"2015-11-22","25-348","PHO","@","NOP",-6,1,"33:49",7,15,0.467,4,8,0.5,11,12,0.917,1,6,7,6,1,0,5,5,29,21.6,-2,48.3
15,14,"2015-11-25","25-351","PHO","","NOP",-6,1,"37:24",5,16,0.313,1,2,0.5,7,7,1,1,1,2,7,0,2,4,3,18,10.9,-13,33.5
16,15,"2015-11-27","25-353","PHO","","GSW",-19,1,"34:07",9,13,0.692,3,5,0.6,0,1,0,0,1,1,7,3,0,4,2,21,18.5,-23,38.3
17,16,"2015-11-29","25-355","PHO","@","TOR",5,1,"38:03",5,17,0.294,1,3,0.333,9,11,0.818,0,5,5,11,0,3,3,3,20,16.4,-4,49.3
18,17,"2015-12-01","25-357","PHO","@","BRK",-3,1,"37:31",5,11,0.455,2,4,0.5,5,9,0.556,1,1,2,7,4,0,4,2,17,14.8,8,37
19,18,"2015-12-02","25-358","PHO","@","DET",-5,1,"40:50",8,20,0.4,2,6,0.333,3,3,1,2,2,4,9,2,0,6,5,21,12.5,-20,41.5
20,19,"2015-12-04","25-360","PHO","@","WAS",-3,1,"35:14",9,18,0.5,1,5,0.2,3,4,0.75,2,2,4,7,2,0,2,2,22,18.7,6,41
21,20,"2015-12-06","25-362","PHO","@","MEM",-2,1,"40:11",8,22,0.364,2,6,0.333,5,7,0.714,1,6,7,6,1,0,4,2,23,12.9,-1,41.8
22,21,"2015-12-07","25-363","PHO","@","CHI",2,1,"32:43",7,17,0.412,0,1,0,2,3,0.667,3,6,9,3,3,0,2,2,16,12.7,-6,36.8
23,22,"2015-12-09","26-000","PHO","","ORL",3,1,"34:45",8,16,0.5,1,4,0.25,4,5,0.8,0,3,3,9,2,1,4,3,21,17.3,12,42.8
24,23,"2015-12-11","26-002","PHO","","POR",-10,1,"35:26",12,26,0.462,4,10,0.4,3,5,0.6,1,3,4,5,2,1,1,0,31,23.6,-8,51
25,24,"2015-12-13","26-004","PHO","","MIN",7,1,"35:56",7,13,0.538,1,3,0.333,8,10,0.8,0,5,5,9,4,4,6,0,23,24.5,4,56.3
26,25,"2015-12-14","26-005","PHO","@","DAL",-10,1,"36:58",7,17,0.412,3,8,0.375,6,7,0.857,0,5,5,7,3,2,2,3,23,21.1,7,50.3
27,26,"2015-12-16","26-007","PHO","@","GSW",-25,1,"31:38",3,12,0.25,0,0,NA,0,0,NA,0,5,5,8,2,0,5,2,6,2.1,-18,25.8
28,27,"2015-12-18","26-009","PHO","","NOP",16,1,"35:19",12,17,0.706,1,3,0.333,4,5,0.8,1,3,4,9,2,0,6,4,29,23.8,18,49
29,28,"2015-12-20","26-011","PHO","","MIL",-6,1,"33:56",6,11,0.545,1,2,0.5,5,5,1,0,1,1,1,3,0,4,2,18,11.9,-24,25.3
30,29,"2015-12-21","26-012","PHO","@","UTA",-21,1,"26:20",2,10,0.2,0,2,0,4,4,1,0,2,2,3,0,0,0,2,8,3.7,-36,15
31,30,"2015-12-23","26-014","PHO","","DEN",-8,1,"39:36",2,11,0.182,1,3,0.333,4,5,0.8,0,5,5,7,4,0,4,3,9,6.9,3,32.3
32,31,"2015-12-26","26-017","PHO","","PHI",-7,1,"8:09",2,4,0.5,0,1,0,0,0,NA,0,2,2,0,0,0,2,2,4,-0.2,-7,5.5
