"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","27-339","UTA","@","PHI",28,0,"17:55",1,5,0.2,0,0,NA,0,0,NA,0,3,3,0,0,0,0,2,2,-1,5,5.8
3,2,"2015-10-31","27-340","UTA","@","IND",21,0,"27:43",2,7,0.286,0,1,0,0,0,NA,1,4,5,0,0,0,0,3,4,0.6,10,10.3
4,3,"2015-11-04","27-344","UTA","","POR",-16,0,"13:00",0,6,0,0,0,NA,0,0,NA,2,1,3,0,2,1,0,1,0,-0.2,10,9.8
5,4,"2015-11-05","27-345","UTA","@","DEN",12,0,"28:28",6,9,0.667,1,1,1,0,0,NA,4,5,9,3,1,1,1,3,13,15,15,32.8
6,5,"2015-11-07","27-347","UTA","","MEM",10,0,"19:25",0,6,0,0,1,0,0,0,NA,3,3,6,2,0,1,1,4,0,-1.7,3,12
7,6,"2015-11-10","27-350","UTA","@","CLE",-4,0,"19:19",1,3,0.333,0,1,0,0,0,NA,2,3,5,1,0,0,2,4,2,-0.3,-6,8.8
8,7,"2015-11-12","27-352","UTA","@","MIA",-1,0,"16:09",0,2,0,0,0,NA,0,0,NA,1,2,3,0,1,1,1,6,0,-1.8,-6,7.3
9,8,"2015-11-13","27-353","UTA","@","ORL",-9,0,"25:58",3,9,0.333,0,2,0,0,0,NA,3,4,7,1,4,1,2,3,6,6.4,-11,25.3
10,9,"2015-11-15","27-355","UTA","@","ATL",1,0,"19:04",2,4,0.5,0,0,NA,0,0,NA,1,6,7,2,1,1,1,1,4,6.2,1,19.3
11,10,"2015-11-18","27-358","UTA","","TOR",4,0,"15:17",2,7,0.286,0,2,0,0,0,NA,2,3,5,0,1,0,0,0,4,3.2,-12,12.3
12,11,"2015-11-20","27-360","UTA","@","DAL",-9,0,"14:37",1,4,0.25,0,0,NA,0,0,NA,4,3,7,0,0,0,1,5,2,0.3,1,10.3
13,12,"2015-11-23","27-363","UTA","","OKC",-22,0,"19:41",1,3,0.333,0,0,NA,2,2,1,2,1,3,1,0,0,1,0,4,3.7,-22,8.8
14,13,"2015-11-25","28-000","UTA","@","LAC",11,0,"18:14",1,6,0.167,0,0,NA,0,0,NA,3,1,4,1,1,0,1,2,2,0.5,2,10
15,14,"2015-11-28","28-003","UTA","","NOP",14,1,"38:04",5,8,0.625,0,0,NA,3,3,1,4,11,15,3,2,3,2,2,13,18.9,21,46.8
16,15,"2015-11-30","28-005","UTA","","GSW",-3,0,"18:49",3,5,0.6,0,0,NA,0,0,NA,2,1,3,0,2,1,0,2,6,7.3,5,15.8
17,16,"2015-12-03","28-008","UTA","","ORL",-9,1,"15:07",1,2,0.5,0,1,0,0,0,NA,0,2,2,0,1,1,1,0,2,2.3,-7,8
18,17,"2015-12-05","28-010","UTA","","IND",3,0,"23:28",2,6,0.333,0,0,NA,6,8,0.75,6,8,14,0,1,1,3,4,10,9.5,6,31.5
19,18,"2015-12-08","28-013","UTA","@","SAC",-8,0,"27:26",4,10,0.4,0,1,0,4,6,0.667,7,3,10,1,1,0,0,2,12,12.5,6,29.5
20,19,"2015-12-09","28-014","UTA","","NYK",21,0,"17:38",3,5,0.6,0,0,NA,1,1,1,1,4,5,1,0,1,0,3,7,6.8,16,16.8
