"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-218","MIA","","CHO",10,1,"32:19",5,13,0.385,2,5,0.4,9,10,0.9,0,10,10,1,1,1,1,1,21,17.5,10,41
2,2,"2015-10-30","31-220","MIA","@","CLE",-10,1,"33:10",7,15,0.467,2,4,0.5,0,0,NA,0,5,5,3,1,0,0,0,16,12.9,3,29.8
3,3,"2015-11-01","31-222","MIA","","HOU",20,1,"24:45",4,11,0.364,2,4,0.5,0,0,NA,1,7,8,0,0,2,0,1,10,7.7,1,25
4,4,"2015-11-03","31-224","MIA","","ATL",-6,1,"39:14",4,14,0.286,1,6,0.167,0,0,NA,2,12,14,2,3,2,0,4,9,10,-5,40
5,5,"2015-11-05","31-226","MIA","@","MIN",12,1,"28:05",5,11,0.455,1,2,0.5,5,6,0.833,0,12,12,2,1,0,1,1,16,14.5,3,37.5
6,6,"2015-11-06","31-227","MIA","@","IND",-3,1,"35:10",7,16,0.438,1,5,0.2,6,7,0.857,2,9,11,2,1,1,0,0,21,19.4,6,43.8
7,7,"2015-11-08","31-229","MIA","","TOR",20,1,"30:14",8,14,0.571,4,7,0.571,3,5,0.6,1,7,8,1,1,0,0,3,23,18.9,15,38.5
8,8,"2015-11-10","31-231","MIA","","LAL",13,1,"32:41",9,16,0.563,2,5,0.4,10,12,0.833,3,8,11,0,0,0,3,2,30,22.3,9,44.8
9,9,"2015-11-12","31-233","MIA","","UTA",1,1,"36:18",9,18,0.5,1,3,0.333,6,9,0.667,2,6,8,4,0,4,3,1,25,20.2,12,48
10,10,"2015-11-17","31-238","MIA","","MIN",-12,1,"31:31",5,12,0.417,0,5,0,0,0,NA,2,5,7,0,0,1,1,2,10,5.4,-36,20.3
11,11,"2015-11-19","31-240","MIA","","SAC",7,1,"34:36",8,12,0.667,2,2,1,5,5,1,0,11,11,4,0,1,1,0,23,23.6,3,46.8
12,12,"2015-11-21","31-242","MIA","","PHI",5,1,"35:19",3,11,0.273,2,5,0.4,5,8,0.625,2,9,11,1,1,3,2,3,13,10,11,37.8
13,13,"2015-11-23","31-244","MIA","","NYK",17,1,"29:03",2,12,0.167,1,5,0.2,11,12,0.917,1,5,6,1,2,0,1,2,16,11.1,4,29
14,14,"2015-11-25","31-246","MIA","@","DET",-23,1,"30:18",3,9,0.333,1,1,1,2,2,1,0,8,8,4,0,0,1,1,9,7.7,-21,25
15,15,"2015-11-27","31-248","MIA","@","NYK",19,1,"31:13",7,15,0.467,1,4,0.25,5,6,0.833,0,5,5,3,0,1,1,1,20,14.8,8,32.8
16,16,"2015-11-30","31-251","MIA","","BOS",-10,1,"39:20",8,17,0.471,2,5,0.4,3,3,1,0,10,10,5,1,1,2,2,21,17.7,4,46.5
17,17,"2015-12-03","31-254","MIA","","OKC",2,1,"34:55",7,17,0.412,1,5,0.2,1,2,0.5,1,7,8,2,2,0,0,1,16,12.3,20,33.5
18,18,"2015-12-05","31-256","MIA","","CLE",15,1,"35:45",5,6,0.833,1,1,1,3,5,0.6,0,6,6,3,0,2,3,1,14,12.9,13,29
19,19,"2015-12-07","31-258","MIA","","WAS",-11,1,"36:21",5,11,0.455,1,3,0.333,7,8,0.875,2,7,9,4,1,2,2,1,18,18.2,7,40.8
20,20,"2015-12-09","31-260","MIA","@","CHO",-18,1,"21:31",3,8,0.375,0,0,NA,1,1,1,0,2,2,2,0,0,0,1,7,4.2,-22,12.5
21,21,"2015-12-11","31-262","MIA","@","IND",-13,1,"36:03",8,19,0.421,1,5,0.2,6,8,0.75,2,8,10,0,1,3,4,2,23,14.2,-3,43.5
22,22,"2015-12-13","31-264","MIA","","MEM",3,1,"34:40",7,10,0.7,2,3,0.667,6,6,1,0,4,4,2,1,0,1,0,22,20.4,18,32.5
23,23,"2015-12-14","31-265","MIA","@","ATL",12,1,"36:11",8,14,0.571,4,6,0.667,4,4,1,2,8,10,3,0,0,2,1,24,20.9,8,43.5
24,24,"2015-12-16","31-267","MIA","@","BRK",6,1,"30:16",1,7,0.143,0,3,0,5,6,0.833,0,7,7,2,0,0,1,0,7,4.6,11,18.3
25,25,"2015-12-18","31-269","MIA","","TOR",-14,1,"28:55",4,8,0.5,1,2,0.5,2,2,1,0,4,4,3,1,0,1,4,11,8.7,-19,22.5
26,26,"2015-12-20","31-271","MIA","","POR",7,1,"30:52",11,19,0.579,3,7,0.429,4,5,0.8,0,6,6,4,2,0,5,2,29,20.5,8,45.5
27,27,"2015-12-22","31-273","MIA","","DET",-1,1,"33:35",9,21,0.429,2,7,0.286,0,0,NA,0,3,3,2,0,0,1,3,20,9,8,27.3
28,28,"2015-12-25","31-276","MIA","","NOP",6,1,"42:24",11,25,0.44,2,8,0.25,6,7,0.857,2,8,10,4,1,0,1,2,30,22.3,13,52.5
29,29,"2015-12-26","31-277","MIA","@","ORL",7,1,"34:46",10,16,0.625,2,3,0.667,2,2,1,0,10,10,3,2,0,1,2,24,22.1,7,47
30,30,"2015-12-28","31-279","MIA","","BRK",-6,1,"34:05",7,8,0.875,5,5,1,5,8,0.625,4,8,12,3,1,0,2,2,24,25.5,1,48.5
31,31,"2015-12-29","31-280","MIA","@","MEM",-9,1,"40:49",9,21,0.429,4,7,0.571,0,1,0,0,5,5,1,0,0,1,3,22,10.5,-2,31.3
32,32,"2016-01-01","31-283","MIA","","DAL",24,1,"33:47",6,16,0.375,3,6,0.5,1,2,0.5,1,6,7,4,0,0,1,1,16,10.7,15,31.8
33,33,"2016-01-03","31-285","MIA","@","WAS",22,1,"28:12",8,15,0.533,2,5,0.4,5,5,1,1,6,7,2,1,1,1,0,23,20.3,19,39.3
34,34,"2016-01-04","31-286","MIA","","IND",3,1,"41:56",8,20,0.4,2,6,0.333,13,16,0.813,2,9,11,1,1,1,0,5,31,23.5,2,52.8
35,35,"2016-01-06","31-288","MIA","","NYK",-8,1,"34:07",12,22,0.545,1,4,0.25,3,4,0.75,0,5,5,2,0,1,1,1,28,19.2,0,39.3
36,36,"2016-01-08","31-290","MIA","@","PHO",8,1,"35:31",5,11,0.455,2,4,0.5,2,3,0.667,0,3,3,3,2,0,0,2,14,12.1,10,27.3
37,37,"2016-01-09","31-291","MIA","@","UTA",-15,1,"35:08",11,16,0.688,2,6,0.333,0,1,0,2,5,7,2,1,0,1,2,24,20.3,-15,38.3
38,38,"2016-01-11","31-293","MIA","@","GSW",-8,1,"36:18",6,15,0.4,0,5,0,3,4,0.75,2,10,12,4,0,2,4,1,15,10.7,0,39.5
39,39,"2016-01-13","31-295","MIA","@","LAC",-14,1,"32:52",3,11,0.273,0,4,0,5,7,0.714,0,12,12,7,0,0,1,1,11,10.8,-24,37.5
40,40,"2016-01-15","31-297","MIA","@","DEN",3,1,"31:39",9,13,0.692,1,2,0.5,5,6,0.833,0,3,3,3,0,1,3,4,24,17.2,-4,33.3
41,41,"2016-01-17","31-299","MIA","@","OKC",-25,1,"32:30",5,16,0.313,0,2,0,2,3,0.667,0,4,4,2,2,2,1,2,12,6.6,-16,27.5
42,42,"2016-01-19","31-301","MIA","","MIL",-12,1,"34:15",7,15,0.467,2,2,1,7,7,1,2,3,5,2,1,0,3,3,23,15.8,-8,33.8
43,43,"2016-01-20","31-302","MIA","@","WAS",-19,1,"28:16",6,10,0.6,1,4,0.25,5,6,0.833,1,3,4,2,1,0,2,5,18,13,-7,27.5
44,44,"2016-01-22","31-304","MIA","@","TOR",-20,1,"38:41",9,19,0.474,1,5,0.2,7,9,0.778,2,5,7,1,0,0,1,0,26,18.1,-20,36.3
45,45,"2016-01-25","31-307","MIA","@","CHI",5,1,"35:51",8,16,0.5,1,4,0.25,1,4,0.25,1,6,7,3,1,0,0,3,18,13.2,-5,33.8
46,46,"2016-01-26","31-308","MIA","@","BRK",4,1,"32:07",12,18,0.667,1,4,0.25,2,3,0.667,0,5,5,4,0,0,4,3,27,17.9,4,37.8
47,47,"2016-01-29","31-311","MIA","@","MIL",4,1,"34:32",5,11,0.455,2,5,0.4,8,9,0.889,1,5,6,5,1,1,2,2,20,18.5,2,39
48,48,"2016-01-31","31-313","MIA","","ATL",18,1,"33:24",6,14,0.429,2,4,0.5,4,4,1,0,7,7,2,0,0,1,4,18,11.5,16,30.3
49,49,"2016-02-02","31-315","MIA","@","HOU",-13,1,"30:27",3,11,0.273,1,2,0.5,6,8,0.75,1,6,7,1,0,1,0,2,13,8.8,-9,25.8
50,50,"2016-02-03","31-316","MIA","@","DAL",3,1,"31:58",10,23,0.435,0,6,0,0,1,0,1,3,4,1,0,0,1,3,20,7.6,-10,26
51,51,"2016-02-05","31-318","MIA","@","CHO",3,1,"35:13",9,20,0.45,0,2,0,2,3,0.667,1,5,6,2,0,0,0,1,20,12.4,11,30.5
52,52,"2016-02-07","31-320","MIA","","LAC",-7,1,"31:59",5,17,0.294,3,5,0.6,4,7,0.571,1,4,5,2,0,0,2,4,17,5.6,-10,26.8
53,53,"2016-02-09","31-322","MIA","","SAS",-18,1,"34:48",6,12,0.5,0,2,0,6,6,1,0,5,5,2,1,0,7,3,18,7.7,-15,25.8
