"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-336","BOS","","PHI",17,1,"32:36",2,6,0.333,0,1,0,0,0,NA,0,1,1,2,2,0,2,2,4,1.5,0,11.3
2,2,"2015-10-30","24-338","BOS","","TOR",-10,1,"29:39",4,11,0.364,3,7,0.429,2,2,1,0,5,5,3,1,1,2,3,13,9,-11,28.3
3,3,"2015-11-01","24-340","BOS","","SAS",-8,1,"30:28",7,18,0.389,1,4,0.25,3,4,0.75,2,2,4,3,0,0,1,2,18,10.1,3,27.5
4,4,"2015-11-04","24-343","BOS","@","IND",-2,1,"35:26",8,16,0.5,3,8,0.375,2,2,1,2,3,5,3,1,0,2,3,21,15.2,-8,34.3
5,5,"2015-11-06","24-345","BOS","","WAS",20,1,"25:33",2,6,0.333,2,5,0.4,0,0,NA,0,0,0,2,2,0,2,1,6,3.6,6,13
6,6,"2015-11-10","24-349","BOS","@","MIL",16,1,"18:05",1,6,0.167,0,2,0,0,0,NA,0,3,3,1,0,0,0,1,2,-0.6,2,7.3
9,7,"2015-11-15","24-354","BOS","@","OKC",15,0,"26:05",6,12,0.5,1,2,0.5,1,3,0.333,0,2,2,4,1,0,0,2,14,10.8,19,25
10,8,"2015-11-16","24-355","BOS","@","HOU",16,0,"20:04",8,14,0.571,4,7,0.571,1,2,0.5,0,1,1,2,1,0,2,1,21,14.3,18,28.3
11,9,"2015-11-18","24-357","BOS","","DAL",-4,0,"31:23",7,17,0.412,3,7,0.429,1,2,0.5,2,4,6,3,4,0,2,6,18,12.8,4,38.5
12,10,"2015-11-20","24-359","BOS","","BRK",25,0,"25:14",10,13,0.769,1,1,1,0,0,NA,0,3,3,0,2,0,0,0,21,18.8,18,29.3
13,11,"2015-11-22","24-361","BOS","@","BRK",-10,1,"39:48",9,20,0.45,7,14,0.5,2,2,1,1,3,4,1,2,1,2,3,27,18.4,-2,42
14,12,"2015-11-24","24-363","BOS","@","ATL",-24,1,"29:59",10,17,0.588,4,8,0.5,1,2,0.5,0,1,1,2,3,1,2,2,25,19.3,-19,38.3
15,13,"2015-11-25","24-364","BOS","","PHI",4,1,"36:58",4,15,0.267,2,7,0.286,0,0,NA,0,1,1,1,2,0,1,2,10,2.3,17,17.3
16,14,"2015-11-27","25-001","BOS","","WAS",33,1,"31:07",6,12,0.5,2,5,0.4,2,2,1,1,1,2,3,3,0,2,3,16,12.9,21,29
17,15,"2015-11-29","25-003","BOS","@","ORL",-19,1,"31:42",7,15,0.467,2,7,0.286,1,2,0.5,0,0,0,1,0,1,3,2,17,6.5,-20,20
18,16,"2015-11-30","25-004","BOS","@","MIA",10,1,"39:15",9,15,0.6,3,6,0.5,4,4,1,0,2,2,3,3,1,2,1,25,22.1,18,40.5
19,17,"2015-12-03","25-007","BOS","@","SAC",17,1,"29:26",7,15,0.467,4,7,0.571,2,2,1,0,3,3,1,3,0,3,5,20,11.9,7,31.8
20,18,"2015-12-05","25-009","BOS","@","SAS",-3,1,"36:32",7,14,0.5,4,6,0.667,0,0,NA,1,1,2,1,2,0,2,1,18,12.3,4,27
21,19,"2015-12-07","25-011","BOS","@","NOP",18,1,"28:38",3,8,0.375,3,5,0.6,2,2,1,0,3,3,4,1,0,1,2,11,9.5,18,23.8
22,20,"2015-12-09","25-013","BOS","","CHI",5,1,"38:49",5,15,0.333,0,6,0,0,0,NA,1,1,2,3,1,0,3,2,10,1.8,-1,17.5
23,21,"2015-12-11","25-015","BOS","","GSW",-5,1,"34:26",8,19,0.421,3,9,0.333,0,0,NA,0,0,0,1,1,0,0,6,19,8.2,2,24
24,22,"2015-12-12","25-016","BOS","@","CHO",5,1,"34:53",9,17,0.529,4,6,0.667,1,1,1,0,3,3,3,0,0,0,2,23,16.9,13,33.3
25,23,"2015-12-15","25-019","BOS","","CLE",-12,1,"33:59",5,12,0.417,3,10,0.3,4,4,1,0,3,3,2,3,2,2,1,17,14.9,-13,34.3
26,24,"2015-12-16","25-020","BOS","@","DET",-3,1,"37:50",2,8,0.25,1,4,0.25,0,0,NA,0,2,2,1,1,0,1,3,5,0.3,-4,11
27,25,"2015-12-18","25-022","BOS","","ATL",-8,1,"35:28",2,8,0.25,0,3,0,0,1,0,1,0,1,1,1,0,2,2,4,-1.6,-11,7.8
28,26,"2015-12-21","25-025","BOS","","MIN",14,1,"30:24",5,14,0.357,2,6,0.333,1,1,1,1,2,3,1,1,1,2,0,13,6.9,20,22.3
29,27,"2015-12-23","25-027","BOS","@","CHO",13,1,"35:38",7,14,0.5,2,5,0.4,2,2,1,0,2,2,0,1,0,1,1,18,11.2,14,23
30,28,"2015-12-26","25-030","BOS","@","DET",6,1,"31:27",6,14,0.429,3,10,0.3,3,3,1,1,3,4,1,3,0,0,2,18,15.1,13,32
31,29,"2015-12-27","25-031","BOS","","NYK",9,1,"31:12",3,7,0.429,0,1,0,0,0,NA,0,1,1,2,1,1,0,1,6,5.3,2,14.3
32,30,"2015-12-30","25-034","BOS","","LAL",-8,1,"35:22",6,16,0.375,1,7,0.143,0,0,NA,2,2,4,1,2,0,1,0,13,7.9,-10,23.5
33,31,"2016-01-02","25-037","BOS","","BRK",-3,1,"10:31",1,4,0.25,0,2,0,0,0,NA,1,1,2,0,0,0,1,1,2,-0.8,-5,4
37,32,"2016-01-10","25-045","BOS","@","MEM",-3,1,"37:57",5,12,0.417,0,3,0,4,6,0.667,1,1,2,0,2,0,2,4,14,6.2,-15,19.5
38,33,"2016-01-12","25-047","BOS","@","NYK",-6,1,"38:21",5,12,0.417,0,3,0,0,0,NA,1,1,2,1,0,1,3,3,10,1.8,-7,14.5
39,34,"2016-01-13","25-048","BOS","","IND",9,1,"41:16",5,17,0.294,0,4,0,1,2,0.5,3,0,3,6,2,0,3,1,11,5.6,19,26.3
40,35,"2016-01-15","25-050","BOS","","PHO",14,1,"38:18",7,21,0.333,1,4,0.25,2,4,0.5,3,4,7,3,2,0,1,2,17,9.9,17,34.3
41,36,"2016-01-16","25-051","BOS","@","WAS",2,1,"34:33",4,13,0.308,1,6,0.167,0,0,NA,2,0,2,4,2,0,1,2,9,5.9,0,21.5
42,37,"2016-01-18","25-053","BOS","@","DAL",-5,1,"42:33",6,16,0.375,4,8,0.5,3,4,0.75,0,8,8,5,1,0,0,3,19,15.5,-5,40.5
43,38,"2016-01-20","25-055","BOS","@","TOR",-6,1,"35:45",9,14,0.643,1,4,0.25,0,0,NA,0,2,2,1,1,0,3,1,19,11.7,-6,24
44,39,"2016-01-22","25-057","BOS","","CHI",9,1,"36:03",8,14,0.571,2,4,0.5,3,4,0.75,0,1,1,4,4,0,1,0,21,20.1,22,36.8
45,40,"2016-01-24","25-059","BOS","@","PHI",20,1,"29:35",7,13,0.538,3,4,0.75,2,2,1,0,2,2,4,1,0,3,2,19,13.3,12,29.5
46,41,"2016-01-25","25-060","BOS","@","WAS",25,1,"26:28",5,11,0.455,1,4,0.25,0,0,NA,0,2,2,3,2,0,1,4,11,7.4,0,22
47,42,"2016-01-27","25-062","BOS","","DEN",8,1,"39:05",11,20,0.55,5,13,0.385,0,0,NA,0,3,3,1,4,1,1,4,27,21.1,-4,44.3
48,43,"2016-01-29","25-064","BOS","","ORL",19,1,"33:04",3,9,0.333,0,4,0,0,0,NA,0,2,2,1,1,0,0,3,6,2,19,12
49,44,"2016-01-31","25-066","BOS","@","ORL",-5,1,"38:32",8,21,0.381,3,12,0.25,3,3,1,1,3,4,2,3,0,2,0,22,14.5,-2,36.5
50,45,"2016-02-02","25-068","BOS","@","NYK",8,1,"29:56",3,13,0.231,0,3,0,0,0,NA,1,2,3,4,0,1,1,4,6,0.3,4,17.3
51,46,"2016-02-03","25-069","BOS","","DET",7,1,"35:39",7,15,0.467,1,2,0.5,0,0,NA,1,3,4,3,0,0,1,1,15,9.6,-8,24.5
52,47,"2016-02-05","25-071","BOS","@","CLE",1,1,"35:41",5,12,0.417,4,8,0.5,0,0,NA,0,3,3,1,0,1,2,3,14,6.7,-5,22.3
53,48,"2016-02-07","25-073","BOS","","SAC",9,1,"34:08",9,16,0.563,6,7,0.857,1,2,0.5,1,2,3,3,0,0,1,0,25,19.4,16,35.8
54,49,"2016-02-09","25-075","BOS","@","MIL",-1,1,"38:10",7,12,0.583,4,9,0.444,0,0,NA,0,4,4,4,2,0,3,2,18,14.6,22,33.5
55,50,"2016-02-10","25-076","BOS","","LAC",5,1,"43:31",7,14,0.5,3,6,0.5,1,1,1,0,1,1,0,1,0,2,4,18,8.7,7,21.8
56,51,"2016-02-19","25-085","BOS","@","UTA",-18,1,"33:49",5,12,0.417,2,6,0.333,0,0,NA,1,3,4,2,1,0,2,2,12,6.8,-17,22
57,52,"2016-02-21","25-087","BOS","@","DEN",20,1,"32:10",8,15,0.533,3,8,0.375,1,1,1,0,2,2,1,0,0,2,2,20,11.2,8,24.5
58,53,"2016-02-22","25-088","BOS","@","MIN",-2,1,"33:12",9,17,0.529,4,9,0.444,0,0,NA,1,1,2,2,3,0,1,4,22,16.5,-4,35
59,54,"2016-02-25","25-091","BOS","","MIL",5,1,"39:51",7,12,0.583,1,4,0.25,3,3,1,1,2,3,2,2,0,4,0,18,13.1,-1,27.3
60,55,"2016-02-27","25-093","BOS","","MIA",12,1,"35:51",3,8,0.375,1,3,0.333,2,2,1,0,1,1,2,1,0,2,3,9,4.1,14,14.8
61,56,"2016-02-29","25-095","BOS","","UTA",5,1,"37:24",7,13,0.538,1,3,0.333,3,4,0.75,1,1,2,0,1,1,0,0,18,14,4,25
62,57,"2016-03-02","25-097","BOS","","POR",23,1,"30:01",7,14,0.5,1,4,0.25,2,2,1,0,1,1,1,3,0,0,3,17,12.8,23,26.3
