"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
26,1,"2016-03-04","36-359","PHI","","MIA",-10,0,"13:18",3,6,0.5,0,0,NA,2,2,1,0,4,4,0,0,0,0,2,8,5.4,-6,13
27,2,"2016-03-06","36-361","PHI","@","MIA",-5,0,"6:01",0,1,0,0,0,NA,0,0,NA,0,2,2,2,0,0,1,1,0,-0.1,4,5
29,3,"2016-03-11","37-000","PHI","","BRK",6,0,"6:52",0,1,0,0,0,NA,0,0,NA,0,2,2,0,1,1,1,2,0,-0.2,3,6
30,4,"2016-03-12","37-001","PHI","","DET",-14,0,"14:50",5,9,0.556,0,0,NA,0,0,NA,0,3,3,3,3,1,1,1,10,11,-1,25.8
31,5,"2016-03-15","37-004","PHI","@","BRK",-17,0,"12:33",2,6,0.333,0,0,NA,0,0,NA,0,0,0,3,0,0,0,2,4,1.9,-7,8.5
33,6,"2016-03-18","37-007","PHI","","OKC",-14,0,"8:05",1,3,0.333,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,2,3,0.4,-2,4.3
34,7,"2016-03-20","37-009","PHI","","BOS",-15,0,"15:28",2,5,0.4,0,0,NA,1,1,1,1,2,3,1,1,2,0,3,5,5.5,5,16.3
35,8,"2016-03-21","37-010","PHI","@","IND",-16,0,"12:33",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,-0.1,-18,2
36,9,"2016-03-23","37-012","PHI","@","DEN",-1,0,"3:05",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,0,-1.5,-9,2
37,10,"2016-03-26","37-015","PHI","@","POR",-3,0,"7:51",1,1,1,0,0,NA,0,0,NA,0,2,2,0,1,0,0,3,2,2.1,2,6.5
38,11,"2016-03-27","37-016","PHI","@","GSW",-12,0,"16:42",5,6,0.833,0,0,NA,0,0,NA,0,3,3,2,0,2,1,3,10,9.3,-1,20.3
39,12,"2016-03-29","37-018","PHI","","CHO",-15,0,"19:00",3,10,0.3,0,0,NA,1,1,1,3,6,9,0,1,0,0,2,7,5.3,5,20.3
40,13,"2016-04-01","37-021","PHI","@","CHO",-9,0,"24:25",5,9,0.556,0,1,0,3,3,1,1,10,11,1,1,1,2,2,13,12,7,32.8
41,14,"2016-04-02","37-022","PHI","","IND",-13,0,"22:53",1,4,0.25,0,0,NA,0,0,NA,1,9,10,4,0,0,2,3,2,2.6,10,19.5
42,15,"2016-04-05","37-025","PHI","","NOP",14,1,"11:06",1,3,0.333,0,0,NA,0,0,NA,0,4,4,0,0,0,1,1,2,0.1,-6,6.5
43,16,"2016-04-08","37-028","PHI","","NYK",-7,0,"13:01",1,4,0.25,0,0,NA,0,0,NA,3,2,5,1,1,1,1,2,2,2.9,-20,13.3
44,17,"2016-04-10","37-030","PHI","","MIL",-1,0,"16:58",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,0,0.9,-4,4
