"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-237","HOU","","DEN",-20,0,"29:25",2,12,0.167,1,3,0.333,0,2,0,0,7,7,0,2,1,1,3,5,-0.8,-12,19.8
2,2,"2015-10-30","29-239","HOU","","GSW",-20,0,"29:01",2,6,0.333,1,2,0.5,6,8,0.75,1,4,5,2,0,1,2,1,11,8.4,-11,21.8
3,3,"2015-11-01","29-241","HOU","@","MIA",-20,0,"21:16",5,13,0.385,0,3,0,0,0,NA,0,1,1,3,2,0,0,3,10,6.1,-10,19.8
4,4,"2015-11-02","29-242","HOU","","OKC",5,0,"22:25",5,11,0.455,0,2,0,2,2,1,0,2,2,3,3,0,1,3,12,9.8,-2,24.5
5,5,"2015-11-04","29-244","HOU","","ORL",5,0,"35:22",1,7,0.143,0,2,0,0,2,0,2,2,4,5,1,0,0,3,2,2,9,16.5
6,6,"2015-11-06","29-246","HOU","@","SAC",6,0,"16:37",1,1,1,0,0,NA,2,2,1,1,0,1,1,1,0,1,3,4,3.9,-31,8.3
7,7,"2015-11-07","29-247","HOU","@","LAC",4,0,"17:28",2,8,0.25,0,2,0,0,0,NA,0,0,0,0,0,0,1,2,4,-2.6,4,3.5
8,8,"2015-11-11","29-251","HOU","","BRK",-8,0,"15:22",2,6,0.333,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,4,0.9,-15,5.3
9,9,"2015-11-13","29-253","HOU","@","DEN",-9,0,"13:32",0,2,0,0,0,NA,0,0,NA,0,3,3,1,0,0,1,4,0,-2.4,-8,4.8
10,10,"2015-11-14","29-254","HOU","","DAL",-12,0,"23:12",2,7,0.286,0,1,0,2,2,1,1,1,2,1,0,0,0,2,6,2.8,-15,10
11,11,"2015-11-16","29-256","HOU","","BOS",-16,0,"24:22",4,14,0.286,1,7,0.143,2,3,0.667,0,3,3,2,3,0,2,2,11,4.9,-2,23.3
12,12,"2015-11-18","29-258","HOU","","POR",5,0,"26:34",5,12,0.417,3,6,0.5,3,4,0.75,0,4,4,0,0,0,1,1,16,9,13,22
13,13,"2015-11-20","29-260","HOU","@","MEM",-12,0,"13:42",0,3,0,0,2,0,0,0,NA,0,0,0,0,1,1,1,2,0,-2.2,-23,3.5
14,14,"2015-11-21","29-261","HOU","","NYK",-5,0,"20:07",2,7,0.286,2,6,0.333,2,2,1,2,0,2,1,0,0,0,2,8,5.2,1,13
15,15,"2015-11-25","29-265","HOU","","MEM",-9,0,"26:53",1,8,0.125,1,6,0.167,2,2,1,1,4,5,2,2,0,1,3,5,2.9,5,18.3
16,16,"2015-11-27","29-267","HOU","","PHI",2,0,"22:08",1,1,1,1,1,1,4,5,0.8,0,1,1,0,1,0,2,6,7,3.2,-9,9.8
17,17,"2015-11-29","29-269","HOU","@","NYK",5,0,"6:43",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,2,0,2,-0.3,1,1
18,18,"2015-11-30","29-270","HOU","@","DET",-11,0,"15:53",3,6,0.5,0,1,0,3,3,1,1,2,3,0,0,0,0,0,9,7.3,-8,12.8
19,19,"2015-12-02","29-272","HOU","","NOP",7,0,"25:32",3,12,0.25,1,5,0.2,7,8,0.875,0,1,1,2,3,0,0,2,14,10.3,4,24.8
20,20,"2015-12-04","29-274","HOU","@","DAL",4,0,"26:03",3,8,0.375,1,5,0.2,0,0,NA,0,2,2,3,1,0,1,3,7,4.1,-2,16
21,21,"2015-12-05","29-275","HOU","","SAC",7,0,"13:11",2,6,0.333,1,4,0.25,1,2,0.5,1,2,3,2,0,0,2,3,6,1.7,3,12.3
22,22,"2015-12-08","29-278","HOU","@","BRK",-5,0,"34:08",9,16,0.563,4,8,0.5,0,0,NA,3,0,3,2,3,0,4,3,22,15.7,-9,34.8
23,23,"2015-12-09","29-279","HOU","@","WAS",6,1,"27:51",6,12,0.5,1,4,0.25,2,2,1,0,7,7,3,1,0,1,4,15,11.6,19,30.3
24,24,"2015-12-12","29-282","HOU","","LAL",29,0,"17:07",2,2,1,2,2,1,1,2,0.5,0,2,2,4,4,1,0,3,7,12.9,21,26.5
25,25,"2015-12-14","29-284","HOU","@","DEN",-6,0,"16:00",1,4,0.25,1,3,0.333,2,2,1,0,1,1,1,2,0,1,1,5,4.2,-10,11.8
26,26,"2015-12-15","29-285","HOU","@","SAC",-10,0,"23:53",3,7,0.429,2,4,0.5,2,2,1,0,2,2,3,2,0,3,1,10,7.6,-8,20.5
27,27,"2015-12-17","29-287","HOU","@","LAL",20,0,"16:01",2,8,0.25,2,5,0.4,0,0,NA,0,2,2,1,0,0,1,1,6,1.1,-8,10.5
28,28,"2015-12-19","29-289","HOU","","LAC",10,0,"16:06",0,4,0,0,3,0,0,0,NA,0,2,2,2,1,1,0,2,0,0.1,7,9.5
29,29,"2015-12-21","29-291","HOU","","CHO",7,0,"19:09",0,3,0,0,2,0,0,0,NA,0,3,3,3,1,0,1,3,0,-0.3,5,9.8
30,30,"2015-12-23","29-293","HOU","@","ORL",-3,0,"11:53",2,5,0.4,0,2,0,0,0,NA,1,3,4,0,1,0,0,1,4,3.5,0,11
31,31,"2015-12-25","29-295","HOU","","SAS",4,0,"19:52",2,6,0.333,0,0,NA,0,0,NA,0,5,5,3,0,0,4,3,4,-1,9,12.8
32,32,"2015-12-26","29-296","HOU","@","NOP",-2,0,"8:19",1,3,0.333,0,1,0,2,2,1,1,0,1,0,0,0,1,0,4,2,1,4.8
33,33,"2015-12-29","29-299","HOU","","ATL",-6,0,"17:29",0,2,0,0,1,0,0,0,NA,1,0,1,1,0,0,2,4,0,-3.6,8,1.8
34,34,"2015-12-31","29-301","HOU","","GSW",-4,0,"14:34",2,3,0.667,1,1,1,4,4,1,0,0,0,1,4,0,1,0,9,11.4,-8,18.5
35,35,"2016-01-02","29-303","HOU","@","SAS",-18,0,"19:01",4,10,0.4,1,3,0.333,2,3,0.667,1,1,2,2,0,0,2,4,11,4,-7,16
36,36,"2016-01-04","29-305","HOU","@","UTA",2,0,"20:10",3,4,0.75,1,2,0.5,2,2,1,0,0,0,0,0,0,1,0,9,6.4,8,9
37,37,"2016-01-07","29-308","HOU","","UTA",9,0,"18:22",2,2,1,1,1,1,0,0,NA,0,3,3,2,0,0,0,1,5,6.3,5,12.3
38,38,"2016-01-10","29-311","HOU","","IND",4,0,"18:27",4,7,0.571,2,4,0.5,2,2,1,0,1,1,1,0,0,2,2,12,6.9,13,14.8
39,39,"2016-01-12","29-313","HOU","@","MEM",16,0,"18:17",2,5,0.4,2,2,1,0,0,NA,1,2,3,0,0,0,1,2,6,2.8,13,10.3
