"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","37-066","LAL","","MIN",-1,1,"28:56",8,24,0.333,3,13,0.231,5,5,1,0,4,4,1,2,0,0,1,24,13.9,-6,36
2,2,"2015-10-30","37-068","LAL","@","SAC",-18,1,"22:12",5,12,0.417,1,8,0.125,2,3,0.667,2,2,4,3,0,0,3,2,13,6.5,-18,21.5
3,3,"2015-11-01","37-070","LAL","","DAL",-10,1,"31:21",3,15,0.2,2,8,0.25,7,7,1,2,3,5,1,0,0,1,5,15,5.7,-2,23.3
4,4,"2015-11-03","37-072","LAL","","DEN",-11,1,"29:10",4,11,0.364,1,5,0.2,2,3,0.667,1,1,2,5,2,0,1,5,11,8,-4,25
5,5,"2015-11-06","37-075","LAL","@","BRK",6,1,"31:02",5,16,0.313,1,4,0.25,7,8,0.875,0,3,3,3,0,0,3,3,18,7.2,-6,25.3
6,6,"2015-11-08","37-077","LAL","@","NYK",-4,1,"32:05",6,19,0.316,2,10,0.2,4,7,0.571,0,2,2,3,1,0,1,2,18,7.8,-1,27.5
9,7,"2015-11-13","37-082","LAL","@","DAL",-8,1,"32:25",7,15,0.467,3,8,0.375,2,2,1,0,5,5,3,0,0,6,2,19,8.1,5,28.3
10,8,"2015-11-15","37-084","LAL","","DET",12,1,"35:43",6,19,0.316,1,4,0.25,4,4,1,0,8,8,9,2,0,4,3,17,11.6,14,43
12,9,"2015-11-20","37-089","LAL","","TOR",-11,1,"37:04",5,13,0.385,0,5,0,0,0,NA,0,4,4,5,2,0,3,2,10,5.8,-1,25
13,10,"2015-11-22","37-091","LAL","","POR",-14,1,"31:23",6,22,0.273,0,5,0,6,7,0.857,1,3,4,4,1,1,0,1,18,10.3,-6,33
14,11,"2015-11-24","37-093","LAL","@","GSW",-34,1,"24:41",1,14,0.071,1,7,0.143,1,2,0.5,0,6,6,2,2,0,3,0,4,-3.6,-20,17.5
15,12,"2015-11-28","37-097","LAL","@","POR",-12,1,"34:08",7,20,0.35,1,5,0.2,6,7,0.857,0,2,2,2,0,0,1,1,21,10,-12,26.5
16,13,"2015-11-29","37-098","LAL","","IND",-4,1,"33:29",4,20,0.2,2,7,0.286,3,4,0.75,1,3,4,3,1,0,1,1,13,3.5,-6,25
17,14,"2015-12-01","37-100","LAL","@","PHI",-12,1,"31:42",7,26,0.269,4,17,0.235,2,4,0.5,1,4,5,2,1,0,3,3,20,3.9,-21,31.8
18,15,"2015-12-02","37-101","LAL","@","WAS",4,1,"35:34",10,24,0.417,4,11,0.364,7,8,0.875,0,2,2,3,1,0,2,1,31,19.1,-5,41
19,16,"2015-12-04","37-103","LAL","@","ATL",-13,1,"35:20",4,19,0.211,2,10,0.2,4,5,0.8,0,3,3,5,2,2,2,2,14,6.9,-15,33.3
20,17,"2015-12-06","37-105","LAL","@","DET",-20,1,"25:35",2,15,0.133,1,6,0.167,0,0,NA,0,3,3,1,1,0,3,2,5,-5.9,-22,11.3
21,18,"2015-12-07","37-106","LAL","@","TOR",-9,1,"31:49",8,16,0.5,1,4,0.25,4,5,0.8,0,8,8,4,2,0,4,3,21,14.6,-11,39.5
22,19,"2015-12-09","37-108","LAL","@","MIN",-1,1,"24:30",5,13,0.385,1,2,0.5,0,0,NA,0,1,1,1,1,0,2,2,11,3.1,-12,15.3
23,20,"2015-12-11","37-110","LAL","@","SAS",-22,1,"28:59",5,12,0.417,1,5,0.2,1,2,0.5,1,5,6,4,0,0,2,1,12,7.8,-18,25
