"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-28","24-226","DET","","UTA",5,0,"6:12",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
3,2,"2015-10-30","24-228","DET","","CHI",4,0,"14:40",0,1,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,1,0,-0.1,-6,2.5
4,3,"2015-11-03","24-232","DET","","IND",-12,0,"3:41",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-16,0
7,4,"2015-11-09","24-238","DET","@","GSW",-14,0,"0:40",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,-2,-0.5
10,5,"2015-11-15","24-244","DET","@","LAL",-12,0,"14:58",1,4,0.25,1,1,1,0,0,NA,1,1,2,0,1,0,0,0,3,2.6,-12,8
11,6,"2015-11-17","24-246","DET","","CLE",5,0,"5:29",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,-8,1.5
12,7,"2015-11-20","24-249","DET","@","MIN",10,0,"6:17",0,3,0,0,2,0,0,0,NA,0,0,0,0,0,0,1,1,0,-3.5,-9,-0.5
13,8,"2015-11-21","24-250","DET","","WAS",-2,0,"5:45",0,3,0,0,2,0,1,1,1,1,0,1,0,0,0,0,1,1,-0.8,-8,2.3
14,9,"2015-11-23","24-252","DET","@","MIL",-21,0,"6:04",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,2,1.3
15,10,"2015-11-25","24-254","DET","","MIA",23,0,"2:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-3,1.5
21,11,"2015-12-06","24-265","DET","","LAL",20,0,"2:28",0,0,NA,0,0,NA,2,2,1,0,1,1,0,0,0,0,0,2,2.3,5,3.3
22,12,"2015-12-07","24-266","DET","@","CHO",-20,0,"3:55",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
