"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-350","UTA","@","DET",-5,0,"15:35",0,2,0,0,0,NA,0,0,NA,0,1,1,1,0,0,1,2,0,-2.2,-15,2.3
2,2,"2015-10-30","22-352","UTA","@","PHI",28,0,"27:28",5,10,0.5,0,0,NA,0,0,NA,0,3,3,6,1,0,0,0,10,11.1,14,24.8
3,3,"2015-10-31","22-353","UTA","@","IND",21,0,"21:27",6,11,0.545,1,3,0.333,2,2,1,1,2,3,3,2,0,3,3,15,10.9,4,26.3
4,4,"2015-11-04","22-357","UTA","","POR",-16,0,"26:22",7,13,0.538,1,4,0.25,2,2,1,1,1,2,0,1,0,2,1,17,10.3,-4,21
5,5,"2015-11-05","22-358","UTA","@","DEN",12,0,"19:45",4,12,0.333,2,5,0.4,2,2,1,0,2,2,1,1,0,3,4,12,2.9,17,17.5
6,6,"2015-11-07","22-360","UTA","","MEM",10,0,"27:49",8,16,0.5,6,8,0.75,2,2,1,0,3,3,1,1,0,2,1,24,16.2,1,33.3
7,7,"2015-11-10","22-363","UTA","@","CLE",-4,0,"24:10",6,11,0.545,2,3,0.667,2,2,1,0,2,2,3,1,0,2,1,16,12,-3,25
8,8,"2015-11-12","23-000","UTA","@","MIA",-1,0,"27:04",3,9,0.333,0,2,0,0,0,NA,0,3,3,2,2,0,0,1,6,4.8,-1,16.8
9,9,"2015-11-13","23-001","UTA","@","ORL",-9,0,"21:31",7,12,0.583,1,3,0.333,1,4,0.25,0,1,1,4,0,0,1,0,16,11.3,-2,23.3
10,10,"2015-11-15","23-003","UTA","@","ATL",1,0,"23:06",3,6,0.5,2,3,0.667,2,2,1,0,0,0,5,1,0,1,1,10,10.1,2,20
11,11,"2015-11-18","23-006","UTA","","TOR",4,0,"18:11",3,7,0.429,2,5,0.4,2,4,0.5,0,1,1,2,2,0,1,4,10,6.6,-8,18.8
12,12,"2015-11-20","23-008","UTA","@","DAL",-9,0,"22:29",3,8,0.375,1,3,0.333,0,0,NA,0,7,7,2,0,0,3,2,7,2.3,7,17.8
13,13,"2015-11-23","23-011","UTA","","OKC",-22,0,"23:48",3,12,0.25,2,6,0.333,0,0,NA,2,2,4,0,0,0,1,1,8,1.4,-24,13.5
14,14,"2015-11-25","23-013","UTA","@","LAC",11,0,"8:18",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,-2.1,-1,-0.5
15,15,"2015-11-28","23-016","UTA","","NOP",14,0,"15:21",3,6,0.5,2,3,0.667,0,0,NA,1,1,2,1,0,0,2,1,8,4.3,2,12
16,16,"2015-11-30","23-018","UTA","","GSW",-3,0,"22:04",2,6,0.333,0,1,0,0,2,0,0,0,0,2,2,0,2,2,4,0.4,0,10
17,17,"2015-12-03","23-021","UTA","","ORL",-9,0,"33:42",5,15,0.333,3,7,0.429,0,0,NA,1,2,3,6,0,0,3,2,13,6.2,0,25.8
18,18,"2015-12-05","23-023","UTA","","IND",3,0,"33:35",8,17,0.471,2,8,0.25,1,1,1,0,3,3,7,0,0,0,1,19,15.7,6,34.3
19,19,"2015-12-08","23-026","UTA","@","SAC",-8,0,"20:55",5,14,0.357,2,8,0.25,0,0,NA,1,1,2,3,1,0,2,3,12,5.1,-1,21
20,20,"2015-12-09","23-027","UTA","","NYK",21,0,"23:20",6,13,0.462,3,6,0.5,0,0,NA,0,1,1,5,0,0,2,2,15,9.3,4,24.3
21,21,"2015-12-11","23-029","UTA","","OKC",-4,0,"29:56",6,15,0.4,3,8,0.375,1,2,0.5,1,2,3,4,1,0,1,1,16,11.2,7,28.8
22,22,"2015-12-13","23-031","UTA","@","OKC",-6,0,"17:24",4,5,0.8,1,1,1,1,1,1,0,1,1,2,1,0,0,1,10,10.4,6,16.8
23,23,"2015-12-14","23-032","UTA","@","SAS",-37,0,"23:31",4,9,0.444,1,3,0.333,1,1,1,1,2,3,2,0,0,2,1,10,5.6,-16,16.3
24,24,"2015-12-16","23-034","UTA","","NOP",-10,0,"27:51",4,13,0.308,1,6,0.167,3,3,1,1,3,4,5,0,0,1,0,12,8.6,0,24.5
25,25,"2015-12-18","23-036","UTA","","DEN",9,0,"23:18",5,9,0.556,1,4,0.25,2,2,1,0,2,2,2,0,0,3,1,13,7.3,4,17.5
26,26,"2015-12-21","23-039","UTA","","PHO",21,0,"22:18",4,10,0.4,1,4,0.25,2,2,1,0,3,3,2,0,0,1,1,11,6.5,-10,17.8
27,27,"2015-12-23","23-041","UTA","@","GSW",-18,0,"27:36",6,14,0.429,1,5,0.2,0,0,NA,0,0,0,3,2,1,2,1,13,8,-11,23
28,28,"2015-12-26","23-044","UTA","","LAC",-5,0,"18:21",2,8,0.25,1,6,0.167,0,0,NA,1,0,1,3,0,0,0,1,5,2.6,-6,11.3
29,29,"2015-12-28","23-046","UTA","","PHI",4,0,"23:59",5,15,0.333,2,6,0.333,2,2,1,1,3,4,1,1,2,3,1,14,6.8,-4,26
30,30,"2015-12-30","23-048","UTA","@","MIN",-14,0,"37:10",8,18,0.444,3,9,0.333,4,4,1,0,1,1,4,1,2,4,2,23,14.3,-2,35.8
31,31,"2015-12-31","23-049","UTA","","POR",13,0,"29:22",12,19,0.632,2,5,0.4,1,2,0.5,0,1,1,3,1,0,0,0,27,21.5,12,35.8
32,32,"2016-01-02","23-051","UTA","","MEM",5,0,"32:11",3,13,0.231,0,3,0,3,4,0.75,0,2,2,2,1,0,2,0,9,1.7,8,15.5
33,33,"2016-01-04","23-053","UTA","","HOU",-2,0,"29:01",3,11,0.273,1,5,0.2,3,4,0.75,0,5,5,3,1,0,0,2,10,6.9,5,23.3
34,34,"2016-01-06","23-055","UTA","@","SAS",-25,0,"24:18",10,17,0.588,1,3,0.333,0,0,NA,0,1,1,4,0,0,0,1,21,15.8,-3,28.8
35,35,"2016-01-07","23-056","UTA","@","HOU",-9,0,"24:26",4,12,0.333,1,4,0.25,1,2,0.5,1,1,2,3,0,0,3,1,10,2.5,-10,16
36,36,"2016-01-09","23-058","UTA","","MIA",15,0,"18:37",4,8,0.5,1,2,0.5,2,2,1,0,1,1,3,0,0,1,1,11,8,-2,16.8
37,37,"2016-01-10","23-059","UTA","@","LAL",12,0,"21:18",3,8,0.375,2,3,0.667,2,2,1,0,0,0,1,0,0,0,0,10,6.3,12,12.5
38,38,"2016-01-13","23-062","UTA","@","POR",-14,0,"28:58",7,14,0.5,1,2,0.5,0,0,NA,1,2,3,2,1,0,2,0,15,9.7,-6,23.3
39,39,"2016-01-14","23-063","UTA","","SAC",-2,0,"31:29",7,15,0.467,0,6,0,3,4,0.75,0,0,0,0,1,0,2,1,17,7.5,10,18
40,40,"2016-01-16","23-065","UTA","","LAL",27,0,"26:06",7,14,0.5,2,3,0.667,0,0,NA,0,1,1,3,1,0,0,2,16,11.6,10,24.8
41,41,"2016-01-18","23-067","UTA","@","CHO",-5,0,"36:36",10,23,0.435,3,9,0.333,2,3,0.667,0,3,3,2,1,0,0,3,25,14.6,-3,35.3
