"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","26-043","CHI","","CLE",2,1,"36:38",6,14,0.429,0,2,0,5,5,1,1,4,5,2,2,1,0,1,17,15.2,3,32.3
2,2,"2015-10-28","26-044","CHI","@","BRK",15,1,"34:19",9,11,0.818,3,3,1,3,3,1,1,3,4,6,2,0,1,0,24,26.7,23,43
3,3,"2015-10-30","26-046","CHI","@","DET",-4,1,"42:06",5,19,0.263,1,3,0.333,12,14,0.857,0,11,11,0,3,0,1,3,23,15,-2,44.3
4,4,"2015-11-01","26-048","CHI","","ORL",5,1,"32:51",4,10,0.4,0,2,0,6,8,0.75,0,4,4,5,4,2,0,0,14,17.9,4,38.5
5,5,"2015-11-03","26-050","CHI","@","CHO",-25,1,"32:05",10,16,0.625,4,6,0.667,2,5,0.4,0,1,1,1,2,0,0,2,26,19.8,-19,34.8
6,6,"2015-11-05","26-052","CHI","","OKC",6,1,"37:55",8,20,0.4,4,5,0.8,6,6,1,1,3,4,2,1,2,0,4,26,19,-2,42
7,7,"2015-11-07","26-054","CHI","","MIN",-9,1,"41:08",4,15,0.267,0,7,0,3,6,0.5,0,8,8,2,1,2,5,5,11,0.1,-9,27.5
8,8,"2015-11-09","26-056","CHI","@","PHI",23,1,"25:39",2,6,0.333,1,3,0.333,2,2,1,1,5,6,5,1,0,3,1,7,6.9,29,23
9,9,"2015-11-13","26-060","CHI","","CHO",5,1,"37:45",8,16,0.5,0,4,0,11,14,0.786,0,5,5,4,1,1,4,1,27,19.4,-4,41.3
10,10,"2015-11-16","26-063","CHI","","IND",1,1,"36:24",6,12,0.5,0,0,NA,5,8,0.625,0,3,3,4,2,1,2,5,17,12.2,-1,31.8
11,11,"2015-11-18","26-065","CHI","@","PHO",6,1,"42:49",11,23,0.478,3,7,0.429,7,8,0.875,3,3,6,2,1,0,1,2,32,23.5,4,45.5
12,12,"2015-11-20","26-067","CHI","@","GSW",-12,1,"38:50",11,21,0.524,2,4,0.5,4,7,0.571,2,7,9,7,3,0,1,1,28,26.5,-12,56.3
13,13,"2015-11-24","26-071","CHI","@","POR",5,1,"36:12",6,13,0.462,2,3,0.667,8,8,1,1,1,2,4,4,0,2,1,22,20.7,8,38.5
14,14,"2015-11-27","26-074","CHI","@","IND",-12,1,"39:49",4,10,0.4,2,4,0.5,6,6,1,0,5,5,5,2,2,4,2,16,14.2,-8,36.8
15,15,"2015-11-30","26-077","CHI","","SAS",3,1,"39:45",5,9,0.556,0,2,0,4,4,1,1,2,3,3,1,2,5,3,14,9.3,-11,25.8
16,16,"2015-12-02","26-079","CHI","","DEN",9,1,"39:26",5,16,0.313,1,4,0.25,8,8,1,3,3,6,3,1,1,1,2,19,14.8,7,35
17,17,"2015-12-05","26-082","CHI","","CHO",-6,1,"38:07",8,18,0.444,1,5,0.2,8,10,0.8,4,4,8,2,2,0,3,4,25,17.6,-6,41
18,18,"2015-12-07","26-084","CHI","","PHO",-2,1,"35:45",6,12,0.5,2,3,0.667,5,6,0.833,0,4,4,3,1,1,3,4,19,13,6,32
19,19,"2015-12-09","26-086","CHI","@","BOS",-5,1,"38:48",12,24,0.5,0,5,0,12,14,0.857,0,7,7,0,1,0,1,3,36,24.1,3,46.3
20,20,"2015-12-10","26-087","CHI","","LAC",3,1,"37:27",4,14,0.286,0,2,0,6,8,0.75,1,4,5,8,2,2,0,0,14,15.9,-5,40.3
21,21,"2015-12-12","26-089","CHI","","NOP",4,1,"38:21",4,16,0.25,0,1,0,7,9,0.778,0,3,3,0,2,1,1,1,15,6.8,3,24.3
22,22,"2015-12-14","26-091","CHI","","PHI",19,1,"28:30",8,14,0.571,0,1,0,7,7,1,0,3,3,3,2,1,0,0,23,22.1,18,37.3
23,23,"2015-12-16","26-093","CHI","","MEM",13,1,"38:09",10,22,0.455,1,4,0.25,3,3,1,1,3,4,4,1,1,1,1,24,17.3,10,39
24,24,"2015-12-18","26-095","CHI","","DET",-3,1,"55:33",14,29,0.483,1,4,0.25,14,16,0.875,1,7,8,2,2,2,3,5,43,30.1,-5,63
25,25,"2015-12-19","26-096","CHI","@","NYK",-16,1,"33:12",4,11,0.364,1,2,0.5,3,4,0.75,1,1,2,5,1,0,1,3,12,8.8,-13,24
26,26,"2015-12-21","26-098","CHI","","BRK",-3,1,"38:29",11,20,0.55,1,6,0.167,1,3,0.333,1,2,3,4,1,1,2,1,24,17,-6,37.3
27,27,"2015-12-25","26-102","CHI","@","OKC",9,1,"42:58",9,20,0.45,1,3,0.333,4,4,1,3,3,6,4,4,0,3,2,23,18.6,4,43.5
28,28,"2015-12-26","26-103","CHI","@","DAL",-7,1,"37:05",4,11,0.364,2,5,0.4,7,8,0.875,0,4,4,8,3,0,5,2,17,14.5,-14,38.5
29,29,"2015-12-28","26-105","CHI","","TOR",7,1,"35:46",2,7,0.286,0,3,0,1,2,0.5,1,3,4,5,2,2,2,2,5,6.2,-8,24.5
30,30,"2015-12-30","26-107","CHI","","IND",2,1,"43:44",8,16,0.5,1,3,0.333,11,13,0.846,0,4,4,4,2,1,2,3,28,22.7,-2,44.5
31,31,"2016-01-01","26-109","CHI","","NYK",27,1,"34:13",8,18,0.444,0,1,0,7,10,0.7,2,2,4,6,1,1,0,1,23,19.9,16,41
32,32,"2016-01-03","26-111","CHI","@","TOR",2,1,"38:42",15,23,0.652,2,3,0.667,10,11,0.909,1,3,4,5,1,1,3,3,42,34.1,11,58
33,33,"2016-01-05","26-113","CHI","","MIL",11,1,"39:23",11,21,0.524,2,5,0.4,8,8,1,0,2,2,10,1,0,2,1,32,27.9,13,53
34,34,"2016-01-07","26-115","CHI","","BOS",9,1,"38:39",5,14,0.357,1,3,0.333,8,9,0.889,0,5,5,10,1,1,3,1,19,17.6,12,44.8
35,35,"2016-01-09","26-117","CHI","@","ATL",-15,1,"39:26",8,17,0.471,1,3,0.333,10,12,0.833,4,4,8,2,1,1,3,4,27,20,-9,43
36,36,"2016-01-11","26-119","CHI","","WAS",-14,1,"38:07",6,15,0.4,1,3,0.333,6,7,0.857,2,2,4,7,3,0,2,2,19,17.6,-8,40
37,37,"2016-01-12","26-120","CHI","@","MIL",-5,1,"40:31",9,21,0.429,2,5,0.4,10,12,0.833,2,6,8,6,0,1,4,0,30,22.2,-2,50
38,38,"2016-01-14","26-122","CHI","@","PHI",4,1,"49:03",15,30,0.5,2,4,0.5,21,25,0.84,4,6,10,6,3,0,4,4,53,42.6,11,81
39,39,"2016-01-15","26-123","CHI","","DAL",-6,1,"36:16",2,11,0.182,0,4,0,0,0,NA,0,5,5,6,2,0,0,1,4,4.4,-7,23.3
40,40,"2016-01-18","26-126","CHI","@","DET",10,1,"37:28",5,13,0.385,0,3,0,6,8,0.75,0,3,3,9,2,0,5,2,16,11.5,1,34.8
41,41,"2016-01-20","26-128","CHI","","GSW",-31,1,"35:27",7,16,0.438,0,2,0,9,12,0.75,2,3,5,2,0,0,2,0,23,15.1,-28,31.3
42,42,"2016-01-22","26-130","CHI","@","BOS",-9,1,"38:29",10,20,0.5,0,3,0,8,8,1,4,10,14,3,2,0,4,0,28,23.9,-15,53.5
43,43,"2016-01-23","26-131","CHI","@","CLE",13,1,"42:28",8,16,0.5,2,3,0.667,2,2,1,2,7,9,1,0,0,0,2,20,15.4,2,33.8
44,44,"2016-01-25","26-133","CHI","","MIA",-5,1,"40:05",5,15,0.333,1,1,1,2,2,1,1,5,6,4,0,0,2,1,13,7.1,-1,26
45,45,"2016-01-28","26-136","CHI","@","LAL",23,1,"31:14",11,17,0.647,1,2,0.5,3,3,1,1,4,5,10,4,0,0,1,26,31,31,57.3
46,46,"2016-01-31","26-139","CHI","@","LAC",-27,1,"36:47",8,22,0.364,2,4,0.5,5,7,0.714,1,0,1,0,1,0,0,0,23,11.7,-9,27.3
47,47,"2016-02-01","26-140","CHI","@","UTA",-9,1,"46:49",10,17,0.588,2,5,0.4,4,7,0.571,0,7,7,6,0,0,3,3,26,19,-4,43.3
49,48,"2016-02-05","26-144","CHI","@","DEN",-5,1,"18:29",6,9,0.667,0,0,NA,7,9,0.778,0,2,2,5,2,0,1,0,19,19.4,-1,32.5
61,49,"2016-03-05","26-173","CHI","","HOU",8,1,"33:58",6,13,0.462,1,2,0.5,11,12,0.917,0,11,11,6,1,0,5,6,24,18,28,48.3
65,50,"2016-03-14","26-182","CHI","@","TOR",2,1,"33:57",5,18,0.278,0,2,0,3,4,0.75,1,4,5,6,0,2,0,1,13,9.1,-9,32.3
66,51,"2016-03-16","26-184","CHI","@","WAS",-21,1,"28:42",4,12,0.333,0,2,0,9,11,0.818,1,5,6,3,3,0,1,1,17,15.3,-26,34.5
67,52,"2016-03-17","26-185","CHI","","BRK",16,1,"31:39",7,12,0.583,0,1,0,8,8,1,0,3,3,7,1,0,1,1,22,21.8,8,37.8
68,53,"2016-03-19","26-187","CHI","","UTA",7,1,"33:03",6,14,0.429,0,0,NA,1,2,0.5,0,5,5,6,0,0,1,1,13,9.5,5,27.8
69,54,"2016-03-21","26-189","CHI","","SAC",7,1,"35:28",3,10,0.3,0,1,0,5,7,0.714,2,1,3,8,5,0,0,0,11,16.7,16,36.8
70,55,"2016-03-23","26-191","CHI","","NYK",-8,1,"35:32",3,11,0.273,0,1,0,1,2,0.5,1,3,4,8,2,1,0,1,7,9.6,-11,30
71,56,"2016-03-24","26-192","CHI","@","NYK",-12,1,"38:59",7,15,0.467,1,3,0.333,4,6,0.667,1,2,3,3,3,1,4,3,19,12.4,-11,33.8
72,57,"2016-03-26","26-194","CHI","@","ORL",-22,1,"29:31",5,10,0.5,0,1,0,2,4,0.5,0,5,5,1,2,1,1,2,12,9.3,-7,25.3
73,58,"2016-03-28","26-196","CHI","","ATL",-2,1,"35:16",5,16,0.313,2,7,0.286,3,3,1,4,4,8,4,0,0,0,2,15,11.8,-2,32
74,59,"2016-03-29","26-197","CHI","@","IND",2,1,"35:30",6,10,0.6,0,2,0,2,2,1,1,3,4,3,2,0,1,4,14,12.5,-12,27
75,60,"2016-03-31","26-199","CHI","@","HOU",3,1,"39:01",8,13,0.615,1,2,0.5,4,4,1,1,7,8,6,2,1,3,1,21,21.4,3,45
76,61,"2016-04-02","26-201","CHI","","DET",-4,1,"39:08",10,25,0.4,1,7,0.143,7,8,0.875,5,12,17,12,3,2,3,4,28,29.4,2,80.8
