"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","34-030","NYK","@","MIL",25,1,"17:58",1,5,0.2,1,4,0.25,0,0,NA,0,3,3,1,0,0,1,4,3,-1.1,1,8.3
2,2,"2015-10-29","34-031","NYK","","ATL",-11,1,"18:13",0,5,0,0,2,0,2,2,1,0,1,1,1,1,0,0,2,2,-0.3,-18,6.8
3,3,"2015-10-31","34-033","NYK","@","WAS",7,1,"21:02",4,9,0.444,1,4,0.25,1,1,1,0,0,0,3,1,0,2,3,10,5.2,-7,16
4,4,"2015-11-02","34-035","NYK","","SAS",-10,1,"23:16",2,5,0.4,2,2,1,0,0,NA,0,0,0,2,1,0,1,2,6,3.9,-1,11.5
5,5,"2015-11-04","34-037","NYK","@","CLE",-10,1,"29:01",1,5,0.2,0,1,0,0,0,NA,1,2,3,5,0,0,1,0,2,2.7,0,12.8
6,6,"2015-11-06","34-039","NYK","","MIL",-7,1,"16:08",0,3,0,0,3,0,0,0,NA,1,1,2,5,0,0,1,2,0,0.6,-7,9.5
7,7,"2015-11-08","34-041","NYK","","LAL",4,1,"35:23",6,12,0.5,2,6,0.333,0,0,NA,1,4,5,3,2,0,1,1,14,12.6,5,29.3
8,8,"2015-11-10","34-043","NYK","@","TOR",2,1,"29:12",3,8,0.375,2,4,0.5,0,0,NA,0,3,3,2,1,0,0,3,8,5.7,-8,17.8
9,9,"2015-11-11","34-044","NYK","@","CHO",-2,1,"28:14",6,9,0.667,1,4,0.25,0,0,NA,0,2,2,5,1,0,2,1,13,11.8,3,24.5
10,10,"2015-11-13","34-046","NYK","","CLE",-6,1,"22:16",4,5,0.8,2,2,1,0,0,NA,0,2,2,2,3,0,4,3,10,7.9,-12,20.5
11,11,"2015-11-15","34-048","NYK","","NOP",8,1,"20:47",4,5,0.8,0,1,0,0,0,NA,0,2,2,3,0,0,0,2,8,8,7,15
12,12,"2015-11-17","34-050","NYK","","CHO",8,1,"30:39",2,6,0.333,2,3,0.667,2,2,1,0,3,3,3,1,0,1,1,8,7.2,6,18.8
13,13,"2015-11-20","34-053","NYK","@","OKC",3,1,"29:48",4,7,0.571,2,2,1,0,0,NA,2,2,4,7,3,0,2,0,10,14.6,-5,31.5
14,14,"2015-11-21","34-054","NYK","@","HOU",5,1,"32:46",3,5,0.6,3,5,0.6,2,2,1,0,0,0,7,1,0,0,2,11,13.8,8,25
15,15,"2015-11-23","34-056","NYK","@","MIA",-17,1,"31:36",2,4,0.5,0,1,0,0,0,NA,0,3,3,2,1,0,0,1,4,4.9,-1,12.8
