"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","21-163","HOU","","DEN",-20,1,"24:55",4,7,0.571,0,0,NA,1,2,0.5,6,1,7,0,2,3,1,2,9,12.1,-16,27.3
2,2,"2015-10-30","21-165","HOU","","GSW",-20,0,"17:45",3,4,0.75,0,0,NA,1,1,1,1,7,8,1,0,2,2,2,7,7.5,-1,21.5
3,3,"2015-11-01","21-167","HOU","@","MIA",-20,1,"14:07",5,5,1,0,0,NA,0,0,NA,1,4,5,0,0,1,1,2,10,9.3,4,17.8
4,4,"2015-11-02","21-168","HOU","","OKC",5,0,"10:43",2,2,1,0,0,NA,0,0,NA,0,1,1,0,1,1,1,4,4,2.8,7,8.8
5,5,"2015-11-04","21-170","HOU","","ORL",5,0,"18:49",4,5,0.8,0,0,NA,0,0,NA,3,2,5,1,1,1,0,1,8,10.8,8,19.8
6,6,"2015-11-06","21-172","HOU","@","SAC",6,1,"26:20",6,8,0.75,0,0,NA,1,3,0.333,2,10,12,2,0,4,2,5,13,13.6,19,39.5
7,7,"2015-11-07","21-173","HOU","@","LAC",4,0,"18:54",3,3,1,0,0,NA,3,4,0.75,2,6,8,0,0,1,0,4,9,10,0,21
8,8,"2015-11-11","21-177","HOU","","BRK",-8,0,"10:46",4,5,0.8,0,0,NA,0,0,NA,1,1,2,0,0,2,1,2,8,6.7,-1,14
9,9,"2015-11-13","21-179","HOU","@","DEN",-9,0,"13:03",1,2,0.5,0,0,NA,2,4,0.5,0,3,3,0,1,0,0,0,4,4.1,1,9.8
10,10,"2015-11-14","21-180","HOU","","DAL",-12,1,"23:05",2,3,0.667,0,0,NA,3,6,0.5,4,6,10,1,1,0,0,1,7,10.4,-8,23
11,11,"2015-11-16","21-182","HOU","","BOS",-16,0,"18:19",2,4,0.5,0,0,NA,1,4,0.25,4,3,7,1,1,2,0,0,5,8.6,-5,21.3
