"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-018","MIL","","NYK",-25,1,"33:53",6,17,0.353,0,1,0,8,9,0.889,2,3,5,4,1,0,6,4,20,8.6,-11,31.3
2,2,"2015-10-30","24-020","MIL","","WAS",-5,1,"35:32",6,12,0.5,1,5,0.2,0,0,NA,0,6,6,11,1,2,3,3,13,14.7,7,43.5
3,3,"2015-11-01","24-022","MIL","@","TOR",-19,1,"32:39",3,10,0.3,2,5,0.4,4,4,1,1,4,5,7,2,0,4,2,12,10.2,-15,31.8
4,4,"2015-11-02","24-023","MIL","@","BRK",7,1,"22:38",2,3,0.667,0,0,NA,2,4,0.5,0,2,2,5,3,2,2,5,6,8.4,8,25
10,5,"2015-11-14","24-035","MIL","","CLE",3,1,"40:02",6,12,0.5,0,0,NA,5,6,0.833,1,4,5,4,2,2,3,1,17,15.3,4,35.8
11,6,"2015-11-17","24-038","MIL","@","WAS",-29,1,"21:59",5,10,0.5,2,4,0.5,0,2,0,0,1,1,0,0,0,4,2,12,1.7,-14,12.3
12,7,"2015-11-19","24-040","MIL","@","CLE",-15,1,"26:44",4,11,0.364,0,0,NA,1,2,0.5,1,0,1,5,0,0,2,5,9,2.7,-5,16.8
13,8,"2015-11-21","24-042","MIL","@","IND",-37,1,"25:39",3,5,0.6,0,0,NA,1,3,0.333,0,3,3,3,0,0,5,3,7,0.7,-20,12.8
14,9,"2015-11-23","24-044","MIL","","DET",21,1,"26:05",6,10,0.6,0,0,NA,0,0,NA,2,1,3,8,3,1,2,2,12,15.6,13,34.8
15,10,"2015-11-25","24-046","MIL","","SAC",-11,1,"27:37",0,7,0,0,0,NA,4,4,1,0,0,0,3,1,0,4,1,4,-2.2,-21,8.5
16,11,"2015-11-27","24-048","MIL","@","ORL",-24,1,"24:04",1,3,0.333,0,0,NA,1,2,0.5,1,3,4,3,0,1,5,2,3,-0.5,-14,12
17,12,"2015-11-29","24-050","MIL","@","CHO",-5,0,"15:36",1,3,0.333,0,1,0,1,2,0.5,0,4,4,2,0,0,2,2,3,0.7,-15,10
18,13,"2015-11-30","24-051","MIL","","DEN",18,0,"30:10",5,9,0.556,0,0,NA,2,2,1,1,5,6,9,3,3,2,4,12,17.7,27,44
19,14,"2015-12-02","24-053","MIL","@","SAS",-25,0,"30:07",2,10,0.2,0,1,0,0,0,NA,1,4,5,4,2,0,1,1,4,3.1,-15,19.8
20,15,"2015-12-04","24-055","MIL","@","DET",-7,0,"26:33",3,8,0.375,0,2,0,0,0,NA,0,7,7,5,0,0,3,4,6,2.6,-1,20.8
21,16,"2015-12-05","24-056","MIL","","NYK",15,0,"28:25",9,16,0.563,0,0,NA,2,3,0.667,1,2,3,5,0,1,2,2,20,14.7,4,32.3
22,17,"2015-12-07","24-058","MIL","","POR",2,0,"31:09",2,9,0.222,0,0,NA,4,6,0.667,3,2,5,7,0,0,6,3,8,2.1,-3,21.8
23,18,"2015-12-09","24-060","MIL","","LAC",-14,0,"32:07",9,16,0.563,0,0,NA,2,3,0.667,0,1,1,11,1,0,2,4,20,17.4,1,40.3
24,19,"2015-12-11","24-062","MIL","@","TOR",-7,0,"27:29",1,7,0.143,0,1,0,0,0,NA,0,3,3,6,0,1,3,3,2,-0.9,-8,15.3
25,20,"2015-12-12","24-063","MIL","","GSW",13,0,"30:01",7,10,0.7,0,0,NA,3,3,1,1,2,3,7,5,0,1,4,17,21.4,22,40.8
26,21,"2015-12-15","24-066","MIL","@","LAL",-18,0,"31:44",9,18,0.5,0,0,NA,1,2,0.5,2,3,5,5,2,1,1,3,19,15.9,-9,38.3
27,22,"2015-12-16","24-067","MIL","@","LAC",-13,1,"39:14",8,18,0.444,0,0,NA,1,2,0.5,1,5,6,5,1,0,4,2,17,9.1,-14,32
28,23,"2015-12-18","24-069","MIL","@","GSW",-9,1,"38:56",9,18,0.5,1,1,1,5,6,0.833,2,3,5,4,1,1,2,3,24,18.2,-8,39.8
29,24,"2015-12-20","24-071","MIL","@","PHO",6,1,"35:38",9,16,0.563,0,1,0,2,4,0.5,1,8,9,6,1,1,3,3,20,16.4,10,42.8
30,25,"2015-12-23","24-074","MIL","","PHI",13,1,"32:39",9,13,0.692,0,0,NA,0,0,NA,0,5,5,9,4,0,7,1,18,16.9,19,42.3
31,26,"2015-12-26","24-077","MIL","","TOR",-21,1,"32:28",4,13,0.308,0,0,NA,0,0,NA,1,7,8,3,2,0,2,3,8,4.2,-20,25.5
32,27,"2015-12-28","24-079","MIL","@","DAL",-10,1,"21:13",4,8,0.5,0,1,0,0,0,NA,0,5,5,0,0,0,2,1,8,3.1,-18,13.3
33,28,"2015-12-29","24-080","MIL","@","OKC",-8,1,"31:41",8,14,0.571,1,1,1,2,6,0.333,4,5,9,9,2,0,2,4,19,19.8,9,47.3
34,29,"2015-12-31","24-082","MIL","@","IND",4,1,"38:15",4,9,0.444,0,0,NA,3,6,0.5,1,6,7,8,3,3,4,3,11,13.1,13,41.8
35,30,"2016-01-02","24-084","MIL","@","MIN",10,1,"34:50",1,7,0.143,0,0,NA,3,4,0.75,1,6,7,6,2,3,1,4,5,8.3,-5,32.3
36,31,"2016-01-04","24-086","MIL","","SAS",-25,1,"31:26",6,10,0.6,1,1,1,3,6,0.5,0,4,4,6,1,1,0,3,16,16.1,-7,34.5
37,32,"2016-01-05","24-087","MIL","@","CHI",-11,1,"37:25",9,14,0.643,1,1,1,1,1,1,0,3,3,12,2,0,2,1,20,22.7,-14,46.8
38,33,"2016-01-08","24-090","MIL","","DAL",1,1,"41:12",5,12,0.417,0,1,0,5,8,0.625,2,10,12,8,5,1,3,2,15,19.3,-2,54
39,34,"2016-01-10","24-092","MIL","@","NYK",-12,1,"22:27",1,8,0.125,0,1,0,2,4,0.5,1,4,5,6,2,0,3,3,4,1.9,-22,21.8
40,35,"2016-01-12","24-094","MIL","","CHI",5,1,"36:55",4,13,0.308,0,0,NA,3,5,0.6,0,4,4,6,3,0,0,3,11,9.9,5,31
41,36,"2016-01-13","24-095","MIL","@","WAS",-5,1,"26:19",2,6,0.333,0,0,NA,0,0,NA,1,4,5,6,3,0,4,1,4,5.3,-1,23.3
42,37,"2016-01-15","24-097","MIL","","ATL",7,1,"41:51",5,15,0.333,2,3,0.667,3,3,1,1,8,9,7,3,2,6,5,15,10.9,7,44.8
43,38,"2016-01-16","24-098","MIL","@","CHO",13,1,"26:15",3,8,0.375,1,2,0.5,2,2,1,0,6,6,4,0,2,1,4,9,8,9,26.5
44,39,"2016-01-19","24-101","MIL","@","MIA",12,1,"25:12",3,5,0.6,0,0,NA,1,2,0.5,1,2,3,0,2,0,1,1,7,6.2,20,14.3
45,40,"2016-01-22","24-104","MIL","@","HOU",-4,1,"34:45",4,11,0.364,0,2,0,3,5,0.6,4,8,12,5,2,0,4,3,11,9.6,-3,37
46,41,"2016-01-23","24-105","MIL","@","NOP",-17,1,"32:56",9,12,0.75,0,0,NA,1,2,0.5,0,4,4,5,2,2,4,4,19,16.3,-2,37.5
47,42,"2016-01-26","24-108","MIL","","ORL",7,1,"37:59",2,8,0.25,0,1,0,1,2,0.5,0,2,2,5,1,0,3,5,5,-0.1,4,15.5
48,43,"2016-01-28","24-110","MIL","@","MEM",-20,1,"27:15",4,7,0.571,0,2,0,2,2,1,1,5,6,1,0,0,3,2,10,5.8,-11,17.5
49,44,"2016-01-29","24-111","MIL","","MIA",-4,1,"26:17",4,9,0.444,0,1,0,1,2,0.5,1,7,8,6,2,0,2,5,9,8.9,-2,31
50,45,"2016-02-01","24-114","MIL","@","SAC",-7,1,"34:12",6,8,0.75,1,1,1,5,6,0.833,0,5,5,13,1,1,3,4,18,22.1,-1,48.3
51,46,"2016-02-02","24-115","MIL","@","POR",-12,1,"25:40",1,4,0.25,0,1,0,0,0,NA,3,3,6,2,0,0,2,2,2,1.2,-9,11.5
52,47,"2016-02-05","24-118","MIL","@","UTA",-3,1,"28:35",5,14,0.357,0,2,0,0,1,0,1,5,6,4,3,1,3,3,10,6.3,-8,30
53,48,"2016-02-09","24-122","MIL","","BOS",1,0,"26:01",6,8,0.75,0,1,0,4,6,0.667,1,5,6,5,1,0,2,5,16,14.7,7,32
54,49,"2016-02-11","24-124","MIL","","WAS",7,0,"20:06",1,5,0.2,0,1,0,3,4,0.75,1,4,5,3,1,0,4,3,5,1.3,9,15.8
55,50,"2016-02-19","24-132","MIL","","CHO",-3,0,"29:20",6,7,0.857,2,3,0.667,0,0,NA,0,6,6,3,1,2,2,3,14,14.6,-9,32
