"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
4,1,"2015-11-02","38-280","MEM","@","GSW",-50,0,"15:39",1,4,0.25,1,3,0.333,0,0,NA,0,1,1,0,1,0,1,2,3,0.1,-13,6.3
13,2,"2015-11-20","38-298","MEM","","HOU",12,0,"17:44",2,6,0.333,2,4,0.5,0,0,NA,1,2,3,0,1,2,0,3,6,5.1,5,16.8
14,3,"2015-11-21","38-299","MEM","@","SAS",-10,0,"19:49",3,6,0.5,0,2,0,1,1,1,0,4,4,0,1,0,3,1,7,2.8,-5,12.5
15,4,"2015-11-24","38-302","MEM","","DAL",14,0,"11:03",1,4,0.25,0,2,0,1,2,0.5,0,2,2,0,0,0,0,3,3,-0.4,5,5.5
16,5,"2015-11-25","38-303","MEM","@","HOU",9,0,"14:39",0,1,0,0,1,0,0,0,NA,2,4,6,2,1,0,1,2,0,2.5,10,12
17,6,"2015-11-27","38-305","MEM","","ATL",-15,0,"22:28",4,10,0.4,4,9,0.444,2,2,1,0,5,5,1,0,1,0,3,14,10.3,3,25.8
18,7,"2015-11-29","38-307","MEM","","PHI",8,0,"8:54",1,4,0.25,0,1,0,0,0,NA,1,0,1,0,0,0,2,4,2,-3.3,0,2.3
19,8,"2015-12-01","38-309","MEM","@","NOP",9,0,"7:53",1,1,1,0,0,NA,0,0,NA,1,2,3,1,0,0,0,3,2,2.5,2,7.3
20,9,"2015-12-03","38-311","MEM","","SAS",-20,0,"10:42",0,2,0,0,1,0,0,0,NA,0,1,1,1,1,0,0,2,0,-0.2,-3,4.8
21,10,"2015-12-06","38-314","MEM","","PHO",2,0,"4:50",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-5,0
22,11,"2015-12-08","38-316","MEM","","OKC",-37,0,"21:36",3,7,0.429,1,3,0.333,0,0,NA,1,2,3,1,0,0,0,0,7,5.3,-9,12.8
29,12,"2015-12-19","38-327","MEM","","IND",12,0,"22:24",3,5,0.6,1,3,0.333,2,2,1,0,1,1,2,1,1,0,1,9,9.7,5,17.8
30,13,"2015-12-22","38-330","MEM","@","PHI",14,0,"16:53",3,8,0.375,2,5,0.4,0,0,NA,0,1,1,1,1,0,0,3,8,4.4,6,13.8
31,14,"2015-12-23","38-331","MEM","@","WAS",-9,0,"12:39",0,5,0,0,4,0,1,2,0.5,0,2,2,0,2,0,1,2,1,-2.1,-4,7
32,15,"2015-12-26","38-334","MEM","@","CHO",-6,0,"4:16",0,2,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,2,0,-1.2,0,2.8
33,16,"2015-12-27","38-335","MEM","","LAL",16,0,"13:40",1,3,0.333,0,2,0,0,0,NA,0,0,0,2,0,0,0,2,2,0.9,-13,5
34,17,"2015-12-29","38-337","MEM","","MIA",9,0,"9:24",0,3,0,0,2,0,0,0,NA,0,1,1,1,0,0,0,0,0,-1.1,-2,2.8
35,18,"2016-01-02","38-341","MEM","@","UTA",-5,0,"8:42",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,1,0,-0.1,-8,2.8
37,19,"2016-01-06","38-345","MEM","@","OKC",-18,0,"12:00",1,3,0.333,0,1,0,2,2,1,0,0,0,3,0,1,0,4,4,3.5,0,10.5
38,20,"2016-01-08","38-347","MEM","","DEN",7,0,"9:19",0,2,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,-0.4,5,2
