"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-128","SAC","","LAC",-7,0,"20:07",2,5,0.4,1,1,1,0,0,NA,1,8,9,0,1,0,2,2,5,3.6,8,17.8
2,2,"2015-10-30","27-130","SAC","","LAL",18,0,"21:59",5,9,0.556,0,2,0,2,3,0.667,3,6,9,2,0,0,0,3,12,11.4,-4,26.3
3,3,"2015-10-31","27-131","SAC","@","LAC",-5,0,"21:23",4,6,0.667,1,1,1,1,2,0.5,1,3,4,2,0,0,3,2,10,6.2,13,17
4,4,"2015-11-03","27-134","SAC","","MEM",-14,0,"22:47",1,7,0.143,1,2,0.5,1,4,0.25,1,2,3,2,2,0,2,2,4,0.2,2,14.3
5,5,"2015-11-04","27-135","SAC","@","PHO",-21,0,"20:05",2,5,0.4,2,2,1,2,4,0.5,0,4,4,1,1,0,2,0,8,5.4,-21,16.5
6,6,"2015-11-06","27-137","SAC","","HOU",-6,0,"32:43",8,10,0.8,2,3,0.667,4,5,0.8,1,3,4,1,2,0,2,4,22,18.5,22,32.5
7,7,"2015-11-07","27-138","SAC","","GSW",-9,0,"28:54",4,7,0.571,2,4,0.5,0,0,NA,1,7,8,2,0,0,3,3,10,6.7,-19,22.5
8,8,"2015-11-09","27-140","SAC","","SAS",-18,0,"24:22",7,14,0.5,2,4,0.5,0,0,NA,0,5,5,0,3,0,0,2,16,12.7,4,29.3
9,9,"2015-11-11","27-142","SAC","","DET",9,0,"27:56",3,5,0.6,1,2,0.5,2,2,1,0,11,11,1,1,0,2,2,9,8.9,-12,25.8
10,10,"2015-11-13","27-144","SAC","","BRK",2,0,"20:50",2,9,0.222,1,4,0.25,0,0,NA,1,2,3,1,0,0,1,1,5,0.1,3,10.3
11,11,"2015-11-15","27-146","SAC","","TOR",6,0,"25:39",6,9,0.667,1,4,0.25,1,1,1,2,3,5,0,2,1,2,1,14,12.7,-10,25.8
12,12,"2015-11-18","27-149","SAC","@","ATL",-6,0,"22:13",4,8,0.5,0,2,0,0,0,NA,0,4,4,2,0,0,2,2,8,3.8,-2,15
13,13,"2015-11-19","27-150","SAC","@","MIA",-7,1,"38:31",7,11,0.636,2,4,0.5,0,4,0,0,6,6,0,1,1,4,5,16,7,-3,26.5
14,14,"2015-11-21","27-152","SAC","@","ORL",6,0,"31:49",5,11,0.455,1,3,0.333,0,0,NA,3,8,11,2,1,0,1,3,11,10,18,31.3
15,15,"2015-11-23","27-154","SAC","@","CHO",-5,0,"26:46",2,7,0.286,1,4,0.25,1,1,1,1,4,5,3,0,0,2,3,6,2.7,18,16.3
16,16,"2015-11-25","27-156","SAC","@","MIL",11,0,"30:34",6,9,0.667,3,5,0.6,4,6,0.667,1,6,7,3,2,0,0,3,19,19.7,8,37.8
17,17,"2015-11-27","27-158","SAC","","MIN",-10,0,"27:44",6,10,0.6,2,5,0.4,1,2,0.5,0,6,6,0,0,0,2,2,15,9,1,22.5
