"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-071","SAC","","LAC",-7,0,"7:51",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,2,2,1,4.5
2,2,"2015-10-30","22-073","SAC","","LAL",18,1,"30:11",7,8,0.875,0,0,NA,3,5,0.6,3,6,9,1,1,3,2,5,17,17.1,23,36.8
3,3,"2015-10-31","22-074","SAC","@","LAC",-5,1,"22:48",3,5,0.6,0,0,NA,2,4,0.5,5,4,9,0,3,1,2,5,8,9.3,4,26.3
4,4,"2015-11-03","22-077","SAC","","MEM",-14,1,"34:02",3,4,0.75,0,0,NA,3,6,0.5,3,4,7,1,1,1,1,3,9,9.7,-15,22.8
5,5,"2015-11-04","22-078","SAC","@","PHO",-21,1,"16:19",0,0,NA,0,0,NA,0,0,NA,0,4,4,0,0,1,0,1,0,1.5,-5,7
6,6,"2015-11-06","22-080","SAC","","HOU",-6,0,"22:02",3,5,0.6,0,0,NA,1,2,0.5,4,5,9,1,2,2,0,4,7,11.1,22,27.8
7,7,"2015-11-07","22-081","SAC","","GSW",-9,0,"19:46",3,4,0.75,0,0,NA,0,0,NA,1,0,1,1,1,0,1,2,6,5,4,10.3
8,8,"2015-11-09","22-083","SAC","","SAS",-18,1,"22:14",2,3,0.667,0,0,NA,0,0,NA,1,5,6,0,1,0,0,2,4,5.1,-6,13.5
9,9,"2015-11-11","22-085","SAC","","DET",9,1,"16:05",2,3,0.667,0,0,NA,0,0,NA,3,2,5,0,1,1,1,2,4,5.3,10,13.8
10,10,"2015-11-13","22-087","SAC","","BRK",2,1,"18:04",0,0,NA,0,0,NA,1,2,0.5,0,9,9,0,1,1,1,0,1,4,1,15.8
11,11,"2015-11-15","22-089","SAC","","TOR",6,1,"8:21",0,0,NA,0,0,NA,0,0,NA,1,3,4,0,0,1,1,1,0,0.9,3,6.5
12,12,"2015-11-18","22-092","SAC","@","ATL",-6,0,"14:09",0,2,0,0,0,NA,0,0,NA,1,4,5,0,0,0,0,2,0,-0.3,8,6.3
13,13,"2015-11-19","22-093","SAC","@","MIA",-7,0,"22:28",5,7,0.714,0,0,NA,1,2,0.5,2,3,5,0,0,2,3,6,11,6,-11,19.8
14,14,"2015-11-21","22-095","SAC","@","ORL",6,1,"17:16",1,5,0.2,0,0,NA,0,0,NA,3,2,5,0,0,2,0,3,2,1.8,-11,12.3
15,15,"2015-11-23","22-097","SAC","@","CHO",-5,1,"8:21",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,1,2.8
16,16,"2015-11-25","22-099","SAC","@","MIL",11,1,"23:23",3,4,0.75,0,0,NA,1,2,0.5,1,4,5,0,0,3,0,2,7,8.2,-3,19.3
17,17,"2015-11-27","22-101","SAC","","MIN",-10,1,"24:47",3,5,0.6,0,0,NA,0,2,0,1,2,3,0,0,1,0,0,6,4.9,-8,11.8
18,18,"2015-11-28","22-102","SAC","@","GSW",-19,0,"20:05",1,5,0.2,0,0,NA,1,2,0.5,2,2,4,1,1,2,0,5,3,2.6,2,15.5
19,19,"2015-11-30","22-104","SAC","","DAL",14,1,"12:19",0,0,NA,0,0,NA,1,2,0.5,3,2,5,0,0,0,1,3,1,1.1,3,6.8
20,20,"2015-12-03","22-107","SAC","","BOS",-17,1,"17:40",2,2,1,0,0,NA,4,6,0.667,1,4,5,1,0,1,1,3,8,7.7,11,17.3
33,21,"2016-01-02","22-137","SAC","","PHO",23,0,"4:50",2,3,0.667,0,0,NA,0,0,NA,3,2,5,1,0,0,0,0,4,6.1,1,11.8
34,22,"2016-01-04","22-139","SAC","@","OKC",12,0,"15:15",3,4,0.75,0,0,NA,2,4,0.5,2,1,3,0,0,1,0,1,8,7.6,9,13.8
37,23,"2016-01-09","22-144","SAC","","GSW",-12,0,"9:19",4,6,0.667,0,0,NA,2,4,0.5,1,0,1,0,0,0,0,2,10,6.5,-4,11.3
38,24,"2016-01-13","22-148","SAC","","NOP",-12,0,"15:55",1,1,1,0,0,NA,0,0,NA,1,4,5,0,0,3,1,2,2,3.9,14,13.8
39,25,"2016-01-14","22-149","SAC","@","UTA",2,1,"23:43",4,6,0.667,0,0,NA,1,2,0.5,2,6,8,0,1,1,0,4,9,9.3,2,23
40,26,"2016-01-16","22-151","SAC","@","LAC",7,1,"12:32",0,3,0,0,0,NA,2,4,0.5,0,4,4,1,0,3,0,0,2,3.1,-4,14.5
41,27,"2016-01-20","22-155","SAC","@","LAL",19,1,"29:25",5,8,0.625,0,0,NA,2,4,0.5,4,6,10,1,2,2,0,4,12,14.7,-1,35.5
42,28,"2016-01-21","22-156","SAC","","ATL",3,1,"30:01",5,8,0.625,0,0,NA,2,2,1,5,6,11,0,2,0,0,1,12,15.3,1,31.3
43,29,"2016-01-23","22-158","SAC","","IND",11,1,"34:14",3,6,0.5,0,0,NA,0,0,NA,5,7,12,2,2,1,1,2,6,10.9,13,29.5
44,30,"2016-01-25","22-160","SAC","","CHO",-1,1,"38:12",4,8,0.5,0,0,NA,1,2,0.5,4,5,9,0,1,1,3,5,9,5.6,-13,22.8
45,31,"2016-01-26","22-161","SAC","@","POR",-15,1,"29:32",5,8,0.625,0,0,NA,2,2,1,3,4,7,1,1,4,0,4,12,14.6,-4,32.3
46,32,"2016-01-28","22-163","SAC","@","NOP",-9,1,"14:55",1,2,0.5,0,0,NA,4,4,1,0,1,1,1,0,1,0,2,6,5.9,-9,10.8
47,33,"2016-01-30","22-165","SAC","@","MEM",-4,1,"15:57",1,3,0.333,0,0,NA,0,0,NA,2,3,5,0,1,0,0,3,2,2.4,-6,10.3
48,34,"2016-02-01","22-167","SAC","","MIL",7,1,"28:30",2,4,0.5,0,0,NA,0,0,NA,4,6,10,0,0,2,3,1,4,4.6,8,19
49,35,"2016-02-03","22-169","SAC","","CHI",-5,1,"17:42",1,4,0.25,0,0,NA,0,0,NA,2,3,5,0,0,2,0,3,2,2.1,-12,12.3
50,36,"2016-02-05","22-171","SAC","@","BRK",-9,1,"28:53",7,8,0.875,0,0,NA,2,2,1,2,4,6,0,1,1,2,3,16,14.3,6,26.5
51,37,"2016-02-07","22-173","SAC","@","BOS",-9,1,"23:20",7,9,0.778,0,0,NA,1,1,1,3,1,4,0,1,1,1,4,15,13,-15,23.5
52,38,"2016-02-08","22-174","SAC","@","CLE",-20,1,"29:32",6,9,0.667,0,0,NA,1,2,0.5,2,2,4,1,0,0,2,2,13,8.6,-17,18.5
53,39,"2016-02-10","22-176","SAC","@","PHI",4,1,"17:15",1,3,0.333,0,0,NA,1,2,0.5,2,1,3,1,0,0,0,0,3,3.3,-14,8.3
54,40,"2016-02-19","22-185","SAC","","DEN",6,0,"14:22",5,5,1,0,0,NA,0,0,NA,1,2,3,0,0,3,1,0,10,10.9,-4,19.3
55,41,"2016-02-23","22-189","SAC","@","DEN",4,0,"23:26",4,7,0.571,0,0,NA,2,2,1,2,3,5,1,1,2,0,1,10,11.7,1,23.8
56,42,"2016-02-24","22-190","SAC","","SAS",-16,0,"17:38",6,10,0.6,0,0,NA,0,0,NA,3,3,6,0,2,0,0,1,12,12,-24,23.5
57,43,"2016-02-26","22-192","SAC","","LAC",-10,0,"23:43",1,2,0.5,0,0,NA,2,2,1,3,3,6,1,0,0,0,3,4,5.5,-2,13
58,44,"2016-02-29","22-195","SAC","","OKC",-15,0,"16:14",2,4,0.5,0,0,NA,2,2,1,1,1,2,0,1,0,1,1,6,4.6,-6,10
59,45,"2016-03-02","22-197","SAC","@","MEM",-6,0,"19:31",4,4,1,0,0,NA,0,0,NA,1,3,4,0,1,0,0,1,8,9,4,15
60,46,"2016-03-03","22-198","SAC","@","DAL",3,0,"5:55",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,1.3,0,3.3
61,47,"2016-03-05","22-200","SAC","@","SAS",-10,0,"11:32",0,3,0,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,2,1,-2.3,-6,1
62,48,"2016-03-07","22-202","SAC","@","NOP",-3,0,"5:30",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.8,-14,0
