"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-162","MIA","","CHO",10,0,"17:07",1,3,0.333,1,2,0.5,5,5,1,0,3,3,4,2,0,2,2,8,9.2,8,21.3
2,2,"2015-10-30","29-164","MIA","@","CLE",-10,0,"14:24",3,6,0.5,0,2,0,2,2,1,0,1,1,2,0,0,0,1,8,6.3,-19,12.3
3,3,"2015-11-01","29-166","MIA","","HOU",20,0,"22:35",1,3,0.333,0,1,0,2,3,0.667,1,0,1,3,2,0,3,3,4,2.5,27,12.3
4,4,"2015-11-03","29-168","MIA","","ATL",-6,0,"21:43",1,9,0.111,0,4,0,0,0,NA,0,1,1,3,2,0,1,4,2,-2.1,-2,11.3
6,5,"2015-11-06","29-171","MIA","@","IND",-3,0,"18:52",1,3,0.333,0,1,0,0,0,NA,0,1,1,1,1,0,0,3,2,1.1,21,6.8
7,6,"2015-11-08","29-173","MIA","","TOR",20,0,"25:10",3,8,0.375,0,1,0,3,3,1,0,7,7,6,1,1,3,3,9,8.4,18,29.3
9,7,"2015-11-13","29-178","MEM","","POR",1,0,"19:37",4,6,0.667,1,2,0.5,2,2,1,0,1,1,2,4,0,1,1,11,12.7,5,23.3
10,8,"2015-11-15","29-180","MEM","@","MIN",8,0,"18:10",2,4,0.5,2,3,0.667,10,10,1,0,0,0,4,0,1,3,1,16,14.1,7,23.5
11,9,"2015-11-16","29-181","MEM","","OKC",8,0,"22:45",6,13,0.462,4,7,0.571,13,15,0.867,0,2,2,1,1,0,1,3,29,21.6,9,36.5
12,10,"2015-11-20","29-185","MEM","","HOU",12,0,"16:31",2,9,0.222,0,1,0,6,6,1,1,3,4,3,1,0,0,5,10,7.2,11,21.5
13,11,"2015-11-21","29-186","MEM","@","SAS",-10,0,"21:03",2,10,0.2,0,2,0,2,2,1,0,2,2,4,1,0,1,4,6,1.6,-6,16
14,12,"2015-11-24","29-189","MEM","","DAL",14,0,"20:54",4,7,0.571,0,1,0,6,10,0.6,0,1,1,2,5,0,1,2,14,14,2,27.8
15,13,"2015-11-25","29-190","MEM","@","HOU",9,0,"23:20",2,7,0.286,0,3,0,2,2,1,0,3,3,5,0,0,2,3,6,3.1,3,16.3
