"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-30","24-237","GSW","@","HOU",20,0,"4:36",1,3,0.333,0,1,0,0,0,NA,0,0,0,2,0,0,0,1,2,1.3,-5,5
4,2,"2015-10-31","24-238","GSW","@","NOP",14,0,"0:30",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
5,3,"2015-11-02","24-240","GSW","","MEM",50,0,"12:00",4,4,1,1,1,1,6,6,1,1,2,3,1,0,0,0,0,15,15.8,6,20.8
7,4,"2015-11-06","24-244","GSW","","DEN",15,0,"7:31",0,2,0,0,1,0,0,0,NA,0,1,1,3,0,0,1,0,0,0,0,5.3
10,5,"2015-11-11","24-249","GSW","@","MEM",16,0,"2:21",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,2,0,0,-2.4,-3,0.3
11,6,"2015-11-12","24-250","GSW","@","MIN",13,0,"3:40",2,4,0.5,2,3,0.667,0,0,NA,0,1,1,1,0,0,0,2,6,4.2,-3,9.8
12,7,"2015-11-14","24-252","GSW","","BRK",8,0,"9:15",1,4,0.25,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,-0.8,5,2
13,8,"2015-11-17","24-255","GSW","","TOR",5,0,"6:20",1,3,0.333,1,2,0.5,1,2,0.5,0,0,0,2,1,0,2,0,4,2.3,-6,8.5
14,9,"2015-11-19","24-257","GSW","@","LAC",7,0,"5:14",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,1,0,1,0,0.6,6,4.8
15,10,"2015-11-20","24-258","GSW","","CHI",12,0,"2:40",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,1,0,0.6,0,2.8
16,11,"2015-11-22","24-260","GSW","@","DEN",13,0,"8:49",2,3,0.667,0,1,0,0,0,NA,1,0,1,1,0,1,1,2,4,3,-2,8.3
17,12,"2015-11-24","24-262","GSW","","LAL",34,0,"6:03",0,3,0,0,1,0,0,0,NA,1,1,2,1,2,0,0,0,0,1.6,-5,8
18,13,"2015-11-27","24-265","GSW","@","PHO",19,0,"13:07",3,7,0.429,1,2,0.5,0,0,NA,0,2,2,2,1,0,2,3,7,3.1,-2,14
19,14,"2015-11-28","24-266","GSW","","SAC",19,0,"8:40",2,4,0.5,2,2,1,2,2,1,0,1,1,1,0,0,1,0,8,6,-6,11.3
20,15,"2015-11-30","24-268","GSW","@","UTA",3,0,"6:08",4,5,0.8,4,5,0.8,0,0,NA,0,1,1,0,0,1,0,1,12,10.7,2,17.3
21,16,"2015-12-02","24-270","GSW","@","CHO",17,0,"8:19",1,1,1,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,2,1.7,-2,4
22,17,"2015-12-05","24-273","GSW","@","TOR",3,0,"4:59",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-1,2
23,18,"2015-12-06","24-274","GSW","@","BRK",16,0,"8:35",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,2,0,-3.2,-11,-0.5
24,19,"2015-12-08","24-276","GSW","@","IND",8,0,"12:21",1,5,0.2,0,1,0,0,0,NA,0,0,0,2,0,0,0,3,2,-0.9,-10,5
25,20,"2015-12-11","24-279","GSW","@","BOS",5,1,"19:12",3,9,0.333,0,2,0,0,0,NA,1,2,3,0,0,0,1,1,6,0.8,1,9.3
26,21,"2015-12-12","24-280","GSW","@","MIL",-13,0,"1:02",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
27,22,"2015-12-16","24-284","GSW","","PHO",25,0,"6:20",1,2,0.5,0,1,0,0,0,NA,0,1,1,1,0,0,2,0,2,0,-12,3.8
29,23,"2015-12-23","24-291","GSW","","UTA",18,0,"7:34",3,3,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,0,7,5.1,6,7
30,24,"2015-12-25","24-293","GSW","","CLE",6,0,"4:53",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,0.3,-1,2
31,25,"2015-12-28","24-296","GSW","","SAC",19,0,"22:06",5,9,0.556,2,4,0.5,0,0,NA,0,4,4,0,2,1,0,2,12,10.8,5,24
32,26,"2015-12-30","24-298","GSW","@","DAL",-23,0,"23:46",8,12,0.667,3,4,0.75,2,2,1,0,0,0,0,1,0,2,3,21,13.6,-9,23.5
33,27,"2015-12-31","24-299","GSW","@","HOU",4,0,"25:44",4,9,0.444,2,4,0.5,2,2,1,1,2,3,2,0,0,0,4,12,8.4,7,19.8
34,28,"2016-01-02","24-301","GSW","","DEN",3,0,"37:20",7,8,0.875,1,2,0.5,0,0,NA,0,1,1,1,0,0,3,2,15,9.4,-13,16.8
35,29,"2016-01-04","24-303","GSW","","CHO",10,0,"17:52",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,3,1,0,1,1,3,2.6,7,10.8
36,30,"2016-01-05","24-304","GSW","@","LAL",21,0,"21:52",1,10,0.1,0,4,0,1,2,0.5,1,3,4,6,1,4,2,1,3,3.2,-7,26
37,31,"2016-01-08","24-307","GSW","@","POR",20,0,"17:01",2,3,0.667,2,2,1,0,0,NA,1,3,4,2,0,1,2,0,6,6.4,-2,16
38,32,"2016-01-09","24-308","GSW","@","SAC",12,0,"7:16",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,2,1,0,-2.8,-7,0.3
39,33,"2016-01-11","24-310","GSW","","MIA",8,0,"9:33",1,3,0.333,0,1,0,0,0,NA,0,0,0,2,0,0,0,2,2,0.9,10,5
41,34,"2016-01-14","24-313","GSW","","LAL",18,0,"4:20",3,4,0.75,0,0,NA,0,0,NA,0,0,0,2,1,0,1,0,6,5.8,5,10.5
42,35,"2016-01-16","24-315","GSW","@","DET",-18,0,"2:49",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
43,36,"2016-01-18","24-317","GSW","@","CLE",34,0,"12:25",2,7,0.286,2,5,0.4,0,0,NA,0,2,2,2,0,0,0,0,6,3.9,-6,12.5
44,37,"2016-01-20","24-319","GSW","@","CHI",31,0,"3:53",2,2,1,0,0,NA,0,0,NA,0,1,1,2,0,0,0,0,4,5.1,7,8.3
45,38,"2016-01-22","24-321","GSW","","IND",12,0,"1:18",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,1.3,-1,2
