"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-143","LAL","","MIN",-1,1,"29:43",5,10,0.5,0,2,0,4,6,0.667,0,2,2,3,0,0,2,4,14,7.3,7,20
2,2,"2015-10-30","23-145","LAL","@","SAC",-18,1,"28:32",10,15,0.667,2,3,0.667,0,0,NA,0,4,4,0,1,1,2,1,22,16,-16,31
3,3,"2015-11-01","23-147","LAL","","DAL",-10,1,"30:00",2,8,0.25,1,4,0.25,2,2,1,0,0,0,3,1,2,1,2,7,4.9,-13,17.5
4,4,"2015-11-03","23-149","LAL","","DEN",-11,1,"37:12",12,19,0.632,4,6,0.667,2,3,0.667,1,2,3,2,1,0,0,2,30,24,-9,40.8
5,5,"2015-11-06","23-152","LAL","@","BRK",6,1,"32:47",6,12,0.5,1,4,0.25,3,4,0.75,1,1,2,3,2,0,3,2,16,10.9,3,26
6,6,"2015-11-08","23-154","LAL","@","NYK",-4,1,"28:42",4,13,0.308,2,3,0.667,0,0,NA,0,2,2,1,1,0,2,0,10,2.8,-5,16
7,7,"2015-11-10","23-156","LAL","@","MIA",-13,1,"30:59",6,16,0.375,0,2,0,0,0,NA,1,1,2,0,2,0,3,1,12,2.8,-17,17
8,8,"2015-11-11","23-157","LAL","@","ORL",-2,1,"25:32",2,7,0.286,0,2,0,0,0,NA,1,1,2,5,0,0,2,0,4,2.4,-4,13
9,9,"2015-11-13","23-159","LAL","@","DAL",-8,1,"30:56",9,18,0.5,3,5,0.6,0,0,NA,2,2,4,1,3,1,0,2,21,17.6,4,37
10,10,"2015-11-15","23-161","LAL","","DET",12,1,"29:14",5,10,0.5,2,4,0.5,5,8,0.625,0,6,6,3,0,0,5,4,17,8.1,0,27.5
11,11,"2015-11-16","23-162","LAL","@","PHO",-19,1,"33:09",6,12,0.5,2,3,0.667,6,6,1,1,1,2,1,0,0,0,2,20,14.9,-11,25
12,12,"2015-11-20","23-166","LAL","","TOR",-11,1,"32:06",6,13,0.462,1,3,0.333,0,0,NA,0,4,4,3,1,0,2,1,13,8.2,12,24
13,13,"2015-11-22","23-168","LAL","","POR",-14,1,"35:27",8,14,0.571,3,5,0.6,0,0,NA,2,2,4,1,0,0,3,1,19,11.7,-5,25.5
14,14,"2015-11-24","23-170","LAL","@","GSW",-34,1,"26:32",2,11,0.182,0,3,0,0,0,NA,2,0,2,2,0,0,2,1,4,-2.5,-25,8.5
15,15,"2015-11-28","23-174","LAL","@","POR",-12,1,"36:26",8,15,0.533,2,5,0.4,1,2,0.5,0,3,3,4,4,0,2,1,19,16.6,0,36.8
16,16,"2015-11-29","23-175","LAL","","IND",-4,1,"39:12",8,15,0.533,2,4,0.5,4,4,1,2,8,10,6,1,0,0,3,22,22.5,-6,48
17,17,"2015-12-01","23-177","LAL","@","PHI",-12,1,"37:44",9,19,0.474,1,3,0.333,0,0,NA,1,4,5,2,0,0,0,1,19,12.2,-5,28.8
18,18,"2015-12-02","23-178","LAL","@","WAS",4,1,"35:57",6,14,0.429,0,2,0,6,6,1,1,3,4,1,3,0,2,5,18,11.9,1,29.5
19,19,"2015-12-04","23-180","LAL","@","ATL",-13,1,"28:44",5,8,0.625,3,3,1,0,0,NA,1,2,3,2,1,0,2,2,13,10.3,6,22.3
20,20,"2015-12-06","23-182","LAL","@","DET",-20,1,"30:02",3,11,0.273,0,1,0,1,2,0.5,1,2,3,1,1,0,3,2,7,-0.7,-18,12.8
21,21,"2015-12-07","23-183","LAL","@","TOR",-9,1,"31:58",5,15,0.333,1,4,0.25,2,2,1,2,3,5,1,0,0,1,2,13,5.7,-5,20.8
22,22,"2015-12-09","23-185","LAL","@","MIN",-1,1,"23:12",7,10,0.7,0,2,0,0,0,NA,0,4,4,1,0,0,3,3,14,7.5,-1,19
25,23,"2015-12-15","23-191","LAL","","MIL",18,1,"32:52",5,14,0.357,1,2,0.5,1,2,0.5,1,5,6,3,3,0,3,1,12,7.7,11,29
26,24,"2015-12-17","23-193","LAL","","HOU",-20,1,"38:31",6,14,0.429,0,5,0,0,0,NA,2,2,4,4,2,0,2,3,12,8.2,-23,26
27,25,"2015-12-19","23-195","LAL","@","OKC",-40,1,"29:49",7,15,0.467,0,2,0,1,2,0.5,0,4,4,1,1,0,1,0,15,8.8,-21,23
28,26,"2015-12-22","23-198","LAL","@","DEN",4,1,"37:44",6,14,0.429,0,2,0,7,9,0.778,3,5,8,2,3,0,2,3,19,15.6,14,37
29,27,"2015-12-23","23-199","LAL","","OKC",-35,1,"30:39",4,12,0.333,0,2,0,2,2,1,2,4,6,2,2,0,1,0,10,8.2,-30,24
30,28,"2015-12-25","23-201","LAL","","LAC",-10,1,"30:35",4,9,0.444,0,3,0,3,4,0.75,0,3,3,3,1,0,4,3,11,4.7,-24,19.3
31,29,"2015-12-27","23-203","LAL","@","MEM",-16,1,"26:40",5,9,0.556,0,1,0,2,2,1,1,1,2,3,0,0,1,4,12,8.2,-28,18.5
32,30,"2015-12-28","23-204","LAL","@","CHO",-10,1,"35:02",2,14,0.143,1,4,0.25,3,4,0.75,2,4,6,6,1,1,0,4,8,5.5,-14,29
33,31,"2015-12-30","23-206","LAL","@","BOS",8,1,"33:26",10,15,0.667,1,1,1,3,5,0.6,0,2,2,3,1,0,1,2,24,18.6,2,33
34,32,"2016-01-01","23-208","LAL","","PHI",9,1,"33:21",6,17,0.353,0,1,0,7,9,0.778,1,1,2,3,0,0,0,3,19,10.6,0,26
35,33,"2016-01-03","23-210","LAL","","PHO",20,1,"34:17",5,11,0.455,0,2,0,2,2,1,1,4,5,7,3,1,2,4,12,13.2,23,35.8
36,34,"2016-01-05","23-212","LAL","","GSW",-21,1,"28:45",8,20,0.4,2,5,0.4,5,5,1,3,2,5,2,0,0,3,0,23,13.3,-34,31.8
37,35,"2016-01-07","23-214","LAL","@","SAC",-3,1,"35:13",6,14,0.429,0,2,0,3,3,1,2,3,5,4,1,0,4,4,15,8.1,-16,27.3
38,36,"2016-01-08","23-215","LAL","","OKC",-4,1,"35:09",6,12,0.5,2,3,0.667,3,4,0.75,0,3,3,2,2,0,3,3,17,10.7,-19,27.3
39,37,"2016-01-10","23-217","LAL","","UTA",-12,1,"37:45",6,19,0.316,1,4,0.25,1,1,1,1,1,2,1,4,1,0,2,14,8.7,0,28.5
40,38,"2016-01-12","23-219","LAL","","NOP",4,1,"36:54",5,17,0.294,1,6,0.167,7,9,0.778,4,3,7,2,2,0,3,4,18,9.8,7,32.8
41,39,"2016-01-14","23-221","LAL","@","GSW",-18,1,"35:51",10,17,0.588,1,3,0.333,1,3,0.333,2,2,4,1,1,0,4,2,22,12.2,-9,29
42,40,"2016-01-16","23-223","LAL","@","UTA",-27,1,"24:41",5,13,0.385,0,1,0,0,1,0,3,1,4,1,0,0,3,2,10,1.8,-22,15
43,41,"2016-01-17","23-224","LAL","","HOU",-17,1,"29:25",8,18,0.444,0,2,0,0,0,NA,0,3,3,3,2,0,0,3,16,10.4,-11,28.3
44,42,"2016-01-20","23-227","LAL","","SAC",-19,1,"35:01",5,15,0.333,0,2,0,4,6,0.667,1,4,5,1,1,0,2,1,14,5.9,-9,22.8
45,43,"2016-01-22","23-229","LAL","","SAS",-13,1,"28:57",6,12,0.5,2,3,0.667,2,2,1,0,3,3,1,0,0,0,0,16,11.6,-12,22.3
