"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","35-002","OKC","","SAS",6,0,"8:22",0,0,NA,0,0,NA,0,0,NA,0,3,3,1,0,0,3,3,0,-2.6,-4,3.8
3,2,"2015-11-01","35-006","OKC","","DEN",24,0,"9:52",0,0,NA,0,0,NA,2,2,1,1,3,4,1,1,0,0,0,2,5.3,-2,10.5
5,3,"2015-11-04","35-009","OKC","","TOR",-5,0,"15:08",1,4,0.25,0,0,NA,0,0,NA,2,1,3,0,2,0,0,2,2,2.5,0,9.8
6,4,"2015-11-05","35-010","OKC","@","CHI",-6,0,"8:40",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,0,-1.8,-14,-0.5
8,5,"2015-11-10","35-015","OKC","@","WAS",24,0,"5:28",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-4,2
9,6,"2015-11-13","35-018","OKC","","PHI",17,0,"19:23",3,6,0.5,0,1,0,0,0,NA,4,4,8,2,0,1,2,4,6,5.5,12,20
10,7,"2015-11-15","35-020","OKC","","BOS",-15,0,"14:59",1,3,0.333,0,0,NA,2,2,1,1,3,4,2,1,0,1,3,4,4.1,-12,13.5
11,8,"2015-11-16","35-021","OKC","@","MEM",-8,0,"16:53",1,4,0.25,0,1,0,0,0,NA,1,3,4,1,0,2,1,3,2,1.1,-4,12
12,9,"2015-11-18","35-023","OKC","","NOP",7,0,"17:36",1,1,1,0,0,NA,0,0,NA,0,3,3,4,1,1,3,2,2,3.3,8,14.3
13,10,"2015-11-20","35-025","OKC","","NYK",-3,0,"20:20",3,4,0.75,0,0,NA,0,0,NA,3,4,7,1,1,1,1,3,6,7.9,7,19.8
