"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-017","MEM","","CLE",-30,1,"29:26",2,8,0.25,0,2,0,4,4,1,0,4,4,6,0,0,1,1,8,7.2,-18,21.5
2,2,"2015-10-29","28-018","MEM","@","IND",9,1,"30:16",5,11,0.455,1,1,1,2,2,1,2,2,4,10,2,0,4,4,13,12.7,3,37
3,3,"2015-10-31","28-020","MEM","","BRK",10,1,"32:26",7,12,0.583,4,7,0.571,4,4,1,0,2,2,8,1,0,1,0,22,22.6,6,40
4,4,"2015-11-02","28-022","MEM","@","GSW",-50,1,"26:27",2,8,0.25,0,2,0,6,7,0.857,0,2,2,5,1,0,0,1,10,9.5,-41,22
5,5,"2015-11-03","28-023","MEM","@","SAC",14,1,"25:12",5,9,0.556,1,4,0.25,3,3,1,1,2,3,6,1,0,1,2,14,14.4,9,28.8
6,6,"2015-11-05","28-025","MEM","@","POR",-19,1,"31:10",2,8,0.25,0,2,0,3,4,0.75,0,2,2,3,0,0,2,0,7,2.5,-19,13
7,7,"2015-11-07","28-027","MEM","@","UTA",-10,1,"39:38",8,25,0.32,3,10,0.3,1,1,1,0,4,4,5,1,0,4,4,20,5.8,-2,34
8,8,"2015-11-09","28-029","MEM","@","LAC",-2,1,"35:02",6,15,0.4,1,5,0.2,3,4,0.75,3,3,6,5,1,0,2,0,16,13,8,32.5
9,9,"2015-11-11","28-031","MEM","","GSW",-16,1,"33:07",1,12,0.083,0,4,0,2,2,1,0,2,2,9,3,0,4,5,4,-0.1,-3,24
10,10,"2015-11-13","28-033","MEM","","POR",1,1,"33:20",4,13,0.308,1,4,0.25,2,3,0.667,1,0,1,9,0,0,1,2,11,8.3,0,25.8
11,11,"2015-11-15","28-035","MEM","@","MIN",8,1,"32:49",7,14,0.5,4,6,0.667,2,4,0.5,0,0,0,7,2,0,1,0,20,18.1,5,36
12,12,"2015-11-16","28-036","MEM","","OKC",8,1,"31:23",8,13,0.615,4,5,0.8,2,3,0.667,1,3,4,9,2,0,0,1,22,25.2,-4,46.5
13,13,"2015-11-20","28-040","MEM","","HOU",12,1,"33:56",10,17,0.588,3,6,0.5,3,4,0.75,0,3,3,5,3,0,2,5,26,21.1,9,43.8
14,14,"2015-11-21","28-041","MEM","@","SAS",-10,1,"32:01",5,12,0.417,0,1,0,6,6,1,0,3,3,5,2,1,1,2,16,14.9,-6,32.8
15,15,"2015-11-24","28-044","MEM","","DAL",14,1,"29:59",8,17,0.471,1,4,0.25,4,4,1,2,1,3,6,1,0,0,3,21,18,14,36.3
16,16,"2015-11-25","28-045","MEM","@","HOU",9,1,"33:17",7,9,0.778,1,2,0.5,4,4,1,0,1,1,5,0,0,2,2,19,16.5,1,27.3
17,17,"2015-11-27","28-047","MEM","","ATL",-15,1,"38:06",4,13,0.308,2,6,0.333,6,6,1,0,1,1,9,0,0,3,1,16,11.7,-17,30.3
