"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","22-297","POR","@","PHO",-18,0,"2:42",1,2,0.5,1,1,1,2,2,1,0,0,0,0,0,0,0,0,5,4,1,5.5
6,2,"2015-11-05","22-303","POR","","MEM",19,0,"3:35",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1.7,-5,-0.5
9,3,"2015-11-11","22-309","POR","","SAS",-12,0,"0:55",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0,-2,1.3
11,4,"2015-11-15","22-313","POR","@","CHO",-12,0,"1:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
17,5,"2015-11-28","22-326","POR","","LAL",12,0,"0:52",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
18,6,"2015-11-30","22-328","POR","@","LAC",-15,0,"2:19",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
27,7,"2015-12-16","22-344","POR","@","OKC",-16,0,"3:54",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,0,0,-1.4,4,0.8
30,8,"2015-12-21","22-349","POR","@","ATL",-9,0,"1:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,0
31,9,"2015-12-23","22-351","POR","@","NOP",-26,0,"6:16",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
32,10,"2015-12-26","22-354","POR","","CLE",29,0,"5:58",0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,-0.8,1,2.5
35,11,"2015-12-31","22-359","POR","@","UTA",-13,0,"3:02",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,0,3,2,5,3.5
37,12,"2016-01-04","22-363","POR","","MEM",-13,0,"1:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,0,-0.5
39,13,"2016-01-08","23-002","POR","","GSW",-20,0,"4:42",1,2,0.5,0,1,0,0,0,NA,1,2,3,1,2,0,2,1,2,2.6,-1,10.3
41,14,"2016-01-13","23-007","POR","","UTA",14,0,"3:16",0,2,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,0,-0.4,-3,2.5
42,15,"2016-01-15","23-009","POR","@","BRK",12,0,"0:35",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,0,1.3
43,16,"2016-01-16","23-010","POR","@","PHI",-25,0,"6:17",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,4,1.3
44,17,"2016-01-18","23-012","POR","@","WAS",10,0,"1:37",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
46,18,"2016-01-23","23-017","POR","","LAL",18,0,"3:43",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,2,2,-2,3.5
47,19,"2016-01-26","23-020","POR","","SAC",15,0,"3:22",0,2,0,0,1,0,0,0,NA,2,1,3,0,0,0,1,0,0,-0.7,-5,3.3
50,20,"2016-02-02","23-027","POR","","MIL",12,0,"1:50",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-3,1.5
