"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-225","MIL","","NYK",-25,1,"19:29",3,7,0.429,2,3,0.667,0,0,NA,1,1,2,0,1,0,1,3,8,4.1,-17,13
2,2,"2015-10-30","31-227","MIL","","WAS",-5,0,"8:50",2,4,0.5,2,4,0.5,0,0,NA,0,2,2,1,0,0,0,5,6,3.3,6,11
3,3,"2015-11-01","31-229","MIL","@","TOR",-19,0,"20:32",3,6,0.5,2,4,0.5,2,2,1,0,0,0,0,0,0,2,0,10,5,-14,10
4,4,"2015-11-02","31-230","MIL","@","BRK",7,0,"0:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
5,5,"2015-11-04","31-232","MIL","","PHI",4,0,"10:25",3,9,0.333,1,7,0.143,1,1,1,0,0,0,2,0,0,0,0,8,4.3,10,11.5
6,6,"2015-11-06","31-234","MIL","@","NYK",7,0,"8:44",0,3,0,0,2,0,0,0,NA,0,2,2,1,0,0,0,0,0,-0.8,-4,4
7,7,"2015-11-07","31-235","MIL","","BRK",8,0,"1:44",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-7,0
8,8,"2015-11-10","31-238","MIL","","BOS",-16,0,"5:26",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-9,0
11,9,"2015-11-17","31-245","MIL","@","WAS",-29,0,"8:42",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,1,0,0,2,2,1.9,-11,5.5
13,10,"2015-11-21","31-249","MIL","@","IND",-37,0,"10:15",1,3,0.333,0,1,0,1,2,0.5,0,0,0,0,0,0,0,0,3,0.9,-11,3
14,11,"2015-11-23","31-251","MIL","","DET",21,0,"2:19",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-1,1.5
15,12,"2015-11-25","31-253","MIL","","SAC",-11,0,"7:34",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,0.9,5,3.3
16,13,"2015-11-27","31-255","MIL","@","ORL",-24,0,"2:58",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,0,1.3
18,14,"2015-11-30","31-258","MIL","","DEN",18,0,"3:33",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
19,15,"2015-12-02","31-260","MIL","@","SAS",-25,0,"7:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,3,0,0,1,1,0,0.7,-1,4
26,16,"2015-12-15","31-273","MIL","@","LAL",-18,0,"6:52",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,-2.1,-3,-0.5
29,17,"2015-12-20","31-278","MIL","@","PHO",6,0,"8:00",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,-9,1.3
30,18,"2015-12-23","31-281","MIL","","PHI",13,0,"2:01",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,0,-0.4,-3,1.5
36,19,"2016-01-04","31-293","MIL","","SAS",-25,0,"5:03",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,-3,3.5
43,20,"2016-01-16","31-305","MIL","@","CHO",13,0,"2:43",1,1,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,3,3,-4,4.8
44,21,"2016-01-19","31-308","MIL","@","MIA",12,0,"1:33",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
46,22,"2016-01-23","31-312","MIL","@","NOP",-17,0,"2:46",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,0,3,2,-2,3.5
48,23,"2016-01-28","31-317","MIL","@","MEM",-20,0,"6:30",0,3,0,0,3,0,2,2,1,0,0,0,1,0,0,1,1,2,-0.8,1,3
51,24,"2016-02-02","31-322","MIL","@","POR",-12,0,"2:46",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,3,0
