"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-02","24-323","PHI","","CLE",-7,1,"22:27",1,9,0.111,0,5,0,2,2,1,0,2,2,0,2,1,2,3,4,-1.8,-25,11.5
11,2,"2015-11-16","24-337","PHI","","DAL",-6,0,"20:14",2,8,0.25,0,4,0,3,4,0.75,2,3,5,2,1,0,4,4,7,0.9,9,16.3
12,3,"2015-11-18","24-339","PHI","","IND",-27,0,"22:55",4,13,0.308,0,5,0,0,0,NA,0,5,5,1,2,1,4,2,8,0.6,-19,19.8
13,4,"2015-11-20","24-341","PHI","@","CHO",-25,1,"23:13",1,7,0.143,0,4,0,7,7,1,0,3,3,3,1,1,4,5,9,3.2,-10,19.3
14,5,"2015-11-21","24-342","PHI","@","MIA",-5,0,"32:00",6,11,0.545,3,6,0.5,6,7,0.857,0,6,6,0,2,1,1,5,21,16.8,9,35.5
15,6,"2015-11-23","24-344","PHI","@","MIN",-5,0,"35:28",6,14,0.429,3,9,0.333,3,4,0.75,1,5,6,1,3,0,4,3,18,10.9,5,32.5
16,7,"2015-11-25","24-346","PHI","@","BOS",-4,1,"35:27",4,16,0.25,2,8,0.25,1,3,0.333,3,11,14,0,6,2,4,5,11,7.4,-4,45
17,8,"2015-11-27","24-348","PHI","@","HOU",-2,1,"37:48",7,12,0.583,6,9,0.667,8,9,0.889,1,6,7,5,8,1,4,4,28,31.1,1,63.3
18,9,"2015-11-29","24-350","PHI","@","MEM",-8,1,"37:25",5,9,0.556,2,4,0.5,0,0,NA,1,6,7,4,7,1,8,5,12,10.7,-7,39.8
19,10,"2015-12-01","24-352","PHI","","LAL",12,1,"34:28",8,16,0.5,5,11,0.455,2,4,0.5,1,4,5,4,0,2,3,3,23,16.1,18,40.3
20,11,"2015-12-02","24-353","PHI","@","NYK",-12,1,"27:21",3,8,0.375,2,7,0.286,2,2,1,0,4,4,3,1,0,3,4,10,5.3,-12,21
21,12,"2015-12-05","24-356","PHI","","DEN",-3,1,"30:02",6,13,0.462,5,12,0.417,1,2,0.5,1,9,10,2,2,1,3,5,18,13.4,-4,42
22,13,"2015-12-07","24-358","PHI","","SAS",-51,1,"30:51",5,8,0.625,2,5,0.4,1,2,0.5,1,5,6,2,0,0,2,3,13,9.4,-22,23.5
23,14,"2015-12-10","24-361","PHI","@","BRK",-9,1,"26:52",3,10,0.3,0,6,0,0,0,NA,0,2,2,0,2,1,0,6,6,1.1,-3,14.5
24,15,"2015-12-11","24-362","PHI","","DET",-12,1,"33:44",5,16,0.313,3,9,0.333,5,5,1,4,5,9,2,2,0,3,3,18,12.3,-4,36.3
25,16,"2015-12-13","24-364","PHI","@","TOR",-20,1,"31:52",5,14,0.357,5,12,0.417,0,0,NA,0,9,9,0,0,3,2,5,15,8,-2,33.8
26,17,"2015-12-14","25-000","PHI","@","CHI",-19,1,"26:20",6,16,0.375,3,11,0.273,0,0,NA,2,4,6,1,0,2,2,0,15,8.9,-26,28.5
27,18,"2015-12-16","25-002","PHI","@","ATL",-21,1,"27:24",4,8,0.5,1,2,0.5,1,1,1,1,3,4,4,2,0,1,3,10,10.2,-25,25
28,19,"2015-12-18","25-004","PHI","","NYK",-10,1,"15:42",1,5,0.2,1,4,0.25,0,0,NA,0,4,4,1,0,0,1,4,3,-0.8,-8,9.5
29,20,"2015-12-20","25-006","PHI","@","CLE",-22,1,"20:30",2,9,0.222,1,6,0.167,0,0,NA,1,2,3,0,1,0,1,3,5,-0.4,-12,10.8
30,21,"2015-12-22","25-008","PHI","","MEM",-14,1,"22:59",3,9,0.333,0,4,0,2,2,1,3,5,8,3,2,0,6,3,8,3.4,-11,23.5
31,22,"2015-12-23","25-009","PHI","@","MIL",-13,1,"24:48",3,8,0.375,2,5,0.4,1,2,0.5,1,4,5,2,3,0,2,3,9,7.3,-8,24.3
32,23,"2015-12-26","25-012","PHI","@","PHO",7,1,"12:54",0,7,0,0,3,0,0,0,NA,1,3,4,1,1,0,2,0,0,-3.6,-2,7.5
33,24,"2015-12-28","25-014","PHI","@","UTA",-4,0,"26:12",3,9,0.333,1,5,0.2,1,1,1,1,4,5,0,0,0,2,3,8,1.6,16,13.8
34,25,"2015-12-30","25-016","PHI","@","SAC",5,0,"25:28",2,4,0.5,2,3,0.667,3,5,0.6,0,5,5,1,0,0,0,4,9,6.8,-9,17.8
35,26,"2016-01-01","25-018","PHI","@","LAL",-9,0,"22:29",3,6,0.5,2,4,0.5,2,2,1,0,6,6,1,2,1,0,3,10,11,-1,26
36,27,"2016-01-02","25-019","PHI","@","LAC",-31,0,"17:10",1,3,0.333,0,1,0,0,0,NA,0,5,5,1,0,1,1,2,2,1.4,1,11.3
37,28,"2016-01-04","25-021","PHI","","MIN",10,0,"6:30",0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,-1.5,0,2.3
38,29,"2016-01-07","25-024","PHI","","ATL",-28,0,"13:18",3,9,0.333,2,5,0.4,0,0,NA,0,3,3,0,0,0,0,3,8,2.6,-13,12.8
39,30,"2016-01-09","25-026","PHI","","TOR",-13,0,"9:06",2,5,0.4,2,3,0.667,0,0,NA,0,0,0,0,0,0,0,0,6,3.3,-6,7
40,31,"2016-01-10","25-027","PHI","","CLE",-10,0,"32:16",3,7,0.429,1,5,0.2,0,0,NA,0,8,8,4,0,1,4,4,7,3.6,1,23.5
41,32,"2016-01-14","25-031","PHI","","CHI",-4,0,"29:38",8,16,0.5,6,10,0.6,3,4,0.75,4,2,6,1,2,0,0,6,25,20.3,-10,41
42,33,"2016-01-16","25-033","PHI","","POR",25,0,"25:37",5,12,0.417,4,10,0.4,2,2,1,0,4,4,3,1,0,2,4,16,10.3,17,28.5
43,34,"2016-01-18","25-035","PHI","@","NYK",-6,1,"45:40",3,9,0.333,3,7,0.429,2,3,0.667,0,5,5,1,1,2,3,4,11,5.5,-8,24.8
44,35,"2016-01-20","25-037","PHI","@","ORL",9,1,"30:16",2,8,0.25,2,7,0.286,2,2,1,0,11,11,1,3,0,4,3,8,5,-2,28.3
