"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-202","POR","","NOP",18,0,"21:34",2,6,0.333,0,2,0,0,0,NA,0,3,3,1,1,0,1,3,4,1,-5,10.8
2,2,"2015-10-30","23-204","POR","@","PHO",-18,0,"22:56",0,3,0,0,1,0,0,0,NA,0,3,3,1,3,0,1,3,0,0.3,-9,10.8
3,3,"2015-10-31","23-205","POR","","PHO",-11,0,"17:00",4,8,0.5,1,4,0.25,2,2,1,0,0,0,0,0,0,1,5,11,4,-12,11
4,4,"2015-11-02","23-207","POR","@","MIN",5,0,"25:29",3,10,0.3,1,4,0.25,0,0,NA,0,0,0,1,1,0,1,0,7,1.9,-6,10.5
5,5,"2015-11-04","23-209","POR","@","UTA",16,0,"21:06",0,3,0,0,2,0,1,2,0.5,2,1,3,0,0,0,0,1,1,-0.2,7,4.8
6,6,"2015-11-05","23-210","POR","","MEM",19,0,"21:24",5,7,0.714,1,1,1,0,0,NA,0,1,1,3,1,0,1,1,11,10.1,18,18.8
7,7,"2015-11-08","23-213","POR","","DET",-17,0,"24:51",7,7,1,1,1,1,0,0,NA,0,2,2,2,1,1,1,2,15,14.8,-1,24.5
8,8,"2015-11-09","23-214","POR","@","DEN",-4,0,"22:43",4,12,0.333,1,5,0.2,2,3,0.667,0,3,3,1,0,0,0,1,11,5,0,16.8
9,9,"2015-11-11","23-216","POR","","SAS",-12,0,"19:39",1,6,0.167,0,2,0,4,4,1,0,1,1,1,1,0,1,2,6,2.4,-25,10.3
10,10,"2015-11-13","23-218","POR","@","MEM",-1,0,"18:15",5,5,1,2,2,1,0,0,NA,0,3,3,1,0,1,1,1,12,11.4,7,19.8
11,11,"2015-11-15","23-220","POR","@","CHO",-12,0,"27:11",8,11,0.727,1,1,1,0,0,NA,1,1,2,2,0,0,0,4,17,13.3,-8,23
12,12,"2015-11-16","23-221","POR","@","SAS",-13,0,"13:41",1,4,0.25,1,3,0.333,0,0,NA,0,3,3,0,0,0,0,2,3,0.7,-13,7.3
13,13,"2015-11-18","23-223","POR","@","HOU",-5,0,"39:11",6,12,0.5,3,6,0.5,0,0,NA,1,4,5,0,2,0,1,5,15,9.9,-12,26.3
14,14,"2015-11-20","23-225","POR","","LAC",11,0,"21:54",1,4,0.25,1,2,0.5,0,0,NA,0,0,0,3,0,0,2,6,3,-1.7,-6,7
15,15,"2015-11-22","23-227","POR","@","LAL",14,0,"25:52",3,7,0.429,1,2,0.5,0,0,NA,0,3,3,0,0,0,0,4,7,2.6,14,11.3
16,16,"2015-11-24","23-229","POR","","CHI",-5,0,"30:51",3,5,0.6,1,2,0.5,2,2,1,0,2,2,1,1,0,1,2,9,7.2,-5,15
17,17,"2015-11-28","23-233","POR","","LAL",12,0,"17:03",3,7,0.429,1,1,1,2,2,1,0,2,2,1,0,0,2,1,9,4.2,5,12.5
18,18,"2015-11-30","23-235","POR","@","LAC",-15,0,"17:06",2,6,0.333,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,1,5,1.2,0,5.5
19,19,"2015-12-01","23-236","POR","","DAL",-3,0,"34:43",6,12,0.5,3,6,0.5,3,3,1,0,2,2,3,0,0,2,0,18,12.7,7,25.5
