"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-114","BOS","","PHI",17,1,"31:12",4,7,0.571,2,4,0.5,4,4,1,2,4,6,3,2,0,3,3,14,13.2,-4,29.5
2,2,"2015-10-30","25-116","BOS","","TOR",-10,1,"33:55",1,6,0.167,0,2,0,5,6,0.833,1,3,4,4,3,1,2,3,7,7.7,-7,25
3,3,"2015-11-01","25-118","BOS","","SAS",-8,1,"22:59",3,9,0.333,1,5,0.2,0,0,NA,1,3,4,1,3,1,4,4,7,2.3,-10,20
4,4,"2015-11-04","25-121","BOS","@","IND",-2,1,"32:55",3,5,0.6,1,2,0.5,5,8,0.625,0,6,6,1,2,0,2,1,12,10.6,-7,24.5
5,5,"2015-11-06","25-123","BOS","","WAS",20,1,"28:14",4,12,0.333,0,3,0,4,5,0.8,3,7,10,2,5,1,1,0,12,15.1,9,40.5
6,6,"2015-11-10","25-127","BOS","@","MIL",16,1,"36:53",3,12,0.25,2,7,0.286,4,5,0.8,0,2,2,2,4,0,1,3,12,8.2,13,26
7,7,"2015-11-11","25-128","BOS","","IND",-11,1,"26:18",1,5,0.2,1,3,0.333,2,2,1,0,5,5,2,5,0,4,5,5,3.8,6,22.8
8,8,"2015-11-13","25-130","BOS","","ATL",13,1,"38:21",6,15,0.4,1,5,0.2,2,2,1,6,2,8,1,4,1,0,2,15,16.3,19,37
9,9,"2015-11-15","25-132","BOS","@","OKC",15,1,"24:50",4,9,0.444,1,3,0.333,1,1,1,1,2,3,0,0,1,2,1,10,4.9,-2,15.3
10,10,"2015-11-16","25-133","BOS","@","HOU",16,1,"28:06",7,10,0.7,1,3,0.333,1,1,1,1,2,3,0,2,0,1,2,16,13.3,24,23.8
11,11,"2015-11-18","25-135","BOS","","DAL",-4,1,"34:32",4,9,0.444,2,3,0.667,4,4,1,1,5,6,3,1,0,2,1,14,12.2,-1,28
12,12,"2015-11-20","25-137","BOS","","BRK",25,1,"28:14",8,12,0.667,3,6,0.5,0,0,NA,2,3,5,2,3,0,1,1,19,19.1,19,35.3
13,13,"2015-11-22","25-139","BOS","@","BRK",-10,1,"25:43",2,4,0.5,1,3,0.333,0,0,NA,0,2,2,2,0,0,2,4,5,1.4,-15,10
14,14,"2015-11-24","25-141","BOS","@","ATL",-24,1,"25:45",3,11,0.273,0,3,0,0,0,NA,1,2,3,2,0,0,0,2,6,1.4,-20,12.8
15,15,"2015-11-25","25-142","BOS","","PHI",4,1,"27:27",3,11,0.273,2,5,0.4,0,2,0,3,5,8,2,2,1,2,0,8,6.4,0,27
16,16,"2015-11-27","25-144","BOS","","WAS",33,1,"29:40",4,8,0.5,3,5,0.6,6,6,1,1,4,5,3,0,0,1,0,17,16,31,28.8
17,17,"2015-11-29","25-146","BOS","@","ORL",-19,1,"32:57",5,11,0.455,0,5,0,2,3,0.667,0,1,1,3,1,1,0,0,12,10,-5,21.8
18,18,"2015-11-30","25-147","BOS","@","MIA",10,1,"31:44",4,8,0.5,1,2,0.5,4,4,1,2,3,5,1,4,0,2,5,13,12,23,28.3
19,19,"2015-12-03","25-150","BOS","@","SAC",17,1,"30:33",5,12,0.417,4,9,0.444,6,6,1,0,3,3,6,2,0,2,1,20,18.3,7,37.8
20,20,"2015-12-05","25-152","BOS","@","SAS",-3,1,"35:04",5,5,1,3,3,1,2,2,1,0,3,3,3,1,0,3,4,15,12.9,-1,25.3
21,21,"2015-12-07","25-154","BOS","@","NOP",18,1,"34:52",5,10,0.5,2,6,0.333,5,5,1,0,1,1,1,0,3,2,1,17,12.7,21,25.8
22,22,"2015-12-09","25-156","BOS","","CHI",5,1,"32:32",5,10,0.5,1,3,0.333,2,2,1,0,3,3,0,3,0,1,5,13,8.9,-2,22.8
23,23,"2015-12-11","25-158","BOS","","GSW",-5,1,"47:47",5,14,0.357,3,6,0.5,2,4,0.5,1,4,5,3,1,2,2,3,15,9.6,-6,32.3
24,24,"2015-12-12","25-159","BOS","@","CHO",5,1,"31:44",5,15,0.333,3,10,0.3,3,3,1,0,7,7,1,0,0,0,1,16,9.9,20,27.8
25,25,"2015-12-15","25-162","BOS","","CLE",-12,1,"27:35",5,13,0.385,4,9,0.444,0,0,NA,0,3,3,0,1,2,1,3,14,8,-10,25.3
26,26,"2015-12-16","25-163","BOS","@","DET",-3,1,"31:30",3,9,0.333,1,3,0.333,2,2,1,1,6,7,1,2,0,0,6,9,6.7,-6,23.8
27,27,"2015-12-18","25-165","BOS","","ATL",-8,1,"36:50",8,13,0.615,3,7,0.429,5,5,1,1,9,10,0,0,0,3,6,24,16.1,-7,38
28,28,"2015-12-21","25-168","BOS","","MIN",14,1,"30:14",8,13,0.615,2,4,0.5,0,3,0,0,10,10,2,0,2,1,1,18,15.3,18,39.5
29,29,"2015-12-23","25-170","BOS","@","CHO",13,1,"37:16",8,16,0.5,0,5,0,3,4,0.75,1,11,12,0,0,1,0,3,19,14.1,13,37.5
30,30,"2015-12-26","25-173","BOS","@","DET",6,1,"35:43",5,11,0.455,0,4,0,1,2,0.5,2,5,7,2,1,0,2,3,11,7,11,23.8
31,31,"2015-12-27","25-174","BOS","","NYK",9,1,"34:20",6,11,0.545,3,5,0.6,3,5,0.6,1,5,6,2,1,0,1,2,18,14.7,12,31.5
32,32,"2015-12-30","25-177","BOS","","LAL",-8,1,"36:21",4,14,0.286,2,9,0.222,7,7,1,2,3,5,1,3,0,1,2,17,13,-3,31.3
33,33,"2016-01-02","25-180","BOS","","BRK",-3,1,"30:46",5,13,0.385,2,6,0.333,4,5,0.8,2,5,7,3,2,0,2,5,16,11.5,-10,33.3
34,34,"2016-01-04","25-182","BOS","@","BRK",9,1,"34:48",8,13,0.615,2,4,0.5,7,8,0.875,1,5,6,1,3,1,0,2,25,24.5,8,43
35,35,"2016-01-06","25-184","BOS","","DET",-5,1,"36:08",5,10,0.5,2,6,0.333,4,4,1,1,3,4,0,2,0,2,5,16,10.6,1,25
36,36,"2016-01-07","25-185","BOS","@","CHI",-9,1,"39:06",6,17,0.353,1,4,0.25,4,7,0.571,3,1,4,4,3,1,0,3,17,14,-7,36.5
37,37,"2016-01-10","25-188","BOS","@","MEM",-3,1,"30:25",4,11,0.364,2,6,0.333,0,0,NA,0,2,2,2,4,0,2,4,10,6.3,6,23.5
